hash,authors,committer,changes_FileNum,changed_files,message,bug_id
14b5e5312f9c78aa8a3cfa9002d31bf4b430d125,aherbert,aherbert,1,['src/site/xdoc/userguide/index.xml'],"Place header inside a block section

Use horizontal rule to separate sections",
833ed6dc2aa4c9d2d3d4b8d89c8df3b70b012631,aherbert,aherbert,1,['src/site/xdoc/userguide/index.xml'],Add XML schema,
4f4900d5ece01db24273b1ff3861163e5b895ea4,aherbert,aherbert,1,['src/site/xdoc/userguide/index.xml'],Add space to user guide table,
878f187b2ad2b3254de5caf7f757aa043b3b2ad6,aherbert,aherbert,1,['src/site/xdoc/userguide/index.xml'],Update user guide example for the sampler using a stream,
d21af99b28f23c5ab4a34d47d0fe1b9922fdc1dd,aherbert,aherbert,2,"['commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/ContinuousDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/DiscreteDistribution.java']",Add functional interface annotation to the Sampler interface,
6aefcd8de3c19009a76cb96ede85ab3dbb182df4,aherbert,aherbert,2,"['commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/ContinuousDistributionTest.java', 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/DiscreteDistributionTest.java']",Test the samples() method return sequential streams,
4d6ce2116346f76f137dbb366c65e19e13092e3d,aherbert,aherbert,2,"['src/site/xdoc/userguide/index.xml', 'src/site/xdoc/userguide/xdoc.xsl']","Remove invalid XML element and companion stylesheet

The stylesheet refers to  styles that are not in the project or provided
by commons skin.",
256f14bf3ec4aa552dcc654f3ac6a9f6650162b8,aherbert,aherbert,4,"['commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/ContinuousDistribution.java', 'commons-statistics-distribution/src/main/java/org/apache/commons/statistics/distribution/DiscreteDistribution.java', 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/ContinuousDistributionTest.java', 'commons-statistics-distribution/src/test/java/org/apache/commons/statistics/distribution/DiscreteDistributionTest.java']",STATISTICS-56: Add stream functions to the Sampler interfaces,STATISTICS-56
a88603c7a532cec78b41e4514272a3af49c5d4f0,aherbert,aherbert,6,"['README.md', 'commons-statistics-distribution/README.md', 'commons-statistics-examples/README.md', 'commons-statistics-examples/examples-distribution/README.md', 'commons-statistics-examples/examples-jmh/README.md', 'commons-statistics-regression/README.md']",Use mvn for README contributing build goal,
09f57e3f0811a530282cb9c835bf5479bbd26e70,aherbert,aherbert,6,"['README.md', 'commons-statistics-distribution/README.md', 'commons-statistics-examples/README.md', 'commons-statistics-examples/examples-distribution/README.md', 'commons-statistics-examples/examples-jmh/README.md', 'commons-statistics-regression/README.md']",Fix readme generation command,
c46f6cfe2c2f289675ccdafcb50dee68145d6be6,aherbert,aherbert,1,['pom.xml'],Move dependency version properties to a section,
c0113137656d9650396315324fefcd55de54c618,aherbert,aherbert,1,['pom.xml'],"Remove checkstyle plugin excludes from parent

These are configured in the example JMH pom.",
1a3e2674837c7c4f6909c5226b188e13a622aedc,aherbert,aherbert,1,['src/changes/changes.xml'],Update changes description,
a7d75fcfc19cb6d06bb8aa6f77b3dbb2317d5e4a,aherbert,aherbert,3,"['commons-statistics-distribution/pom.xml', 'commons-statistics-regression/pom.xml', 'pom.xml']","Update changes report configuration to allow component reports

Remove configuration that is a duplicate of commons-parent",
5faa8439140668a261ddd825929c53ffeeb52332,aherbert,aherbert,1,['pom.xml'],Reorder properties to match commons RNG parent.,
afd1421dea651a87dd291f9e5fdda8458701fe75,aherbert,aherbert,1,['src/main/resources/checkstyle/checkstyle.xml'],"Update checkstyle config using latest example

Updated from:
https://github.com/checkstyle/checkstyle/blob/master/src/main/resources/sun_checks.xml",
4e37ea170134bd99ef70ae900e35b6bd79d19315,aherbert,aherbert,1,['pom.xml'],"Drop checkstyle 3.1.2 for 3.2.0 in commons parent

Update checkstyle dependency 8.45 for 9.3 in commons parent",
a37bd69cc52e2397f4886545c15310452ca0a990,aherbert,aherbert,1,['pom.xml'],Drop antrun 1.8 for 3.1.0 in commons parent,
