hash,authors,committer,changes_FileNum,changed_files,message,bug_id
2c32daab4f8d57fbdc117f5c9b0555d2c1189600,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
022c29f63b89d426714d073e62cc7c3ca224c769,kinow,kinow,1,['.github/workflows/scorecards-analysis.yml'],Update scorecards version comment to match dependabot updated version (thanks @garydgregory),
9c56d9c08b0de0e76cc50ea51b1139ffdbd2906a,dependabot[bot],kinow,2,"['pom.xml', 'src/changes/changes.xml']","Bump mockito-inline from 4.8.0 to 4.8.1

Bumps [mockito-inline](https://github.com/mockito/mockito) from 4.8.0 to 4.8.1.
- [Release notes](https://github.com/mockito/mockito/releases)
- [Commits](https://github.com/mockito/mockito/compare/v4.8.0...v4.8.1)

---
updated-dependencies:
- dependency-name: org.mockito:mockito-inline
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
6b35c09d503d77fbcce5cb12bdb1e39a9c707117,dependabot[bot],kinow,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/setup-java from 3.5.1 to 3.6.0

Bumps [actions/setup-java](https://github.com/actions/setup-java) from 3.5.1 to 3.6.0.
- [Release notes](https://github.com/actions/setup-java/releases)
- [Commits](https://github.com/actions/setup-java/compare/v3.5.1...v3.6.0)

---
updated-dependencies:
- dependency-name: actions/setup-java
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
0eced30ba99b872ee924b31d76ab7a3a824a55ba,dependabot[bot],kinow,1,['.github/workflows/scorecards-analysis.yml'],"Bump actions/upload-artifact from 3.1.0 to 3.1.1

Bumps [actions/upload-artifact](https://github.com/actions/upload-artifact) from 3.1.0 to 3.1.1.
- [Release notes](https://github.com/actions/upload-artifact/releases)
- [Commits](https://github.com/actions/upload-artifact/compare/3cea5372237819ed00197afe530f5a7ea3e805c8...83fd05a356d7e2593de66fc9913b3002723633cb)

---
updated-dependencies:
- dependency-name: actions/upload-artifact
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",
9692573a0de77c0427dc20d5f2e4bbd38b870c39,garydgregory,garydgregory,1,['src/site/site.xml'],Better menu label,
2fb0c0cde77277cbada3fad188afe2dd53af4339,garydgregory,garydgregory,1,['src/site/xdoc/security.xml'],Update security page,
ab2f9ee19a3ba431498bb8654cf4ad8fd067ad8e,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump spotbugs from 4.7.2 to 4.7.3 #373,
81d7fae9637475fe86a47d08c66168a1c079f498,dependabot[bot],web-flow,1,['pom.xml'],"Bump spotbugs from 4.7.2 to 4.7.3 (#373)

Bumps [spotbugs](https://github.com/spotbugs/spotbugs) from 4.7.2 to 4.7.3.
- [Release notes](https://github.com/spotbugs/spotbugs/releases)
- [Changelog](https://github.com/spotbugs/spotbugs/blob/master/CHANGELOG.md)
- [Commits](https://github.com/spotbugs/spotbugs/compare/4.7.2...4.7.3)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
14f2dedee4f113d33f99552339c205cc527a3988,aherbert,aherbert,1,['src/main/java/org/apache/commons/text/StringTokenizer.java'],Javadoc fix,
