hash,authors,committer,changes_FileNum,changed_files,message,bug_id
f4b6b448a69d163310821e6f25d882706c944973,garydgregory,garydgregory,1,['.github/workflows/scorecards-analysis.yml'],Bump Scorecards from 1 to 2,
b2ba9850c6c4aad85b05eb1d057e8a050687427d,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump jackrabbit2.version from 2.21.12 to 2.21.13 #326,
98edd393df3ba3d64e291df50e135483dd7aa9ac,dependabot[bot],web-flow,1,['pom.xml'],"Bump jackrabbit2.version from 2.21.12 to 2.21.13 (#326)

Bumps `jackrabbit2.version` from 2.21.12 to 2.21.13.

Updates `jackrabbit-standalone-components` from 2.21.12 to 2.21.13

Updates `jackrabbit-webdav` from 1.6.5 to 2.21.13

---
updated-dependencies:
- dependency-name: org.apache.jackrabbit:jackrabbit-standalone-components
  dependency-type: direct:production
  update-type: version-update:semver-patch
- dependency-name: org.apache.jackrabbit:jackrabbit-webdav
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
7c3436ae4857c735d2709d5e6a7a5172eb40b993,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump actions/setup-java from 3.5.1 to 3.6.0 #324,
87ef1d5c723386609a3effa55a8693ea4baec046,dependabot[bot],web-flow,2,"['.github/workflows/coverage.yml', '.github/workflows/maven.yml']","Bump actions/setup-java from 3.5.1 to 3.6.0 (#324)

Bumps [actions/setup-java](https://github.com/actions/setup-java) from 3.5.1 to 3.6.0.
- [Release notes](https://github.com/actions/setup-java/releases)
- [Commits](https://github.com/actions/setup-java/compare/v3.5.1...v3.6.0)

---
updated-dependencies:
- dependency-name: actions/setup-java
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
d951157fca9d8c8bc7209efa2baf0a4f09110e27,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump maven-checkstyle-plugin from 3.1.2 to 3.2.0 #321,
c4cc3b78835ca569a5d60f73381c9e7e91be7d8f,dependabot[bot],web-flow,1,['pom.xml'],"Bump maven-checkstyle-plugin from 3.1.2 to 3.2.0 (#321)

Bumps [maven-checkstyle-plugin](https://github.com/apache/maven-checkstyle-plugin) from 3.1.2 to 3.2.0.
- [Release notes](https://github.com/apache/maven-checkstyle-plugin/releases)
- [Commits](https://github.com/apache/maven-checkstyle-plugin/compare/maven-checkstyle-plugin-3.1.2...maven-checkstyle-plugin-3.2.0)

---
updated-dependencies:
- dependency-name: org.apache.maven.plugins:maven-checkstyle-plugin
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
eade66768121c9445dd810aa0310428916764c0d,garydgregory,web-flow,1,['src/changes/changes.xml'],Bump spotbugs from 4.7.2 to 4.7.3 #319,
f7296944617ac004fb28040c131ab96f9af606ae,dependabot[bot],web-flow,1,['pom.xml'],"Bump spotbugs from 4.7.2 to 4.7.3 (#319)

Bumps [spotbugs](https://github.com/spotbugs/spotbugs) from 4.7.2 to 4.7.3.
- [Release notes](https://github.com/spotbugs/spotbugs/releases)
- [Changelog](https://github.com/spotbugs/spotbugs/blob/master/CHANGELOG.md)
- [Commits](https://github.com/spotbugs/spotbugs/compare/4.7.2...4.7.3)

---
updated-dependencies:
- dependency-name: com.github.spotbugs:spotbugs
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
e262860ec6fb4e6631ee709ff2492109616f0752,garydgregory,web-flow,1,['src/changes/changes.xml'],Add active port range configuration for FTP client factory #318,
