hash,authors,committer,changes_FileNum,changed_files,message,bug_id
b7b8f387ada9093bf93ed0a8c970e5314abcf6f1,sebbASF,sebbASF,1,['.github/workflows/maven.yml'],Cobertura also fails,
7b5fa52c319c93de5709926c2ac6f9d28f859e18,sebbASF,sebbASF,1,['.travis.yml'],"Drop Travis

[CI SKIP]",
a3ef7e06c403fbc8b1208a548056b302a661fce5,sebbASF,sebbASF,1,['.github/workflows/maven.yml'],Add back cobertura,
aa3d58daa465b0054cc8e65e5d471da0451df037,sebbASF,sebbASF,1,['.github/workflows/maven.yml'],Coveralls missing,
0b4d41aa335f2e879c683fdecccb2c7397266d57,sebbASF,sebbASF,1,['.github/workflows/maven.yml'],Replace Travis build,
6ebc413b866e3a3aeb0ca22ae597ce686ca02a1d,garydgregory,garydgregory,1,['README.md'],"Use GAV coordinates Maven Central coordinates to make sure to pick up
the latest",
7d95d737e713ec129846106b056b7fe1dc440173,garydgregory,garydgregory,1,['CONTRIBUTING.md'],Refer to master branch only and drop reference to trunk branch name,
5b7c3aad5a63960cced695449cdae462fa3bd644,garydgregory,garydgregory,2,"['README.md', 'src/site/resources/profile.jacoco']","Add profile.jacoco

Update code coverage badge and link",
212e2282a89498877cc6b90b8b225d93c0e0ec57,garydgregory,garydgregory,1,['build-tools/src/main/resources/org/apache/commons/weaver/findbugs-exclude-filter.xml'],Add missing namespace and XSD to SpotBugs filter file.,
a8942571d43bff3eaeb9a0a19b59d6a9629166ea,garydgregory,garydgregory,1,['SECURITY.md'],Add SECURITY.md,
02aee9291710da04daf22b5735848bda612fabc2,garydgregory,garydgregory,1,['LICENSE.txt'],Merge branch 'master' of https://gitbox.apache.org/repos/asf/commons-weaver,
c1a81eac52331583f5d4dcdc051cf19c0b1a00e2,garydgregory,garydgregory,1,['CODE_OF_CONDUCT.md'],Add GitHub code of conduct page that points to the Apache page.,
f4208c3e206df9e3d343a121baf7b813f0cd95f2,sebbASF,sebbASF,1,['LICENSE.txt'],Update ASM version to agree with pom,
