hash,authors,committer,changes_FileNum,changed_files,message,bug_id
26cbc5157601953d83731e4b0a93b31bbb4cc922,ottlinger,ottlinger,1,['pom.xml'],Enable RAT exclusion for asf github control,
0e3ca8484169c4c0a20f813273301c2cb6d3f36f,ottlinger,ottlinger,1,['.asf.yaml'],Add github metadata,
69b5f33d94e96d1f539ec67aca4ffb51e7167e44,ottlinger,ottlinger,1,['.github/workflows/maven.yml'],RAT-312: Do not show download progress during builds,RAT-312
a0a09dca0ed661c313bdfdb44304bb337adb9f36,ottlinger,ottlinger,1,['.github/workflows/maven.yml'],RAT-312: Try to use caching of artifacts to speedup GA builds,RAT-312
d423110cb4d849e6a6f7a1561290e124bd07d09b,ottlinger,ottlinger,1,['pom.xml'],RAT-312: Remove RAT exclusion for travis build file,RAT-312
fd2e55b6ac7f7465783df32f62bed32261763b04,ottlinger,ottlinger,1,['src/changes/changes.xml'],"RAT-312: Remove travis build files, replaced by GA/ASF Jenkins",RAT-312
cf09ec76fd29ac89ddd48a6d46b97c239bef4631,ottlinger,ottlinger,2,"['.travis.yml', 'README.md']",RAT-312: Remove travis build files and links to it,RAT-312
bdae9166cd56add38f7e01c72054611923451965,ottlinger,web-flow,1,['.github/workflows/maven.yml'],"Merge pull request #92 from apache/dependabot/github_actions/actions/setup-java-3.6.0

RAT-311: Bump actions/setup-java from 3.4.1 to 3.6.0",
acd35ff4f2c44dcd73272cb949d6d44017d70306,ottlinger,web-flow,1,['pom.xml'],"Merge pull request #89 from apache/dependabot/maven/org.mockito-mockito-core-4.8.0

RAT-311: Bump mockito-core from 4.7.0 to 4.8.0",
29691d0a81feac9886685cf7863572003c0bc97f,ottlinger,web-flow,1,['pom.xml'],"Merge pull request #88 from apache/dependabot/maven/org.apache.maven.plugins-maven-pmd-plugin-3.19.0

RAT-311: Bump maven-pmd-plugin from 3.18.0 to 3.19.0",
e318aa56f14d6ef5bf5fc2dafefa02206719f6bf,dependabot[bot],web-flow,1,['.github/workflows/maven.yml'],"Bump actions/setup-java from 3.4.1 to 3.6.0

Bumps [actions/setup-java](https://github.com/actions/setup-java) from 3.4.1 to 3.6.0.
- [Release notes](https://github.com/actions/setup-java/releases)
- [Commits](https://github.com/actions/setup-java/compare/v3.4.1...v3.6.0)

---
updated-dependencies:
- dependency-name: actions/setup-java
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
08b0cfcb51e23643dcbd409b0209257cd8309f98,ottlinger,ottlinger,1,['pom.xml'],LHF: reformat pom,
f8de4a8a17d20d92a4350e0e251c3b5747f8bfda,ottlinger,web-flow,3,"['RELEASE_NOTES.txt', 'pom.xml', 'src/changes/changes.xml']","Merge pull request #87 from apache/after-r0.15-isOut

Adapt for release 0.15",
f04f36afcf0c7ccfff78389de68d48214b9bd93c,ottlinger,ottlinger,1,['pom.xml'],Prepare for new rel0.16,
f56b6d8d2031e0736302840f1306d7239a45e549,ottlinger,ottlinger,1,['RELEASE_NOTES.txt'],Add combined changelog,
e7cbca9be2c2985b1f8a006cf3d4fad5b36dfdb9,dependabot[bot],web-flow,1,['pom.xml'],"Bump mockito-core from 4.7.0 to 4.8.0

Bumps [mockito-core](https://github.com/mockito/mockito) from 4.7.0 to 4.8.0.
- [Release notes](https://github.com/mockito/mockito/releases)
- [Commits](https://github.com/mockito/mockito/compare/v4.7.0...v4.8.0)

---
updated-dependencies:
- dependency-name: org.mockito:mockito-core
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
cdd56ad8588329ceaa7f7c6c3338fb2568139695,dependabot[bot],web-flow,1,['pom.xml'],"Bump maven-pmd-plugin from 3.18.0 to 3.19.0

Bumps [maven-pmd-plugin](https://github.com/apache/maven-pmd-plugin) from 3.18.0 to 3.19.0.
- [Release notes](https://github.com/apache/maven-pmd-plugin/releases)
- [Commits](https://github.com/apache/maven-pmd-plugin/compare/maven-pmd-plugin-3.18.0...maven-pmd-plugin-3.19.0)

---
updated-dependencies:
- dependency-name: org.apache.maven.plugins:maven-pmd-plugin
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
edd15b8498cc2b300d4c4d1023a23411e143b707,ottlinger,ottlinger,1,['src/changes/changes.xml'],RAT-311: Prepare for changes in 0.16,RAT-311
cd0d99f148917976f3b155ddcc1420b479f4a6c9,ottlinger,ottlinger,1,['pom.xml'],Prepare for release 0.15,
aefc0e5bbb3d08f31c55f7c0897a075748428284,ottlinger,ottlinger,6,"['apache-rat-api/pom.xml', 'apache-rat-core/pom.xml', 'apache-rat-plugin/pom.xml', 'apache-rat-tasks/pom.xml', 'apache-rat/pom.xml', 'pom.xml']",[maven-release-plugin] prepare for next development iteration,
8d32d3a18f10950cefb628bc5c118e113b0456f7,ottlinger,ottlinger,6,"['apache-rat-api/pom.xml', 'apache-rat-core/pom.xml', 'apache-rat-plugin/pom.xml', 'apache-rat-tasks/pom.xml', 'apache-rat/pom.xml', 'pom.xml']",[maven-release-plugin] prepare release apache-rat-project-0.15,
1dda44c8c8c25cbf102127814073f9fe306c1ed7,ottlinger,ottlinger,1,['pom.xml'],Set properties to properly generate the download page during release,
7cc67a86e206818326ccbfdb13e18af460657c3c,ottlinger,ottlinger,2,"['RELEASE-NOTES.txt', 'src/changes/changes.xml']",RAT-305: Fix changelog for dependabot updates,RAT-305
4e77ef874a8f7fee59844b50a22a1b58cc8e4469,ottlinger,ottlinger,1,['src/changes/changes.xml'],Add hint on how to generate a non-SNAPSHOT,
f16275a93a5971871e15188aa20eeef1190ceaee,ottlinger,ottlinger,1,['src/changes/changes.xml'],"RAT-305,RAT-309: Adapt changelog",RAT-305
340827b250496684359d1b37aa4c915405e5d4de,ottlinger,ottlinger,1,['src/changes/changes.xml'],Fix copy-paste error in changelog,
761cda15da20a479c7c0c3e486a7ccb64aebe64d,ottlinger,ottlinger,1,['src/changes/changes.xml'],Prepare changelog for 0.15 release,
48ce3ad577f626a996d510153aab6f94131793a9,ottlinger,ottlinger,1,['src/changes/changes.xml'],Prepare changelog for next release,
f98bc44cf5ce3c7aa180338e0d6529a882fcec2b,ottlinger,web-flow,5,"['apache-rat-core/src/main/java/org/apache/rat/report/xml/writer/impl/base/XmlWriter.java', 'apache-rat-plugin/pom.xml', 'apache-rat-plugin/src/main/java/org/apache/rat/mp/AbstractRatMojo.java', 'apache-rat-plugin/src/main/java/org/apache/rat/mp/RatReportMojo.java', 'src/changes/changes.xml']","Merge pull request #78 from michael-o/RAT-309

RAT-309: Upgrade Maven Reporting API to 3.1.1/Complete with Maven Re…",
785be2c02a5de20b4e555e304af66e6d334c1108,ottlinger,web-flow,4,"['.github/workflows/maven.yml', 'RELEASE_NOTES.txt', 'pom.xml', 'src/changes/changes.xml']",Merge branch 'master' into RAT-309,
2d070d7f64ef2d1d65cd8fb0155c67cad0b7000c,ottlinger,ottlinger,1,['src/changes/changes.xml'],RAT-306: Add changelog for changelog publication,RAT-306
e5b304e2c88cbd0df278d06a6852be0c93532def,ottlinger,ottlinger,1,['RELEASE_NOTES.txt'],Add 0.14 to global release notes list,
c20cef1232ec8ce5be5d66922249ab0a6fbc8198,ottlinger,web-flow,1,['pom.xml'],"Merge pull request #86 from apache/dependabot/maven/org.apache.maven.plugins-maven-project-info-reports-plugin-3.4.1

RAT-305: Bump maven-project-info-reports-plugin from 3.3.0 to 3.4.1",
c7db509e02336cf79cba355cff68510e82d878b1,ottlinger,web-flow,1,['pom.xml'],Merge branch 'master' into dependabot/maven/org.apache.maven.plugins-maven-project-info-reports-plugin-3.4.1,
6d156b4ecfd28268748de31610e2bdca10720478,ottlinger,web-flow,1,['pom.xml'],"Merge pull request #85 from apache/dependabot/maven/org.apache.maven.plugins-maven-javadoc-plugin-3.4.1

RAT-305: Bump maven-javadoc-plugin from 3.4.0 to 3.4.1",
c4308bd3182a9e921359d30b8a02414c97c8c3b9,ottlinger,web-flow,0,[],Merge branch 'master' into dependabot/maven/org.apache.maven.plugins-maven-javadoc-plugin-3.4.1,
