hash,authors,committer,changes_FileNum,changed_files,message,bug_id
d0d122e69a166dfae0e3a3c9d31982b6289c03a8,ottlinger,ottlinger,1,['pom.xml'],Enable RAT exclusion for asf github control,
99dfcab1442f34a6a6b214031753afb3a0163280,ottlinger,ottlinger,1,['.asf.yaml'],Add github metadata,
ec5db23bb35499eaab9fd06d5023d7bf75e7da12,ottlinger,ottlinger,1,['README.md'],RAT-312: Remove links to travis,RAT-312
0a0429509caa25d6fec7d0016f42896b3d1e3083,ottlinger,ottlinger,2,"['.travis.yml', 'pom.xml']",RAT-312: Do not use Travis anymore,RAT-312
909b3078adc4ca953413a8bf0bd0243115f4403a,ottlinger,web-flow,1,['pom.xml'],"Merge pull request #61 from apache/dependabot/maven/org.apache.rat-apache-rat-plugin-0.15

Bump apache-rat-plugin from 0.14 to 0.15",
2f2b1e0ea2d9f8297955eeb17be36489a1b60cbe,dependabot[bot],web-flow,1,['pom.xml'],"Bump apache-rat-plugin from 0.14 to 0.15

Bumps apache-rat-plugin from 0.14 to 0.15.

---
updated-dependencies:
- dependency-name: org.apache.rat:apache-rat-plugin
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
fe543a5b1b28ac14a6a605d4d11beb6cd171c32c,ottlinger,web-flow,1,['pom.xml'],"Merge pull request #60 from apache/dependabot/maven/org.apache.maven.plugins-maven-shade-plugin-3.4.0

Bump maven-shade-plugin from 3.3.0 to 3.4.0",
d99f3a244bebc15ab9af1a66389d395c2eee44bc,dependabot[bot],web-flow,1,['pom.xml'],"Bump maven-shade-plugin from 3.3.0 to 3.4.0

Bumps [maven-shade-plugin](https://github.com/apache/maven-shade-plugin) from 3.3.0 to 3.4.0.
- [Release notes](https://github.com/apache/maven-shade-plugin/releases)
- [Commits](https://github.com/apache/maven-shade-plugin/compare/maven-shade-plugin-3.3.0...maven-shade-plugin-3.4.0)

---
updated-dependencies:
- dependency-name: org.apache.maven.plugins:maven-shade-plugin
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
0746db9ddad9ac86c9faf72187741a1655e0502c,ottlinger,web-flow,1,['pom.xml'],"Merge pull request #59 from apache/dependabot/maven/org.apache.maven.plugins-maven-pmd-plugin-3.19.0

Bump maven-pmd-plugin from 3.18.0 to 3.19.0",
e404cb968ce90a02b6563e2d8cd0bcad125924cf,dependabot[bot],web-flow,1,['pom.xml'],"Bump maven-pmd-plugin from 3.18.0 to 3.19.0

Bumps [maven-pmd-plugin](https://github.com/apache/maven-pmd-plugin) from 3.18.0 to 3.19.0.
- [Release notes](https://github.com/apache/maven-pmd-plugin/releases)
- [Commits](https://github.com/apache/maven-pmd-plugin/compare/maven-pmd-plugin-3.18.0...maven-pmd-plugin-3.19.0)

---
updated-dependencies:
- dependency-name: org.apache.maven.plugins:maven-pmd-plugin
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
62f487f5b389fb9f1a15516d9ebb5b9b1188d574,ottlinger,web-flow,1,['pom.xml'],"Merge pull request #58 from apache/dependabot/maven/org.apache.maven.plugins-maven-pmd-plugin-3.18.0

Bump maven-pmd-plugin from 3.17.0 to 3.18.0",
