hash,authors,committer,changes_FileNum,changed_files,message,bug_id
9b3a145372d9a8bc9a71adb630a1ad9b71fd2889,XComp,web-flow,2,"['curator-recipes/src/main/java/org/apache/curator/framework/recipes/leader/LeaderLatch.java', 'curator-recipes/src/test/java/org/apache/curator/framework/recipes/leader/TestLeaderLatch.java']","[CURATOR-653] Proposed changes based on PR #398 (#436)

Co-authored-by: shixiaoxiao <shixiaoxiao@shixiaoxiao1deMacBook-Pro.local>
Co-authored-by: tison <wander4096@gmail.com>",CURATOR-653
4b96f18b311485d006f65c1462d2cdd0b5838c84,tisonkun,web-flow,4,"['curator-recipes/pom.xml', 'curator-recipes/src/main/java/org/apache/curator/framework/recipes/leader/LeaderLatch.java', 'curator-recipes/src/test/java/org/apache/curator/framework/recipes/leader/TestLeaderLatch.java', 'curator-test-zk35/pom.xml']","CURATOR-644. CURATOR-645. Fix livelock in LeaderLatch (#430)

Signed-off-by: tison <wander4096@gmail.com>
Co-authored-by: Matthias Pohl <matthias.pohl@aiven.io>",CURATOR-644
4e19ca12a0ed5eced2ddcc026399382731b1ce19,tisonkun,web-flow,10,"['curator-framework/pom.xml', 'curator-framework/src/test/java/org/apache/curator/framework/imps/TestReadOnly.java', 'curator-recipes/src/test/java/org/apache/curator/framework/recipes/leader/ChaosMonkeyCnxnFactory.java', 'curator-test/src/main/java/org/apache/curator/test/QuorumConfigBuilder.java', 'curator-test/src/main/java/org/apache/curator/test/TestingQuorumPeerMain.java', 'curator-test/src/main/java/org/apache/curator/test/TestingZooKeeperMain.java', 'curator-test/src/main/java/org/apache/curator/test/TestingZooKeeperServer.java', 'curator-test/src/main/java/org/apache/curator/test/ZooKeeperMainFace.java', 'curator-test/src/main/java/org/apache/curator/test/ZooKeeperServerEmbeddedAdapter.java', 'curator-test/src/test/java/org/apache/curator/test/TestTestingServer.java']",CURATOR-587. Use ZooKeeperServerEmbedded to start TestingServer (#434),CURATOR-587
e70ef67105e41d589d5f855cf6d4013434122c34,tisonkun,tisonkun,3,"['curator-client/pom.xml', 'curator-client/src/test/java/org/apache/curator/TestRetryLoop.java', 'pom.xml']","Introduce AssertJ for assertions

AssertJ's assertions generate fruitful messages when there're failures.

Signed-off-by: tison <wander4096@gmail.com>",
b66240c80e8f289b701ecccc1febfd2f7a3f6aac,snuyanzin,web-flow,1,['curator-client/src/main/java/org/apache/curator/utils/Compatibility.java'],CURATOR-538: address from InetSocketAddress could be null as it means unresolved address (#433),CURATOR-538
917a98ff79954dba0180745627c30c73d885b64c,jmalves,web-flow,1,['curator-framework/src/main/java/org/apache/curator/framework/CuratorFramework.java'],CURATOR-648: Fixed CuratorFramework#blockUntilConnected documentation (#432),CURATOR-648
d4aa4424a2b2e3f3c640937d8d539e8c76e2564a,tisonkun,web-flow,8,"['curator-client/pom.xml', 'curator-examples/pom.xml', 'curator-framework/pom.xml', 'curator-recipes/pom.xml', 'curator-test/pom.xml', 'curator-x-discovery-server/pom.xml', 'curator-x-discovery/pom.xml', 'pom.xml']","CURATOR-524. Fix all URLs as https (#431)

Signed-off-by: tison <wander4096@gmail.com>",CURATOR-524
46e1536d3309adcfc10c072d84d46d6ab24eb4fc,kezhuw,web-flow,2,"['curator-framework/src/main/java/org/apache/curator/framework/imps/EnsembleTracker.java', 'curator-framework/src/test/java/org/apache/curator/framework/imps/TestReconfiguration.java']","CURATOR-638: Use getHostString() to build connection string in EnsembleTracker (#425)

In Kubernetes, IP addresses are not resistant to pod restart.
`InetSocketAddress.getAddress().getHostAddress()` could target to non
ZooKeeper pods and causes curator fail to reach ZooKeeper ensemble.

Further more, this is compatible with `QuorumVerifier.toString` and
`QuorumServer.toString`.",CURATOR-638
5e1f28c4bfdbcf53640a72aac53ff566d359444a,tisonkun,tisonkun,4,"['curator-test-zk35/pom.xml', 'curator-test-zk35/src/test/java/org/apache/curator/framework/TestCompatibility.java', 'curator-test-zk35/src/test/java/org/apache/curator/zk35/TestIs35.java', 'curator-test-zk36/src/test/java/org/apache/curator/zk36/TestIs36.java']","CURATOR-596. tidy test suite settings

Signed-off-by: tison <wander4096@gmail.com>",CURATOR-596
8fb978d0ff4569c80dae19514e8605eca6e80cfc,kezhuw,web-flow,9,"['curator-client/pom.xml', 'curator-client/src/test/java/org/apache/curator/TestIs37.java', 'curator-framework/src/test/java/org/apache/curator/framework/imps/TestReadOnly.java', 'curator-test-zk36/pom.xml', 'curator-test-zk36/src/test/java/org/apache/curator/zk36/TestIs36.java', 'curator-test-zk36/src/test/resources/log4j.properties', 'curator-test/src/main/java/org/apache/curator/test/QuorumConfigBuilder.java', 'curator-test/src/main/java/org/apache/curator/test/compatibility/CuratorTestBase.java', 'pom.xml']","CURATOR-596. Support ZooKeeper 3.7.1 (#426)

Co-authored-by: tison <wander4096@gmail.com>",CURATOR-596
