hash,authors,committer,changes_FileNum,changed_files,message,bug_id
63122947001cdece57ad054a9d5a43a84c5aefc9,struberg,struberg,2,"['deltaspike/core/api/src/main/java/org/apache/deltaspike/core/spi/config/ConfigSource.java', 'deltaspike/core/impl/src/test/java/org/apache/deltaspike/test/core/api/config/TestConfigSourceProvider.java']","DELTASPIKE-1456 add default methods to ConfigSource

* isScannable() is now a default method which returns true
* getOrdinal() is now a default method which checks ""deltaspike_ordinal""
or returns 100.",DELTASPIKE-1456
0c1c940a1d1de62c99c12930a8ff77aaec0c99c0,struberg,struberg,1,['deltaspike/modules/servlet/impl/pom.xml'],"upgrade httpcomponents to 4.5.13

only used for tests",
70d5bb28b445f31762ebd96697e4076a01b16ae2,struberg,struberg,3,"['build.sh', 'buildall.sh', 'pom.xml']",update to apache-parent 26,
717d36b9a361e56b08030eb258f769dfe0d7c6a3,struberg,struberg,2,"['deltaspike/parent/code/pom.xml', 'deltaspike/parent/pom.xml']","various small version upgrades

* javassist
* junit
* commons-logging",
e2b94e5a5ac05cf1afb9c2d007be2b519f6a417d,struberg,struberg,2,"['deltaspike/examples/scheduler-playground/pom.xml', 'deltaspike/modules/scheduler/impl/pom.xml']",update quartz to 2.3.2,
2eb973966f69f9d5096add20e7991d4faf21726a,struberg,struberg,1,['deltaspike/parent/pom.xml'],"remove obsolete comment

txs to Jeremy Landis (id:hazendaz) for the hint/patch!",
ad9e533791ac9145a682a9120b03591854c2b195,hazendaz,struberg,1,['deltaspike/parent/pom.xml'],"Add java 17 support with add opens to tests

- Use surefire 2.22.2
- Add opens for java.lang, java.util, and sun.rmi.transport",
6e9c47225bd740af73cd4c42aff25325c9d7bc01,hazendaz,struberg,2,"['deltaspike/parent/code/pom.xml', 'deltaspike/parent/pom.xml']",Use correct geronimo 2.0 spec with hibernate validator 6 series,
a84d92733890459f4298145d7c452a46fe00aae8,struberg,struberg,1,['deltaspike/buildall.sh'],"adding now working Weld3 profile back to the convenience build script

Thanks to Jeremy Landis (id: hazendaz) for getting Weld3 working again!",
a4240790169c4911bff576bf2aeb96ceed08a5ca,hazendaz,struberg,1,['pom.xml'],Add relativePath to force look into .m2 for apache parent instead of project first,
7852b3076d7418e11fb9420ac27265a0c9ab4a07,hazendaz,struberg,2,"['deltaspike/parent/code/pom.xml', 'deltaspike/parent/pom.xml']",Bump arquillian-weld to 2.1.0.Final for weld3 profile,
d090c528ea6020bdadcdf6a1380bda049b595bde,rzo1,struberg,1,['deltaspike/parent/code/pom.xml'],"DELTASPIKE-1434 - Adds relocation pattern for javax.el, javax.servlet, javax.decorator, javax.faces",DELTASPIKE-1434
1123a239d93e91d1fe0d46fec8784acd224e9c6d,struberg,struberg,4,"['deltaspike/buildall.sh', 'deltaspike/modules/data/impl/pom.xml', 'deltaspike/modules/data/test-ee7/pom.xml', 'deltaspike/parent/code/pom.xml']",fix ee container setup,
651993cd7a515323c40c1aa24df48ae279d65280,struberg,struberg,1,['deltaspike/cdictrl/impl-weld/src/main/java/org/apache/deltaspike/cdise/weld/WeldContainerControl.java'],"DELTASPIKE-1455 only WARN if properties are passed

On old Weld Versions there is no setProperties method.
If one passes in properties we should just WARN and not fail.
Because it might be code which can handle this somehow else.",DELTASPIKE-1455
53558c905c0177010b0b9ab72b31d787e2dd1a5b,struberg,struberg,1,['deltaspike/parent/pom.xml'],"upgrade hivernate-validator to 4.3.2.Final

just a test dependency",
b7c4f46c1ef893d37f02ca97ef5b5d4bce93e24a,struberg,struberg,2,"['deltaspike/cdictrl/impl-weld/src/main/java/org/apache/deltaspike/cdise/weld/WeldContainerControl.java', 'deltaspike/core/api/src/main/java/org/apache/deltaspike/core/util/ClassUtils.java']","DELTASPIKE-1455 call setProperties via reflection

Only Weld3 and beyond has a setProperties method.
Thus we only support passing properties for those containers and have
to use reflection to invoke that method.",DELTASPIKE-1455
e5c3f1dfbfd29eac4377cfbeb72fa02d6f082ef9,vanta,struberg,1,['deltaspike/cdictrl/impl-weld/src/main/java/org/apache/deltaspike/cdise/weld/WeldContainerControl.java'],"Changing key value to be `Object`, not `String`",
12e2ae84840c8cd15edd3c6186587a51518bb65d,vanta,struberg,1,['deltaspike/cdictrl/impl-weld/src/main/java/org/apache/deltaspike/cdise/weld/WeldContainerControl.java'],Allow to pass properties to Weld,
236dce676af78eb6f8680be71ebdff6b4a84d844,rzo1,struberg,1,['deltaspike/parent/code/pom.xml'],DELTASPIKE-1434 - Adds relocation pattern for javax.persistence,DELTASPIKE-1434
4d73324914630f03f03c030738d44a0438818943,rzo1,struberg,1,['deltaspike/parent/code/pom.xml'],"DELTASPIKE-1434 - Refine relocation patterns for javax -> jakarta + adds service transformer

Signed-off-by: Mark Struberg <struberg@apache.org>",DELTASPIKE-1434
