hash,authors,committer,changes_FileNum,changed_files,message,bug_id
7b9cd4fbafa3f8099bef9ac4529f06815795d74f,coheigea,coheigea,1,['pom.xml'],Updating to commons-text 1.10.0,
7167c49b22f772cf0c1243b172a0c3ebd782eccc,coheigea,coheigea,1,['kerby-kerb/kerb-common/pom.xml'],Removing xnio from kerb-common,
290c32c49363d0fbdd8da6d06d7fad4526940e42,coheigea,coheigea,1,['pom.xml'],DIRKRB-760 - Updating Xnio to 3.8.8.Final,DIRKRB-760
5449a5c676958b2d4e422253beab7c0ae56b12a8,coheigea,coheigea,1,['pom.xml'],Updating Netty to 4.1.78.Final,
9ff21b4721fcdcb9a1537de15a935149e82b94e1,coheigea,coheigea,1,['pom.xml'],Updating some dependencies,
0404c54dd6188b295c788b7fd11bd8af66abe4b9,coheigea,coheigea,1,['pom.xml'],Updating xnio to 3.8.7,
06badb035a367c81233a9600fc51845e4348e541,coheigea,coheigea,49,"['benchmark/pom.xml', 'has-project/has-client-plugin/pom.xml', 'has-project/has-client/pom.xml', 'has-project/has-common/pom.xml', 'has-project/has-server-plugin/pom.xml', 'has-project/has-server/pom.xml', 'has-project/pom.xml', 'kerby-backend/json-backend/pom.xml', 'kerby-backend/ldap-backend/pom.xml', 'kerby-backend/mavibot-backend/pom.xml', 'kerby-backend/mysql-backend/pom.xml', 'kerby-backend/pom.xml', 'kerby-backend/zookeeper-backend/pom.xml', 'kerby-common/kerby-asn1/pom.xml', 'kerby-common/kerby-config/pom.xml', 'kerby-common/kerby-util/pom.xml', 'kerby-common/kerby-xdr/pom.xml', 'kerby-common/pom.xml', 'kerby-dist/has-dist/pom.xml', 'kerby-dist/kdc-dist/pom.xml', 'kerby-dist/pom.xml', 'kerby-dist/tool-dist/pom.xml', 'kerby-kdc-test/pom.xml', 'kerby-kdc/pom.xml', 'kerby-kerb/integration-test/pom.xml', 'kerby-kerb/kerb-admin-server/pom.xml', 'kerby-kerb/kerb-admin/pom.xml', 'kerby-kerb/kerb-client-api-all/pom.xml', 'kerby-kerb/kerb-client/pom.xml', 'kerby-kerb/kerb-common/pom.xml', 'kerby-kerb/kerb-core/pom.xml', 'kerby-kerb/kerb-crypto/pom.xml', 'kerby-kerb/kerb-gssapi/pom.xml', 'kerby-kerb/kerb-identity-test/pom.xml', 'kerby-kerb/kerb-identity/pom.xml', 'kerby-kerb/kerb-kdc-test/pom.xml', 'kerby-kerb/kerb-server-api-all/pom.xml', 'kerby-kerb/kerb-server/pom.xml', 'kerby-kerb/kerb-simplekdc/pom.xml', 'kerby-kerb/kerb-util/pom.xml', 'kerby-kerb/pom.xml', 'kerby-pkix/pom.xml', 'kerby-provider/pom.xml', 'kerby-provider/token-provider/pom.xml', 'kerby-tool/client-tool/pom.xml', 'kerby-tool/has-tool/pom.xml', 'kerby-tool/kdc-tool/pom.xml', 'kerby-tool/pom.xml', 'pom.xml']",[maven-release-plugin] prepare for next development iteration,
5b4cf459eece6ec96cf0e4b12572400d395decb0,coheigea,coheigea,49,"['benchmark/pom.xml', 'has-project/has-client-plugin/pom.xml', 'has-project/has-client/pom.xml', 'has-project/has-common/pom.xml', 'has-project/has-server-plugin/pom.xml', 'has-project/has-server/pom.xml', 'has-project/pom.xml', 'kerby-backend/json-backend/pom.xml', 'kerby-backend/ldap-backend/pom.xml', 'kerby-backend/mavibot-backend/pom.xml', 'kerby-backend/mysql-backend/pom.xml', 'kerby-backend/pom.xml', 'kerby-backend/zookeeper-backend/pom.xml', 'kerby-common/kerby-asn1/pom.xml', 'kerby-common/kerby-config/pom.xml', 'kerby-common/kerby-util/pom.xml', 'kerby-common/kerby-xdr/pom.xml', 'kerby-common/pom.xml', 'kerby-dist/has-dist/pom.xml', 'kerby-dist/kdc-dist/pom.xml', 'kerby-dist/pom.xml', 'kerby-dist/tool-dist/pom.xml', 'kerby-kdc-test/pom.xml', 'kerby-kdc/pom.xml', 'kerby-kerb/integration-test/pom.xml', 'kerby-kerb/kerb-admin-server/pom.xml', 'kerby-kerb/kerb-admin/pom.xml', 'kerby-kerb/kerb-client-api-all/pom.xml', 'kerby-kerb/kerb-client/pom.xml', 'kerby-kerb/kerb-common/pom.xml', 'kerby-kerb/kerb-core/pom.xml', 'kerby-kerb/kerb-crypto/pom.xml', 'kerby-kerb/kerb-gssapi/pom.xml', 'kerby-kerb/kerb-identity-test/pom.xml', 'kerby-kerb/kerb-identity/pom.xml', 'kerby-kerb/kerb-kdc-test/pom.xml', 'kerby-kerb/kerb-server-api-all/pom.xml', 'kerby-kerb/kerb-server/pom.xml', 'kerby-kerb/kerb-simplekdc/pom.xml', 'kerby-kerb/kerb-util/pom.xml', 'kerby-kerb/pom.xml', 'kerby-pkix/pom.xml', 'kerby-provider/pom.xml', 'kerby-provider/token-provider/pom.xml', 'kerby-tool/client-tool/pom.xml', 'kerby-tool/has-tool/pom.xml', 'kerby-tool/kdc-tool/pom.xml', 'kerby-tool/pom.xml', 'pom.xml']",[maven-release-plugin] prepare release kerby-all-2.0.2,
a4a9cf340d3eab3e4ac1e15f36fd071070a9aca9,coheigea,coheigea,3,"['kerby-common/kerby-xdr/src/main/java/org/apache/kerby/xdr/type/XdrLong.java', 'kerby-common/kerby-xdr/src/main/java/org/apache/kerby/xdr/type/XdrSimple.java', 'kerby-common/kerby-xdr/src/main/java/org/apache/kerby/xdr/util/HexUtil.java']",Fixing javadoc,
396533d2c24ff3d74b08b845b92a1ceca117e24d,coheigea,coheigea,2,"['kerby-tool/client-tool/src/main/java/org/apache/kerby/kerberos/tool/klist/KlistOption.java', 'kerby-tool/client-tool/src/main/java/org/apache/kerby/kerberos/tool/klist/KlistTool.java']",DIRKRB-758 - No way to specify conf dir for klist,DIRKRB-758
