hash,authors,committer,changes_FileNum,changed_files,message,bug_id
86624c4a78c3fa9c8581c6399e30abaef1b21e52,jan666,jan666,2,"['empire-db/src/main/java/org/apache/empire/dbms/postgresql/DBCommandPostgres.java', 'empire-db/src/main/java/org/apache/empire/dbms/postgresql/PostgresSqlPhrase.java']","EMPIREDB-397

- Add support for websearch_to_tsquery",EMPIREDB-397
40019a635c432251b7dce462402402aa41d8678e,,,1,['empire-db/src/main/java/org/apache/empire/db/DBUtils.java'],EMPIREDB-396 fix queryRowCount for parameterized aggregate queries,EMPIREDB-396
465a0b4d23b9bf06ad901d7c80c37f4415342c44,,,2,"['empire-db/src/main/java/org/apache/empire/commons/ObjectUtils.java', 'empire-db/src/main/java/org/apache/empire/db/DBDatabase.java']",EMPIREDB-395 allow non-integer min/max values,EMPIREDB-395
35ab533eea9d07a05256f1bb2e002c5db2f8a16c,,,1,['empire-db/src/main/java/org/apache/empire/db/DBSQLBuilder.java'],EMPIREDB-394 another small fix,EMPIREDB-394
a06fb6b3cb18eaae9d254d075a628a0b2d719e55,,,1,['empire-db/src/main/java/org/apache/empire/db/DBSQLBuilder.java'],EMPIREDB-394 fix for bug reported by Jan,EMPIREDB-394
56b6a8c74cae266ff3a63134a359010a130afec0,,,9,"['empire-db/src/main/java/org/apache/empire/db/DBCmdParamList.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareAndOrExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareColExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareNotExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareParenthesisExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBExistsExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/join/DBColumnJoinExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/join/DBCrossJoinExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/join/DBJoinExpr.java']",EMPIREDB-394 removed outdated subquery param functions,EMPIREDB-394
0a54b99ab7dc660e172a412d26bba2a0d42359ec,,,9,"['empire-db/src/main/java/org/apache/empire/db/DBDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/db/DBSQLBuilder.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBValueExpr.java', 'empire-db/src/main/java/org/apache/empire/dbms/DBMSHandler.java', 'empire-db/src/main/java/org/apache/empire/dbms/DBMSHandlerBase.java', 'empire-db/src/main/java/org/apache/empire/dbms/derby/DerbyDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/mysql/DBMSHandlerMySQL.java', 'empire-db/src/main/java/org/apache/empire/dbms/postgresql/PostgresDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/sqlserver/DBMSHandlerMSSQL.java']",EMPIREDB-394 cleanup DBMSHandler,EMPIREDB-394
ea7c26f2ea8a468580c965bdb2a3b773da183f0c,,,33,"['empire-db/src/main/java/org/apache/empire/db/DBCmdParam.java', 'empire-db/src/main/java/org/apache/empire/db/DBCmdParamList.java', 'empire-db/src/main/java/org/apache/empire/db/DBCmdParams.java', 'empire-db/src/main/java/org/apache/empire/db/DBCombinedCmd.java', 'empire-db/src/main/java/org/apache/empire/db/DBCommand.java', 'empire-db/src/main/java/org/apache/empire/db/DBCommandExpr.java', 'empire-db/src/main/java/org/apache/empire/db/DBDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/db/DBQuery.java', 'empire-db/src/main/java/org/apache/empire/db/DBSQLBuilder.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBCaseWhenExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBCountExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareAndOrExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareColExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareNotExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareParenthesisExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBExistsExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/join/DBColumnJoinExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/join/DBCrossJoinExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/join/DBJoinExpr.java', 'empire-db/src/main/java/org/apache/empire/dbms/DBMSHandler.java', 'empire-db/src/main/java/org/apache/empire/dbms/DBMSHandlerBase.java', 'empire-db/src/main/java/org/apache/empire/dbms/hsql/DBMSHandlerHSql.java', 'empire-db/src/main/java/org/apache/empire/dbms/hsql/HSqlDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/mysql/MySQLDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/oracle/DBMSHandlerOracle.java', 'empire-db/src/main/java/org/apache/empire/dbms/oracle/OracleDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/postgresql/DBMSHandlerPostgreSQL.java', 'empire-db/src/main/java/org/apache/empire/dbms/postgresql/PostgresAtAt.java', 'empire-db/src/main/java/org/apache/empire/dbms/postgresql/PostgresDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/sqlite/SQLiteDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/sqlserver/DBMSHandlerMSSQL.java', 'empire-db/src/test/java/org/apache/empire/db/expr/set/DBSetExprTest.java']",EMPIREDB-394 reworked CmdParam generation,EMPIREDB-394
8c556ee5e525eca653838be4ecba906a7fd3f423,,,64,"['empire-db/src/main/java/org/apache/empire/db/DBCmdParam.java', 'empire-db/src/main/java/org/apache/empire/db/DBColumn.java', 'empire-db/src/main/java/org/apache/empire/db/DBCombinedCmd.java', 'empire-db/src/main/java/org/apache/empire/db/DBCommand.java', 'empire-db/src/main/java/org/apache/empire/db/DBCommandExpr.java', 'empire-db/src/main/java/org/apache/empire/db/DBDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/db/DBDatabase.java', 'empire-db/src/main/java/org/apache/empire/db/DBExpr.java', 'empire-db/src/main/java/org/apache/empire/db/DBQuery.java', 'empire-db/src/main/java/org/apache/empire/db/DBSQLBuilder.java', 'empire-db/src/main/java/org/apache/empire/db/DBSQLScript.java', 'empire-db/src/main/java/org/apache/empire/db/DBTable.java', 'empire-db/src/main/java/org/apache/empire/db/DBView.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBAbstractFuncExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBAliasExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBCalcExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBCaseExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBCaseWhenExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBCmdResultExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBCoalesceExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBConcatExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBConcatFuncExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBConvertExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBCountExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBDecodeExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBFuncExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBParenthesisExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBScalarExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBValueExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBVarArgsFuncExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareAndOrExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareColExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareNotExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareParenthesisExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBExistsExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/join/DBColumnJoinExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/join/DBCompareJoinExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/join/DBCrossJoinExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/order/DBOrderByExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/set/DBSetExpr.java', 'empire-db/src/main/java/org/apache/empire/dbms/DBMSHandler.java', 'empire-db/src/main/java/org/apache/empire/dbms/DBMSHandlerBase.java', 'empire-db/src/main/java/org/apache/empire/dbms/derby/DerbyDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/h2/DBMSHandlerH2.java', 'empire-db/src/main/java/org/apache/empire/dbms/h2/H2DDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/hsql/DBCommandHSql.java', 'empire-db/src/main/java/org/apache/empire/dbms/hsql/DBMSHandlerHSql.java', 'empire-db/src/main/java/org/apache/empire/dbms/hsql/HSqlDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/mysql/DBMSHandlerMySQL.java', 'empire-db/src/main/java/org/apache/empire/dbms/mysql/MySQLDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/oracle/DBCommandOracle.java', 'empire-db/src/main/java/org/apache/empire/dbms/oracle/DBMSHandlerOracle.java', 'empire-db/src/main/java/org/apache/empire/dbms/oracle/OracleDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/oracle/OracleRowNumExpr.java', 'empire-db/src/main/java/org/apache/empire/dbms/postgresql/DBCommandPostgres.java', 'empire-db/src/main/java/org/apache/empire/dbms/postgresql/DBMSHandlerPostgreSQL.java', 'empire-db/src/main/java/org/apache/empire/dbms/postgresql/PostgresAtAt.java', 'empire-db/src/main/java/org/apache/empire/dbms/postgresql/PostgresBoolAndOrExpr.java', 'empire-db/src/main/java/org/apache/empire/dbms/postgresql/PostgresDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/postgresql/PostgresFuncExpr.java', 'empire-db/src/main/java/org/apache/empire/dbms/sqlite/SQLiteDDLGenerator.java', 'empire-db/src/main/java/org/apache/empire/dbms/sqlserver/DBMSHandlerMSSQL.java', 'empire-db/src/main/java/org/apache/empire/dbms/sqlserver/MSSqlDDLGenerator.java', 'empire-db/src/test/java/org/apache/empire/db/expr/set/DBSetExprTest.java']","EMPIREDB-394
Replaced StringBuilder with DBSQLBuilder for SQL statement generation",EMPIREDB-394
5ae2fe6527edf2b19424870dfbc697f0ba5bea50,,,8,"['empire-db/src/main/java/org/apache/empire/db/DBExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBAbstractFuncExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBCalcExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBConcatExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBDecodeExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/column/DBScalarExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareColExpr.java', 'empire-db/src/main/java/org/apache/empire/db/expr/set/DBSetExpr.java']",EMPIREDB-394 replaced DBExpr::getObjectValue(...) by DBExpr::addSQLValue(...),EMPIREDB-394
