hash,authors,committer,changes_FileNum,changed_files,message,bug_id
4672568e2d4ba301108fdf8a3b6384749206a41a,madhawa-gunasekara,web-flow,1,['pom.xml'],"Merge pull request #253 from trisha-melani/GORA-691

GORA-691 Upgrade Lucene driver to latest",
acdb7f4dff403a1b4933c6c457c9ea5c2ac5c6e8,madhawa-gunasekara,web-flow,1,['pom.xml'],"Merge pull request #254 from trisha-melani/GORA-692

GORA-692 Upgrade MongoDB java driver",
e779d7c48c934bd1cbdd382c0746ef90c95aa78a,madhawa-gunasekara,web-flow,1,['pom.xml'],"Upgrade Cassandra driver version

Upgrade Cassandra driver version",
f78de95ceab3e78840526a5bc3025d7bb262ee32,himanshuacharya95,himanshuacharya95,1,['pom.xml'],Upgrade cassandra driver version,
056eb7d5d53c869181f7b7b832cb9ae8dd306be7,trisha-melani,trisha-melani,1,['pom.xml'],Fix merge conflicts,
e2ef9987975212c044e20c75d3ab2758f741a02f,trisha-melani,trisha-melani,16,"['.github/workflows/master-pr-build.yml', 'gora-elasticsearch/src/main/java/org/apache/gora/elasticsearch/mapping/ElasticsearchMapping.java', 'gora-elasticsearch/src/main/java/org/apache/gora/elasticsearch/mapping/ElasticsearchMappingBuilder.java', 'gora-elasticsearch/src/main/java/org/apache/gora/elasticsearch/mapping/Field.java', 'gora-elasticsearch/src/main/java/org/apache/gora/elasticsearch/query/ElasticsearchQuery.java', 'gora-elasticsearch/src/main/java/org/apache/gora/elasticsearch/query/ElasticsearchResult.java', 'gora-elasticsearch/src/main/java/org/apache/gora/elasticsearch/store/ElasticsearchStore.java', 'gora-elasticsearch/src/main/java/org/apache/gora/elasticsearch/store/ElasticsearchStoreCollectionMetadata.java', 'gora-elasticsearch/src/main/java/org/apache/gora/elasticsearch/store/ElasticsearchStoreMetadataAnalyzer.java', 'gora-elasticsearch/src/main/java/org/apache/gora/elasticsearch/utils/AuthenticationType.java', 'gora-elasticsearch/src/main/java/org/apache/gora/elasticsearch/utils/ElasticsearchConstants.java', 'gora-elasticsearch/src/main/java/org/apache/gora/elasticsearch/utils/ElasticsearchParameters.java', 'gora-elasticsearch/src/test/java/org/apache/gora/elasticsearch/GoraElasticsearchTestDriver.java', 'gora-elasticsearch/src/test/java/org/apache/gora/elasticsearch/mapreduce/ElasticsearchStoreMapReduceTest.java', 'gora-elasticsearch/src/test/java/org/apache/gora/elasticsearch/store/TestElasticsearchStore.java', 'pom.xml']","Merge branch 'master' of https://github.com/apache/gora into GORA-692

 Conflicts:
	pom.xml",
cb8e6ba68438355572e480de2d93adddbfae637e,trisha-melani,trisha-melani,1,['pom.xml'],GORA-692 Upgrade MongoDB java driver,GORA-692
b04a239866d010d4850e6558f435c9cb1009f13c,trisha-melani,trisha-melani,1,['pom.xml'],GORA-691 upgrade Lucene driver,GORA-691
44ecabb241201c37f94ade36806b2070eca0144c,lewismc,web-flow,1,['.github/workflows/master-pr-build.yml'],"Update master-pr-build.yml

Attempting to fix Github Action for incoming pull requests as per https://github.com/actions/first-interaction/issues/10#issuecomment-910605074",
3da368d4d46aaaded5543d01342abb3a49cd4d53,madhawa-gunasekara,web-flow,1,['pom.xml'],"Update mongodb driver version to 3.12.8

Update mongodb driver version to 3.12.8",
4a9394ecf8e91fc644a8f1103783ef3804f15312,madhawa-gunasekara,web-flow,1,['pom.xml'],"GORA-677 Upgrade Ignite version 2.10.0

GORA-677 Upgrade Ignite version 2.10.0",GORA-677
