hash,authors,committer,changes_FileNum,changed_files,message,bug_id
996d86efae0d3850d6c4b677ab67f7f43f7c2a99,micahstubbs,web-flow,8,"['helix-front/package.json', 'helix-front/server/tsconfig.json', 'helix-front/src/app/app.component.ts', 'helix-front/src/app/core/user.service.ts', 'helix-front/src/app/shared/helper.service.ts', 'helix-front/src/tsconfig.app.json', 'helix-front/tsconfig.json', 'helix-front/yarn.lock']","Identity Token Cookie (#2250)

Set a cookie containing the Identity Token if
an Identity Token Source is configured for helix-front.",
f71996d2445f89906ca77d34b7a1ca35760bf35c,qqu0127,web-flow,4,"['helix-admin-webapp/pom.xml', 'helix-rest/pom.xml', 'helix-rest/src/test/java/org/apache/helix/rest/server/TestHelixRestServer.java', 'zookeeper-api/pom.xml']","Upgrade dependencies to fix vulnerability issues in helix-rest (#2248)

Upgrade dependencies to fix vulnerability issues in helix-rest, test improvement and config typo fix.",
12660e819051ca5fdea80f369d6d499740ce3d3b,junkaixue,junkaixue,1,['pom.xml'],Update PMC Chair,
cfa08e481ad2b95aee0c82b0d81368faa660a0ce,micahstubbs,web-flow,6,"['helix-front/package.json', 'helix-front/server/.gitignore', 'helix-front/server/config.example.ts', 'helix-front/server/config.ts', 'helix-front/server/controllers/d.ts', 'helix-front/server/controllers/user.ts']","Add support for optional identity token source in helix-front 

During helix-front login, optionally request an identity token
from a configurable identity token API.",
995ef8d4f1ddfebc4622731072be3a8b6d4fcf46,NealSun96,web-flow,1,['pom.xml'],"Add nealsun to pom.xml (#2233)

Co-authored-by: Neal Sun <nesun@nesun-mn2.linkedin.biz>",
654636e54268907deb2e12d32913455cc543b436,Marcosrico,web-flow,10,"['helix-core/src/main/java/org/apache/helix/manager/zk/CallbackEventThreadPoolFactory.java', 'helix-core/src/main/java/org/apache/helix/manager/zk/ZKHelixManager.java', 'helix-core/src/main/java/org/apache/helix/manager/zk/ZkBaseDataAccessor.java', 'helix-core/src/main/java/org/apache/helix/tools/commandtools/JmxDumper.java', 'helix-core/src/main/java/org/apache/helix/tools/commandtools/TaskAdmin.java', 'helix-rest/src/main/java/org/apache/helix/rest/client/CustomRestClientImpl.java', 'helix-rest/src/main/java/org/apache/helix/rest/server/HelixRestServer.java', 'helix-rest/src/main/java/org/apache/helix/rest/server/resources/helix/InstancesAccessor.java', 'helix-view-aggregator/src/main/java/org/apache/helix/view/statemodel/DistViewAggregatorStateModel.java', 'zookeeper-api/src/main/java/org/apache/helix/zookeeper/zkclient/ZkClient.java']","Unnecessary log removal (#2208)

Remove unnecessary logs to clean up code in Helix.",
cc3375c67949cf9945f90e6380cfa46171ebc673,micahstubbs,web-flow,1,['.github/pull_request_template.md'],"put pull_request_template.md in the .github dir so that it will be used by default (#2224)

put pull_request_template.md in the .github dir so that it will be used by default (#2224)",
a47df77e590fddd3ed56bf3d32ed834afca1556b,qqu0127,web-flow,2,"['helix-core/pom.xml', 'helix-core/src/main/java/org/apache/helix/BaseDataAccessor.java']","Add default method for TTL support (#2223)

Implement default methods for two TTL related methods in BaseDataAccessor to maintain compatibility.",
ea7076ec8edca5e7bc52c0565e18a7e611852992,mgao0,web-flow,7,"['helix-core/helix-core-1.0.5-SNAPSHOT.ivy', 'helix-core/pom.xml', 'helix-core/src/main/java/org/apache/helix/tools/commandtools/ZKLogFormatter.java', 'zookeeper-api/pom.xml', 'zookeeper-api/src/main/java/org/apache/helix/zookeeper/zkclient/ZkServer.java', 'zookeeper-api/src/test/java/org/apache/helix/zookeeper/impl/client/TestRawZkClient.java', 'zookeeper-api/zookeeper-api-1.0.5-SNAPSHOT.ivy']","Upgrade to zookeeper 3.6.3 (#2219)

Bump up zookeeper dependency version to 3.6.3",
83e9bab30b36d9f0d67b0bbc62fd6f1536b04920,micahstubbs,web-flow,5,"['helix-front/server/controllers/helix.ts', 'helix-front/src/app/cluster/shared/cluster.service.ts', 'helix-front/src/app/configuration/shared/configuration.service.ts', 'helix-front/src/app/instance/shared/instance.service.ts', 'helix-front/src/app/shared/models/node.model.ts']","Ensure request body is sent from helix-front to helix-rest

Fix Angular http payload argument bug
Display helix-rest status codes in Helix UI",
