hash,authors,committer,changes_FileNum,changed_files,message,bug_id
793bbc2dc2d1baf05f3a337e1e4ca1df0b3a6686,ok2c,ok2c,1,['httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/Http1IntegrationTest.java'],Corrected asserts in Http1IntegrationTest#testExpectationFailed test case,
d31e3b6db75b9432b80d442aefd86e6fbc012c97,ok2c,ok2c,1,['httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/EchoHandler.java'],Improved capacity tracking in async EchoHandler,
853debcf864ef703f8d15530ad236fd6104ddf1d,ok2c,ok2c,48,"['httpcore5-testing/pom.xml', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicAuthenticationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicHttp1CoreTransportTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicHttp1SocksProxyCoreTransportTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicHttpCoreTransportTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicIntegrationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicIntegrationTests.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicProtocolTests.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicServerBootstrapFilterTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicTLSIntegrationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/MonitoringResponseOutOfOrderStrategyIntegrationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/extension/ClassicTestResources.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/extension/HttpRequesterResource.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/extension/HttpServerResource.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/extension/SocksProxyResource.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/AsyncServerBootstrapFilterTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2AlpnTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2AlpnTests.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2CoreTransportMultiplexingTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2CoreTransportTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2IntegrationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2ProtocolNegotiationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2ServerAndRequesterTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2ServerBootstrapFiltersTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2SocksProxyCoreTransportTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/Http1AuthenticationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/Http1CoreTransportTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/Http1IntegrationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/Http1SocksProxyCoreTransportTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/HttpCoreTransportTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/HttpIntegrationTests.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/HttpProtocolTests.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/InternalH2ServerTestBase.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/InternalHttp1ServerTestBase.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/JSSEProviderIntegrationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/JSSEProviderIntegrationTests.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/TLSIntegrationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/TLSUpgradeTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/extension/H2AsyncRequesterResource.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/extension/H2AsyncServerResource.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/extension/H2MultiplexingRequesterResource.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/extension/H2TestResources.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/extension/Http1TestResources.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/extension/HttpAsyncRequesterResource.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/extension/HttpAsyncServerResource.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/reactive/IntegrationTests.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/reactive/ReactiveClientTest.java', 'pom.xml']",Fixed integration tests broken by JUnit 5 upgrade,
f1bb865b6f4959a56d89f6eb7a13cee5ac909fb6,johnlcox,ok2c,2,"['httpcore5/src/main/java/org/apache/hc/core5/http/nio/support/classic/SharedInputBuffer.java', 'httpcore5/src/test/java/org/apache/hc/core5/http/nio/support/classic/TestSharedInputBuffer.java']",HTTPCORE-726: Improved capacity management in SharedInputBuffer,HTTPCORE-726
5718b4bc305ff403dc16709870cba32ce88d7995,dependabot[bot],ok2c,1,['pom.xml'],"Bump log4j.version from 2.17.2 to 2.19.0

Bumps `log4j.version` from 2.17.2 to 2.19.0.

Updates `log4j-slf4j-impl` from 2.17.2 to 2.19.0

Updates `log4j-core` from 2.17.2 to 2.19.0

---
updated-dependencies:
- dependency-name: org.apache.logging.log4j:log4j-slf4j-impl
  dependency-type: direct:production
  update-type: version-update:semver-minor
- dependency-name: org.apache.logging.log4j:log4j-core
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
57120024bf9cf25376dc2b1cee545cf3ecd60a1e,ok2c,ok2c,1,['httpcore5/src/main/java/org/apache/hc/core5/http/nio/entity/StringAsyncEntityConsumer.java'],Bug fix: fixed incorrect calculation of the capacity increment in StringAsyncEntityConsumer,
912683c0c204c546fb8137cbb72aaa5b0d718506,ok2c,ok2c,1,['httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/Http1IntegrationTest.java'],Removed racy assert in #testPrematureResponse,
efb3cb1503aeae9e9537ed4b276e3262bb12d40c,ok2c,ok2c,1,['.github/workflows/maven.yml'],Temporarily removed windows-latest from the Github CI OS matrix due to intermittent network failures (java.io.IOException: An established connection was aborted by the software in your host machine). It is unclear whether this is a bug in the library or in the Windows JRE.,
aae4c0d251a261a9e5e9996822236f7702246196,garydgregory,ok2c,17,"['httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicAuthenticationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicServerAndRequesterTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicServerBootstrapFilterTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/classic/ClassicTLSIntegrationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/AsyncServerBootstrapFilterTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2AlpnTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2IntegrationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2ProtocolNegotiationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2ServerAndMultiplexingRequesterTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2ServerAndRequesterTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/H2ServerBootstrapFiltersTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/Http1AuthenticationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/Http1IntegrationTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/Http1ServerAndRequesterTest.java', 'httpcore5-testing/src/test/java/org/apache/hc/core5/testing/nio/JSSEProviderIntegrationTest.java', 'httpcore5/src/test/java/org/apache/hc/core5/http/nio/support/classic/TestSharedInputBuffer.java', 'httpcore5/src/test/java/org/apache/hc/core5/http/nio/support/classic/TestSharedOutputBuffer.java']",Be more lenient on slower build machines like CI agents,
41c09091735777d46388a4d374f703a413302da8,garydgregory,ok2c,1,['README.md'],Replace Travis-CI badge with GitHub Actions badge,
