hash,authors,committer,changes_FileNum,changed_files,message,bug_id
bf7abca058f1614756aa928ddada8860d9b1677c,smolnar82,web-flow,2,"['knox-webshell-ui/angular.json', 'knox-webshell-ui/package.json']",KNOX-2860 - Build the knox-webshell-ui project the same way as we build other UIs (#706),KNOX-2860
5fcd049127ea275d4819a780ec0fcc4c9d4862b9,smolnar82,web-flow,1,['gateway-release/home/conf/topologies/homepage.xml'],KNOX-2857 - Fixed typo in some of the config names (#705),KNOX-2857
6a4d5dfb4cca531a3adda0e6330cc806d0192249,smolnar82,web-flow,31,"['gateway-provider-identity-assertion-common/src/main/java/org/apache/knox/gateway/IdentityAsserterMessages.java', 'gateway-provider-identity-assertion-common/src/main/java/org/apache/knox/gateway/identityasserter/common/filter/AbstractIdentityAsserterDeploymentContributor.java', 'gateway-provider-identity-assertion-common/src/main/java/org/apache/knox/gateway/identityasserter/common/filter/AbstractIdentityAssertionFilter.java', 'gateway-provider-identity-assertion-common/src/main/java/org/apache/knox/gateway/identityasserter/common/filter/CommonIdentityAssertionFilter.java', 'gateway-provider-identity-assertion-common/src/test/java/org/apache/knox/gateway/identityasserter/common/filter/CommonIdentityAssertionFilterTest.java', 'gateway-provider-identity-assertion-common/src/test/java/org/apache/knox/gateway/identityasserter/filter/CommonIdentityAssertionFilterTest.java', 'gateway-provider-identity-assertion-concat/src/test/java/org/apache/knox/gateway/identityasserter/concat/filter/ConcatIdentityAssertionFilterTest.java', 'gateway-provider-identity-assertion-hadoop-groups/src/test/java/org/apache/knox/gateway/identityasserter/hadoop/groups/filter/HadoopGroupProviderFilterTest.java', 'gateway-provider-identity-assertion-no-doas/src/test/java/org/apache/knox/gateway/identityasserter/filter/NoImpersonationFilterTest.java', 'gateway-provider-identity-assertion-pseudo/src/test/java/org/apache/knox/gateway/identityasserter/filter/DefaultIdentityAssertionFilterTest.java', 'gateway-provider-identity-assertion-regex/src/test/java/org/apache/knox/gateway/identityasserter/regex/filter/RegexIdentityAssertionFilterTest.java', 'gateway-provider-identity-assertion-switchcase/src/test/java/org/apache/knox/gateway/identityasserter/switchcase/SwitchCaseIdentityAssertionFilterTest.java', 'gateway-provider-security-authz-acls/src/main/java/org/apache/knox/gateway/filter/AclsAuthorizationFilter.java', 'gateway-provider-security-authz-acls/src/main/java/org/apache/knox/gateway/filter/AclsAuthorizationMessages.java', 'gateway-provider-security-hadoopauth/src/main/java/org/apache/knox/gateway/hadoopauth/filter/HadoopAuthFilter.java', 'gateway-provider-security-hadoopauth/src/main/java/org/apache/knox/gateway/hadoopauth/filter/HadoopAuthPostFilter.java', 'gateway-provider-security-hadoopauth/src/test/java/org/apache/knox/gateway/hadoopauth/filter/HadoopAuthFilterTest.java', 'gateway-provider-security-jwt/src/main/java/org/apache/knox/gateway/provider/federation/jwt/filter/AbstractJWTFilter.java', 'gateway-provider-security-jwt/src/main/java/org/apache/knox/gateway/provider/federation/jwt/filter/AccessTokenFederationFilter.java', 'gateway-provider-security-shiro/src/main/java/org/apache/knox/gateway/filter/ShiroSubjectIdentityAdapter.java', 'gateway-release/home/conf/topologies/homepage.xml', 'gateway-service-knoxtoken/src/main/java/org/apache/knox/gateway/service/knoxtoken/TokenResource.java', 'gateway-service-knoxtoken/src/test/java/org/apache/knox/gateway/service/knoxtoken/TokenServiceResourceTest.java', 'gateway-spi/pom.xml', 'gateway-spi/src/main/java/org/apache/knox/gateway/context/ContextAttributes.java', 'gateway-spi/src/main/java/org/apache/knox/gateway/filter/security/AbstractIdentityAssertionBase.java', 'gateway-spi/src/main/java/org/apache/knox/gateway/security/SubjectUtils.java', 'gateway-spi/src/main/java/org/apache/knox/gateway/util/AuthFilterUtils.java', 'gateway-spi/src/main/java/org/apache/knox/gateway/util/AuthorizationException.java', 'gateway-spi/src/main/java/org/apache/knox/gateway/util/HttpExceptionUtils.java', 'knox-token-generation-ui/token-generation/app/token-generation.service.ts']","KNOX-2839 - Identity assertion provider handles Hadoop ProxyUser auth using the 'doAs' query parameter (#681)

With this change, the previously added ProxyUser configuration for KnoxToken impersonation is removed becuase the same can be achieved with the appropriate identity-assertion configuration.

Another very important change is that Knox's HadoopAuth filter no longer sets the 'doAs' user as primary principal. Instead, it's passed down as an ImpersonatedPrincipal and the original user (real user) remains the PrimaryPrincipal in the underlying security context (Subject).",KNOX-2839
2227873b1eb8e6c45a3908aab7735c1c348eded0,vaijosh,web-flow,2,"['gateway-service-definitions/src/main/resources/services/hbaseui/2.1.0/rewrite.xml', 'gateway-service-definitions/src/main/resources/services/hbaseui/2.1.0/service.xml']",KNOX-2855:Added Hbase UI proxying for prometheus end points (#704),KNOX-2855
2e1155f96288fbc0a7302ea9cee0a67cdae99037,dependabot[bot],web-flow,1,['pom.xml'],Bump protobuf-java from 3.16.1 to 3.16.3 (#702),
3493d7520969434f31979aa88ddec7cc29dec7fe,smolnar82,web-flow,2,"['gateway-server/pom.xml', 'pom.xml']",KNOX-2853 - Bumps hsqldb from 2.4.0 to 2.7.1. (#703),KNOX-2853
1a620f90f2552a3644706952b09fc53d0249e8be,MrtnBalazs,web-flow,6,"['gateway-admin-ui/package-lock.json', 'knox-homepage-ui/package-lock.json', 'knox-token-generation-ui/package-lock.json', 'knox-token-management-ui/package-lock.json', 'knox-webshell-ui/package-lock.json', 'knox-webshell-ui/package.json']",KNOX-2852 - Bumped decode uri component in package lock and eslint schematics in webshell ui (#701),KNOX-2852
b8fc2c7989c0a4702fc5c1836d0e2988df5e958e,zeroflag,web-flow,10,"['gateway-admin-ui/admin-ui/app/new-desc-wizard/new-desc-wizard.component.html', 'gateway-admin-ui/admin-ui/app/new-desc-wizard/new-desc-wizard.component.ts', 'gateway-admin-ui/admin-ui/app/provider-config-wizard/provider-config-wizard.component.html', 'gateway-admin-ui/admin-ui/app/provider-config-wizard/provider-config-wizard.component.ts', 'gateway-server/src/main/java/org/apache/knox/gateway/config/impl/GatewayConfigImpl.java', 'gateway-service-admin/src/main/java/org/apache/knox/gateway/service/admin/TopologiesResource.java', 'gateway-spi-common/src/main/java/org/apache/knox/gateway/GatewayTestConfig.java', 'gateway-spi/src/main/java/org/apache/knox/gateway/config/GatewayConfig.java', 'gateway-spi/src/main/java/org/apache/knox/gateway/i18n/GatewaySpiMessages.java', 'gateway-test/src/test/java/org/apache/knox/gateway/GatewayAdminTopologyFuncTest.java']",KNOX-2848: Prevent overwriting generated descriptors/providers (#687),KNOX-2848
835acd72b81c80f45fdbca7448fe9164fe3e5259,dependabot[bot],web-flow,1,['pom.xml'],Bump commons-text from 1.9 to 1.10.0 (#696),
bc8fac953228c28d9aec57b2a3f44de3bc16451f,Flamingo93,web-flow,1,['gateway-service-definitions/src/main/resources/services/hiveserver2ui/3.1.2/rewrite.xml'],KNOX-2813 Fix a url proxy of Hiveserver2 UI (#644),KNOX-2813
