hash,authors,committer,changes_FileNum,changed_files,message,bug_id
40f432eb57cfda1e5df09854e72c2b38669496f0,Kami,Kami,3,"['libcloud/compute/constants/ec2_instance_types.py', 'libcloud/compute/constants/ec2_region_details_complete.py', 'libcloud/data/pricing.json']",Scrape latest pricing and instance sizes data.,
cdde0c1db0542299e5eec5ed331eb677e3eb849e,Kami,Kami,3,"['CHANGES.rst', 'docs/conf.py', 'libcloud/__init__.py']",Prepare changes for v3.7.0 release.,
2265dd010951fdcdacb5d781c5ee11d97ea6fd6f,Kami,Kami,1,['tox.ini'],Remove py3.6 tox target.,
9cff0d0ee89a61d677229b5f5bb386eb712e0fa1,Kami,Kami,1,['README.rst'],Update info on Python version compatibility.,
81789df202493f274d9d19b9c545a678308af437,Kami,Kami,1,['requirements-tests.txt'],Merge remote-tracking branch 'remotes/upstream/dependabot/pip/cryptography-39.0.0' into trunk,
233feb05e191d66b36c24b5217a26f59c98c613d,dependabot[bot],web-flow,1,['requirements-tests.txt'],"Bump pyopenssl from 22.1.0 to 23.0.0

Bumps [pyopenssl](https://github.com/pyca/pyopenssl) from 22.1.0 to 23.0.0.
- [Release notes](https://github.com/pyca/pyopenssl/releases)
- [Changelog](https://github.com/pyca/pyopenssl/blob/main/CHANGELOG.rst)
- [Commits](https://github.com/pyca/pyopenssl/compare/22.1.0...23.0.0)

---
updated-dependencies:
- dependency-name: pyopenssl
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",
da37f4d2c5be59e33addff804bd4bf436fa15917,dependabot[bot],web-flow,1,['requirements-tests.txt'],"Bump cryptography from 38.0.4 to 39.0.0

Bumps [cryptography](https://github.com/pyca/cryptography) from 38.0.4 to 39.0.0.
- [Release notes](https://github.com/pyca/cryptography/releases)
- [Changelog](https://github.com/pyca/cryptography/blob/main/CHANGELOG.rst)
- [Commits](https://github.com/pyca/cryptography/compare/38.0.4...39.0.0)

---
updated-dependencies:
- dependency-name: cryptography
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",
692359096c6330f37b00204a18d7be1d62dd34d0,Kami,Kami,1,['libcloud/storage/drivers/s3.py'],Fix lint.,
d5782397b162b235bac78a135675076d87416849,Kami,Kami,1,['CHANGES.rst'],Add changelog entry for #1821.,
22ebb54565515ed6d3af9605a71fc4db4a3c74b6,Kami,Kami,1,['docs/storage/_supported_providers.rst'],Re-generate provider tables.,Re-
