hash,authors,committer,changes_FileNum,changed_files,message,bug_id
b2ef9f6ced9d755844f13586f189a814e20c0c91,fluffynuts,web-flow,2,"['src/log4net/Appender/FileAppender.cs', 'src/log4net/log4net.csproj']",Merge pull request #95 from komsa-ag/Feature/LockingModel,
702184c961a321f04766814ede45f64687e0e7ec,,,1,['src/log4net/log4net.csproj'],include pdb in nuget,
bafbbe0fd6990756de86c2642a78b6f3511da32c,,,1,['src/log4net/Appender/FileAppender.cs'],defer creation of locking model to ActivateOptions,
963c29eb3b020668f048e156947b7584f2fe8213,fluffynuts,fluffynuts,1,['src/log4net/Appender/FileAppender.cs'],:recycle: prefer string interpolation over concatenation,
77b9f8539ba4278488f141209a7d62adef5cb700,fluffynuts,web-flow,1,['src/log4net/Appender/FileAppender.cs'],Merge pull request #92 from komsa-ag/Feature/NoLock,
9ba9452b1721d488c51071bea99745b0ddb7c350,fluffynuts,fluffynuts,1,['src/log4net/Util/SystemInfo.cs'],":bug: Assembly.GetEntryAssembly() can return null - instead of failing with a null-deref, rather fail explicitly with an hint on how to work around the problem",
fa1b0af2bf78b4e4f5d1b36871ea376197217b1b,fluffynuts,web-flow,2,"['.gitignore', 'src/log4net/Util/SystemInfo.cs']",Merge pull request #91 from komsa-ag/Feature/EntryAssemblyLocation,
cd7b6a67455329e8d13074df52f79d3b1514c99b,fluffynuts,web-flow,1,['src/log4net/Appender/RemoteSyslogAppender.cs'],Merge pull request #93 from komsa-ag/Feature/RemoteSyslogAppenderCustomization,
091b652f913c2fa4ce942374f932c0879d6acbb1,,,1,['src/log4net/Appender/RemoteSyslogAppender.cs'],Extension point for handling new lines in RemoteSysLogAppender added,
4b027beb384b6c933e18670972c2a5d365f394a2,,,1,['src/log4net/Appender/FileAppender.cs'],New locking model for single log file in native applications with managed parts,
e14be4395ac93dfa8d36b469541f5d83e8ea46fd,,,2,"['.gitignore', 'src/log4net/Util/SystemInfo.cs']",SystemInfo.EntryAssemblyLocation writable to adjust location for config-files in unit test projects,
e26e1dd8de26daccb4cf34a8698d7965fe52528a,fluffynuts,fluffynuts,2,"['src/log4net.Tests/Signing.cs', 'src/log4net/AssemblyInfo.cs']",:white_check_mark: ensure that the log4net assembly is always signed,
7a1a5f0e297404105bc9bc7072eebe8b24695e7f,fluffynuts,fluffynuts,10,"['build-with-docker-for-windows.bat', 'install-dotnet-core-sdk-1.1.ps1', 'install-net-framework-sdk-3.5.ps1', 'local-tasks/build-site.js', 'local-tasks/hash-build-artifacts.js', 'local-tasks/prefix-build-artifacts.js', 'local-tasks/prepare-build-artifacts.js', 'local-tasks/update-version-info.js', 'local-tasks/zip.js', 'old-log4net.snk.gpg']",:memo: add apache license headers,
3495ffbf819d6ec262e54efc23c9a80eda842aab,fluffynuts,fluffynuts,1,['NOTICE'],:memo: update copyright date in NOTICE,
f1a28ff534cc4d68adac208ca802e04adbe4d939,fluffynuts,fluffynuts,3,"['log4net.build', 'log4net.shfbproj', 'pom.xml']",:package: bump version numbers,
d29c8f2557a09a1c5a0ae0a066fd9cd88783eec7,fluffynuts,fluffynuts,1,['doc/RELEASING.md'],:memo: minor update to release docs,
95e0e30cdb7a8225844308ecdbe1755826b943ab,fluffynuts,fluffynuts,1,['doc/RELEASING.md'],:memo: add more notes to release docs,
3f2b32ca3259f0099358107dfcb032d15a56cdb8,fluffynuts,fluffynuts,8,"['doc/sign-log4net-libraries.sh', 'local-tasks/build-site.js', 'src/integration-testing/log4net-672/log4net.config', 'src/log4net/Core/LoggingEvent.cs', 'src/log4net/log4net.csproj', 'src/site/xdoc/download_log4net.xml', 'src/site/xdoc/release/config-examples.xml', 'src/site/xdoc/release/release-notes.xml']",:construction: preparing a release (need to pick up from step 5 of the release guide),
c6689a7f71d77443923da45d0f573c6efbecf7ac,fluffynuts,fluffynuts,1,['src/log4net/Core/FixFlags.cs'],:truck: pull file out so it can be referenced from documentation,
b6cbe140e827fde38515f6a77b12c8930efbeb89,fluffynuts,fluffynuts,2,"['src/log4net/AssemblyInfo.cs', 'src/log4net/AssemblyVersionInfo.cs']",:bookmark: update versioning to 2.0.15.0,
aa74f9da1766a60fc2102088e2223b17b90b2b4d,fluffynuts,web-flow,2,"['src/log4net/Core/LoggingEvent.cs', 'src/log4net/Util/SystemStringFormat.cs']",Merge pull request #89 from komsa-ag/Feature/ExtensionPoints,
692eee8a6ca99bf6b1a8cd6b44d48614fe0e7b64,fluffynuts,fluffynuts,5,"['src/integration-testing/log4net-611-main/Program.cs', 'src/integration-testing/log4net-681/Program.cs', 'src/integration-testing/log4net-681/log4net-681.csproj', 'src/integration-testing/log4net-681/log4net.config', 'src/log4net.sln']",":alembic: try to repro LOG4NET-681, without success",
71aa522d07eddf3754758177407bf42a51148899,fluffynuts,fluffynuts,1,['src/integration-testing/log4net-611-main/Program.cs'],:bug: removed the forced load by accident,
2c123639aacf89bb73df2ca9bb1d689506f955b8,fluffynuts,fluffynuts,1,['src/integration-testing/log4net-673/log4net.config'],:wrench: apply minimal lock so that the files can be read by the program creating them,
87c4950c98eacb3bdee636e19edd68e5c620867a,fluffynuts,fluffynuts,4,"['src/integration-testing/log4net-673/Program.cs', 'src/integration-testing/log4net-673/log4net-673.csproj', 'src/integration-testing/log4net-673/log4net.config', 'src/log4net.sln']",:alembic: try to repro LOG4NET-673 (unsuccessfully),
b04703397e3bdc246e9d5746f2f3ecee2012e625,fluffynuts,fluffynuts,2,"['src/integration-testing/log4net-611-lib/DerivedAppender.cs', 'src/integration-testing/log4net-611-main/log4net.config']",:sparkles: make it obvious that the derived appender is being used,
96e28740555effaaae0c460981487674d7e5b4fd,fluffynuts,fluffynuts,3,"['src/integration-testing/log4net-611-main/Program.cs', 'src/integration-testing/log4net-611-main/log4net-611-main.csproj', 'src/integration-testing/log4net-611-main/log4net.config']",":alembic: try net462 target, still no go",
730d7bf695f4a02a9b7e1ffc10f5e2928df5bcc6,fluffynuts,fluffynuts,6,"['src/integration-testing/log4net-611-lib/DerivedAppender.cs', 'src/integration-testing/log4net-611-lib/log4net-611-lib.csproj', 'src/integration-testing/log4net-611-main/Program.cs', 'src/integration-testing/log4net-611-main/log4net-611-main.csproj', 'src/integration-testing/log4net-611-main/log4net.config', 'src/log4net.sln']",":white_check_mark: try to repro LOG4NET-611, but no go",
dd6e40acf8e53c507cd1d22a352a53495f3c44f8,fluffynuts,fluffynuts,1,['src/log4net.Tests/Context/ThreadContextTest.cs'],":white_check_mark: add test trying to repro LOG4NET-684, but the issue doesn't repro",
2c44d647ff94fbc42b0785ab2e03d3ac31f7e229,fluffynuts,fluffynuts,1,['src/log4net/ObjectRenderer/RendererMap.cs'],:bug: should lock hashtables for write (LOG4NET-646),
84a4d0c851e8c7dc47bbd7d8264a5260d75138c3,fluffynuts,fluffynuts,1,['src/log4net.Tests/Core/FixingTest.cs'],:white_check_mark: prove that FixingFlags.All contains all other valid fixing flags,
cd73c0f25fec8686cf8263dd197ed51ecbcc1934,fluffynuts,fluffynuts,1,['src/log4net.Tests/log4net.Tests.csproj'],:wrench: don't sign the test project - there's no need and it prevents using unsigned dependencies like NExpect,
882be824d608d9187329a4d7af1f59bfa9740664,fluffynuts,fluffynuts,5,"['package-lock.json', 'package.json', 'src/log4net.Tests/log4net.Tests.csproj', 'src/log4net.sln', 'src/log4net/log4net.csproj']",:wrench: finally give up on net35-client - it's seemingly impossible to target on any modern machine and is only valid for winxp targets,
de27800a845164d36ebdfcb0adf3c52004cbfe12,fluffynuts,web-flow,1,['package-lock.json'],Merge pull request #83 from apache/dependabot/npm_and_yarn/minimist-1.2.6,
4f9657cb459eeb21cd3d419d665e8fabae444997,fluffynuts,web-flow,1,['src/log4net/log4net.csproj'],"Merge pull request #85 from apache/dependabot/nuget/src/log4net/System.Text.RegularExpressions-4.3.1

⬆️ Bump System.Text.RegularExpressions from 4.3.0 to 4.3.1 in /src/log4net",
c24bcaf213ad02471577a890acd86c9a14f16109,fluffynuts,web-flow,1,['package-lock.json'],Merge pull request #86 from apache/dependabot/npm_and_yarn/path-parse-1.0.7,
6717035012edbcde5a77d68af0d1391c4503c4d2,fluffynuts,web-flow,1,['package-lock.json'],Merge pull request #87 from apache/dependabot/npm_and_yarn/hosted-git-info-2.8.9,
60e4b65efa3366bc1f3a8b9443096d3701ca05d6,fluffynuts,web-flow,1,['package-lock.json'],"Merge pull request #88 from apache/dependabot/npm_and_yarn/shell-quote-1.7.3

⬆️ Bump shell-quote from 1.7.2 to 1.7.3",
d81ce8a75f98d27d60c3176d7b38c006534768af,fluffynuts,web-flow,2,"['install-dotnet-core-sdk-1.1.ps1', 'install-net-framework-sdk-3.5.ps1']","Merge pull request #81 from BipulRaman/master

Enforcing TLS 1.2",
6bd138ae60edc45b64574fbb8846a539b758ad24,,,2,"['src/log4net/Core/LoggingEvent.cs', 'src/log4net/Util/SystemStringFormat.cs']",adding extension points for revising logged content,
bcea09c6273de3a54edbc2e43d03339b49a4aba6,dependabot[bot],web-flow,1,['package-lock.json'],":arrow_up: Bump shell-quote from 1.7.2 to 1.7.3

Bumps [shell-quote](https://github.com/substack/node-shell-quote) from 1.7.2 to 1.7.3.
- [Release notes](https://github.com/substack/node-shell-quote/releases)
- [Changelog](https://github.com/substack/node-shell-quote/blob/master/CHANGELOG.md)
- [Commits](https://github.com/substack/node-shell-quote/compare/v1.7.2...1.7.3)

---
updated-dependencies:
- dependency-name: shell-quote
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>",
