hash,authors,committer,changes_FileNum,changed_files,message,bug_id
aea69f3ddfe4856c30a8db077a02111a6ec5a3e1,rgoers,web-flow,1,['README'],Document that project is dormant.,
0ea6faf8574255a2c983c5c17eb19e745955307c,jvz,web-flow,3,"['src/main/php/pattern/LoggerPatternConverter.php', 'src/test/php/LoggerIdGenerator.php', 'src/test/php/LoggerMDCTest.php']","Merge pull request #25 from Falseclock/master

Allow MDC use callable param",
e14c975dade13fc94f82127b3aba65fc779f3488,Falseclock,Falseclock,1,['src/test/php/LoggerMDCTest.php'],allow MDC have callable param - unit tests - code reformat,
bc4b045451f3c3575211794a98c9b3721b250628,Falseclock,Falseclock,3,"['src/main/php/pattern/LoggerPatternConverter.php', 'src/test/php/LoggerIdGenerator.php', 'src/test/php/LoggerMDCTest.php']",allow MDC have callable param - unit tests,
ad18d578e6ccaf45838759267f631501f4ed09fc,Falseclock,web-flow,1,['src/main/php/pattern/LoggerPatternConverter.php'],allow MDC have callable param,
24b384791ae932b2d25ecddca5a2a47e0cd35b43,rgoers,web-flow,1,['src/examples/php/appender_socket_server.php'],"Merge pull request #14 from alexiskulash/master

Replaced the deprecated function split() that will be removed in PHP 7.",
0d5718dc0b5cd9cdd4748c1b1c55e477fd9564bf,rgoers,web-flow,21,"['src/changes/changes.xml', 'src/main/php/Logger.php', 'src/main/php/LoggerLoggingEvent.php', 'src/main/php/appenders/LoggerAppenderDailyFile.php', 'src/main/php/appenders/LoggerAppenderFirePHP.php', 'src/main/php/appenders/LoggerAppenderPDO.php', 'src/main/php/configurators/LoggerConfiguratorDefault.php', 'src/main/php/helpers/LoggerPatternParser.php', 'src/main/php/xml/log4php.dtd', 'src/site/apt/contributingpatches.apt', 'src/site/xdoc/docs/appenders.xml', 'src/site/xdoc/docs/layouts/pattern.xml', 'src/site/xdoc/quickstart.xml', 'src/test/php/LoggerConfiguratorTest.php', 'src/test/php/LoggerMDCTest.php', 'src/test/php/configurators/LoggerConfigurationAdapterINITest.php', 'src/test/php/configurators/LoggerConfigurationAdapterPHPTest.php', 'src/test/php/configurators/LoggerConfigurationAdapterXMLTest.php', 'src/test/php/filters/LoggerFilterLevelMatchTest.php', 'src/test/php/pattern/LoggerPatternConverterTest.php', 'src/test/php/renderers/LoggerRendererMapTest.php']","Merge pull request #5 from vlajos/typofixes-20140228

typo fixes",
a3d95893ef489fc9f9b4e42e1ec8ee3203f38588,jvz,web-flow,2,"['src/main/php/LoggerLoggingEvent.php', 'src/main/php/LoggerThrowableInformation.php']","Merge pull request #21 from 0xbad0c0d3/master

Accept Throwable interface instead of its realization",
2d81927b17570d9f752fb16a3c5d4a59aa903f74,,,2,"['src/main/php/LoggerLoggingEvent.php', 'src/main/php/LoggerThrowableInformation.php']",Accept Throwable interface instead of its realization,
d3c8ba1854b3fe6b9a89644f42006b3d4ebd15a9,jvz,web-flow,1,['src/main/php/LoggerLevel.php'],"Merge pull request #16 from 0xbad0c0d3/master

Typo fix",
67873c479164f335eca94d04c8041a6c255399d5,0xbad0c0d3,web-flow,1,['src/main/php/LoggerLevel.php'],Typo fix,
