hash,authors,committer,changes_FileNum,changed_files,message,bug_id
d2f824edef821dabf8ca6f27941750953b7f4ed6,hboutemy,hboutemy,3,"['doxia-modules/doxia-module-markdown/src/main/java/org/apache/maven/doxia/module/markdown/MarkdownParser.java', 'doxia-modules/doxia-module-markdown/src/test/java/org/apache/maven/doxia/module/markdown/MarkdownParserTest.java', 'doxia-modules/doxia-module-markdown/src/test/resources/metadata-yaml.md']",[DOXIA-617] support yaml metadata,DOXIA-617
56cd5cb1888e24c0e27435a276fcf3e513b6f931,hboutemy,hboutemy,2,"['doxia-modules/doxia-module-markdown/src/main/java/org/apache/maven/doxia/module/markdown/MarkdownSink.java', 'doxia-modules/doxia-module-markdown/src/test/java/org/apache/maven/doxia/module/markdown/MarkdownSinkTest.java']",[DOXIA-569] generate Doxia 2.x title levels,DOXIA-569
df9353869e6031987533ec2f288eede1f945728a,hboutemy,hboutemy,4,"['doxia-modules/doxia-module-markdown/src/main/java/org/apache/maven/doxia/module/markdown/MarkdownMarkup.java', 'doxia-modules/doxia-module-markdown/src/main/java/org/apache/maven/doxia/module/markdown/MarkdownSink.java', 'doxia-modules/doxia-module-markdown/src/main/java/org/apache/maven/doxia/module/markdown/MarkdownSinkFactory.java', 'doxia-modules/doxia-module-markdown/src/test/java/org/apache/maven/doxia/module/markdown/MarkdownSinkTest.java']",[DOXIA-569] add Markdown sink implementation,DOXIA-569
e6848f9e4b2fdeaa3378183d8b557d55fb476ad6,hboutemy,hboutemy,1,['doxia-modules/doxia-module-markdown/pom.xml'],[DOXIA-684] avoid flexmark-all: declare used extensions only,DOXIA-684
cf5858a7f05fca3af68b0e1fdf58ee9f3afb58e9,michael-o,michael-o,2,"['doxia-modules/doxia-module-fml/src/main/java/org/apache/maven/doxia/module/fml/FmlParser.java', 'doxia-modules/doxia-module-fml/src/test/java/org/apache/maven/doxia/module/fml/FmlParserTest.java']","[DOXIA-680] Don't wrap elements in anchors

This closes #130",DOXIA-680
3734db142b44aa401072f378948d2dc6a8b963ce,michael-o,michael-o,1,['pom.xml'],[DOXIA-681] Upgrade Plexus Utils to 3.5.0,DOXIA-681
ea7bc882392bb06cbd8d6aaa79e00c679a09866d,michael-o,michael-o,10,"['doxia-core/src/main/java/org/apache/maven/doxia/sink/impl/RandomAccessSink.java', 'doxia-core/src/main/java/org/apache/maven/doxia/sink/impl/SinkAdapter.java', 'doxia-core/src/main/java/org/apache/maven/doxia/sink/impl/Xhtml5BaseSink.java', 'doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkAdapterTest.java', 'doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/SinkEventTestingSink.java', 'doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/TextSink.java', 'doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/WellformednessCheckingSink.java', 'doxia-core/src/test/java/org/apache/maven/doxia/sink/impl/Xhtml5BaseSinkTest.java', 'doxia-modules/doxia-module-apt/src/main/java/org/apache/maven/doxia/module/apt/AptSink.java', 'doxia-sink-api/src/main/java/org/apache/maven/doxia/sink/Sink.java']","[DOXIA-679] Introduce Sink#tableRows(void) method

This closes #127",DOXIA-679
39e05e34f9e5eee894cca210badbbd9299ca4c0b,hboutemy,web-flow,1,['README.md'],update Reproducible Builds badge link,
b9a4ff884a1b7b847eaaeaee9df77e843cc61ec6,michael-o,michael-o,1,['doxia-core/src/main/java/org/apache/maven/doxia/parser/Xhtml5BaseParser.java'],"[DOXIA-678] Add missing elements in Xhtml5BaseParser

This closes #126",DOXIA-678
dba10ae96a001c4ee3a33466e9681210528bd08e,michael-o,michael-o,10,"['doxia-core/pom.xml', 'doxia-modules/doxia-module-apt/pom.xml', 'doxia-modules/doxia-module-fml/pom.xml', 'doxia-modules/doxia-module-markdown/pom.xml', 'doxia-modules/doxia-module-xdoc/pom.xml', 'doxia-modules/doxia-module-xhtml5/pom.xml', 'doxia-modules/pom.xml', 'doxia-sink-api/pom.xml', 'doxia-test-docs/pom.xml', 'pom.xml']",[maven-release-plugin] prepare for next development iteration,
65d20f838f8e12cb769b2adbd49263c9b24a29d4,michael-o,michael-o,10,"['doxia-core/pom.xml', 'doxia-modules/doxia-module-apt/pom.xml', 'doxia-modules/doxia-module-fml/pom.xml', 'doxia-modules/doxia-module-markdown/pom.xml', 'doxia-modules/doxia-module-xdoc/pom.xml', 'doxia-modules/doxia-module-xhtml5/pom.xml', 'doxia-modules/pom.xml', 'doxia-sink-api/pom.xml', 'doxia-test-docs/pom.xml', 'pom.xml']",[maven-release-plugin] prepare release doxia-2.0.0-M4,
