hash,authors,committer,changes_FileNum,changed_files,message,bug_id
dcc9bed6a7382027ff9507bc32ce117e0e9775d0,tomaswolf,tomaswolf,6,"['CHANGES.md', 'sshd-core/src/main/java/org/apache/sshd/client/auth/keyboard/UserAuthKeyboardInteractive.java', 'sshd-core/src/main/java/org/apache/sshd/client/auth/password/UserAuthPassword.java', 'sshd-core/src/main/java/org/apache/sshd/core/CoreModuleProperties.java', 'sshd-core/src/test/java/org/apache/sshd/client/ClientTest.java', 'sshd-core/src/test/java/org/apache/sshd/common/auth/PasswordAuthenticationTest.java']","GH-283: Fix handling of CoreModuleProperties.PASSWORD_PROMPTS

The setting was not considered in password authentication, and in
keyboard-interactive authentication counted the number of non-empty
challenges, which could lead to an extra authentication request
message to be sent, or to keyboard-interactive authentication being
aborted too early.

The property is supposed to correspond to the OpenSSH configuration
NumberOfPasswordPrompts, which despite the name counts not the number
of prompts but the number of times password or keyboard-interactive
authentication is attempted. For password authentication, this is
the same (if one ignores possible password-change requests), but in
keyboard-interactive authentication, there may be several prompts
per attempt.

Fix the implementation in Apache MINA sshd to respect the limit in
both password and keyboard-interactive authentication, and in both
apply the limit to the count of interactive authentication attempts.

If password identities are provided on a session non-interactively
(via addPasswordIdentity(), or via a custom PasswordIdentityProvider
set with setPasswordIdentityProvider()), any authentication attempts
that are answered non-interactively do not count towards the limit.

Bug: https://github.com/apache/mina-sshd/issues/283",GH-283
abd9a0209916794317e899df12b763b301de9aa0,tomaswolf,tomaswolf,3,"['CHANGES.md', 'sshd-core/src/main/java/org/apache/sshd/common/session/helpers/AbstractConnectionService.java', 'sshd-core/src/test/java/org/apache/sshd/client/channel/ChannelExecTest.java']","GH-300: SSH_MSG_CHANNEL_OPEN_CONFIRMATION: channel ID is unsigned

Fix reading the id from the message, and add a test in which the server
uses artificially high channel IDs beyond Integer.MAX_VALUE.

Bug: https://github.com/apache/mina-sshd/issues/300",GH-300
db13ff14190fb23c211bfb7b610eedb7bb4ecd74,tomaswolf,tomaswolf,1,['CHANGES.md'],Update CHANGES.md,
dcc65db70639c45de50f80360a823115dc11b6d5,tomaswolf,tomaswolf,2,"['sshd-core/src/main/java/org/apache/sshd/server/session/AbstractServerSession.java', 'sshd-core/src/test/java/org/apache/sshd/server/ServerTest.java']","GH-298: Start service in AbstractServerSession

Services need to be started. In particular, the connection service
starts its heartbeat, if configured, when started. It was already
noticed in commit e74e2041 that the server-side did not start services,
but at that time the effect was not recognized because tests were too
unstable back then. A test for server-side heartbeats was also missing.

Bug: https://github.com/apache/mina-sshd/issues/298",GH-298
10916864bf5d4885cda616f97aa29cdf11e02b3e,tomaswolf,tomaswolf,3,"['sshd-common/src/main/java/org/apache/sshd/common/keyprovider/MultiKeyIdentityProvider.java', 'sshd-core/src/main/java/org/apache/sshd/client/SshClient.java', 'sshd-core/src/test/java/org/apache/sshd/client/ClientTest.java']","GH-297: SshClient: auto-configure for encrypted key identities

Automatically configure KeyIdentityProviders to use the
FilePasswordProvider set on the client if they don't have an explicit
password provider already.

This simplifies setting up a client to deal with encrypted private
keys: set a FilePasswordProvider on the client, and set a
FileKeyPairProvider with the key file(s), and off it goes.

Previously, setting a FilePasswordProvider on an SshClient only had
an effect for identity files specified in a HostConfigEntry. For other
use cases, a FilePasswordProvider had to be set explicitly on the
FileKeyPairProvider. (Which is still possible, and takes precedence
over the new auto-configuration.)

This also makes it possible to use SshClientMain with an encrypted
private key given on the command-line via the -i option.

Bug: https://github.com/apache/mina-sshd/issues/297",GH-297
8c08fc7dbb7c075e84f2cb2f33154965d0f6fddb,tomaswolf,tomaswolf,2,"['sshd-sftp/src/main/java/org/apache/sshd/sftp/client/fs/SftpFileSystemProvider.java', 'sshd-sftp/src/test/java/org/apache/sshd/sftp/client/fs/SftpFileSystemTest.java']","GH-294: Fix memory leaks in SftpFileSystemProvider

SftpFileSystem.getClient() returns reference-counted wrapper
instances that need to be closed to avoid a memory leak via
ThreadLocals. Make sure that the streams returned by
SftpFileSystemProvider.newInputStream() and newOutputStream()
do close the client. Also fix SftpFileSystemProvider.copy() to
close the SftpClient it uses.

SftpFileSystemProvider.newDirectoryStream() and newFileChannel()
already do close the SftpClient used.

Fix the SftpFileSystemTest to properly close SftpClients and
DirectoryStreams.

Bug: https://github.com/apache/mina-sshd/issues/294",GH-294
78ed6bc9e86b332c969af220b0aec2f2691061a6,tomaswolf,tomaswolf,12,"['sshd-core/src/main/java/org/apache/sshd/agent/local/AgentForwardedChannel.java', 'sshd-core/src/main/java/org/apache/sshd/agent/unix/AgentForwardedChannel.java', 'sshd-core/src/main/java/org/apache/sshd/client/channel/AbstractClientChannel.java', 'sshd-core/src/main/java/org/apache/sshd/client/channel/ChannelDirectTcpip.java', 'sshd-core/src/main/java/org/apache/sshd/common/channel/ChannelAsyncInputStream.java', 'sshd-core/src/main/java/org/apache/sshd/common/channel/ChannelPipedInputStream.java', 'sshd-core/src/main/java/org/apache/sshd/common/channel/LocalWindow.java', 'sshd-core/src/main/java/org/apache/sshd/common/forward/ChannelToPortHandler.java', 'sshd-core/src/main/java/org/apache/sshd/server/channel/ChannelSession.java', 'sshd-core/src/main/java/org/apache/sshd/server/x11/ChannelForwardedX11.java', 'sshd-core/src/test/java/org/apache/sshd/util/test/AsyncEchoShellFactory.java', 'sshd-sftp/src/main/java/org/apache/sshd/sftp/server/SftpSubsystem.java']","Fix the channel window logic

The previous implementation would always reset the window to the
maximum size when it had dropped to below half the maximum size.

This was wrong and defeated the purpose of having a window. The
window size is reduced upon reception of the data, and incremented
when the reader from the channel has read some data. With a slow
reader and a fast sender, the window would be opened fully even if
the reader had not read the previously accumulated data. As a result,
internal buffers could exceed the window size by a lot.

(Consider the very good description in ChannelDataReceiver: if the
exit toll booth always tells the entry the bridge was free again,
far too many cars would be let onto the bridge. With a real bridge,
there'd be a gigantic traffic jam; with Apache MINA sshd, the bridge
(the internal buffers) would just get longer and longer.)

Change the algorithm to increase the window size only by as much as
has actually been read by the channel reader. Use the same logic as
OpenSSH: send a window adjustment message when the available size is
smaller than half the full window size, or if more than three full SSH
packets have been buffered.

To avoid sending a window adjustment for very small amounts, require
a minimum size for the adjustment (more than half a packet, or more
than a tenth of the full window, or more than 16kB -- because packet
size and full window size are configurable, a single minimum value is
not good enough.)

If there are multiple threads reading (for instance, one from stdout
and one from stderr), make sure that normally only one will cause a
window adjustment to be sent.",
efb699d898c66742cc65379ee9af8295809b72ad,tomaswolf,tomaswolf,3,"['sshd-common/src/main/java/org/apache/sshd/common/util/buffer/Buffer.java', 'sshd-core/src/main/java/org/apache/sshd/client/auth/keyboard/UserAuthKeyboardInteractive.java', 'sshd-core/src/main/java/org/apache/sshd/server/auth/keyboard/UserAuthKeyboardInteractive.java']","[SSHD-1315] Improve logging

With trace logging on, sensitive data in keyboard-interactive or in
password user authentication ended up being logged via two paths both
in a client or in a server.

In a client:
- when logging outgoing packets just before they are encrypted
- when logging challenge responses in keyboard-interactive auth

In a server:
- when logging incoming packets just after having been decrypted
- when logging received challenge responses (keyboard-interactive auth)

Avoid this by not logging raw packet contents for
SSH_MSG_USERAUTH_REQUEST and SSH_MSG_USERAUTH_INFO_RESPONSE. In the
client, log challenge responses with echo=false as ""(hidden)"", and in
the server don't log the received challenge responses at all, only
their number.

All these log messages are active only for trace logging, which is
intended for detailed debugging. There is no reason to use trace
logging on a production instance (it also may impact performance
quite negatively).",SSHD-1315
bb3fad0ac77fcd78f772c9b806d519d57227eaf3,tomaswolf,tomaswolf,2,"['CHANGES.md', 'sshd-common/src/main/java/org/apache/sshd/server/keyprovider/AbstractGeneratorHostKeyProvider.java']","GH-282: Fix ACL for host key file on Windows

Apparently it is possible on Windows that the ACL for a file have no
entry for the file owner. (Typically the owner is then member of a
group, and there is an entry for the group.) The previous code would in
such cases remove all access permissions from all entries, resulting in
a file that even the owner could no longer access.

Change the logic: not only remove all permissions for non-owner entries
but also add an explicit entry for the owner, giving it full access
permissions.

Bug: https://github.com/apache/mina-sshd/issues/282",GH-282
5a82a9e36acdcf2d4ff9721090a480e3ac5addb8,cushon,tomaswolf,1,['sshd-common/src/main/java/org/apache/sshd/common/util/threads/CloseableExecutorService.java'],"GH-285: Fix compilation failure on Java 19

Follow-up to 03986c5b8a31e6f32843067f14e983a361cb6759

Bug: https://github.com/apache/mina-sshd/issues/285",GH-285
