hash,authors,committer,changes_FileNum,changed_files,message,bug_id
daf2a33fed5fccb096ce75ab9263ec9a48561942,elecharny,elecharny,2,"['codec/src/main/java/org/apache/mina/codec/IoBuffer.java', 'core/src/main/java/org/apache/mina/session/TrafficClassEnum.java']",Applied patch from PR#11 from Bruno P. Kinoshita,
06a2cb9db8d768fdca7ca1174c9800adb9d5229c,jeffmaury,jeffmaury,1,['NOTICE'],Update current year for next releases,
4173adaef73c4e947736a83439e5f73615b2eb29,jeffmaury,jeffmaury,60,"['core/pom.xml', 'core/src/main/java/org/apache/mina/filter/codec/ProtocolCodecFilter.java', 'http/src/main/java/org/apache/mina/http/HttpRequestImpl.java', 'http/src/main/java/org/apache/mina/http/api/HttpRequest.java', 'http2/pom.xml', 'http2/src/main/java/org/apache/mina/http2/api/Http2Constants.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2ContinuationFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2DataFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2Frame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2GoAwayFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2Header.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2HeadersFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2NameValuePair.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2PingFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2PriorityFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2PushPromiseFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2RstStreamFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2Setting.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2SettingsFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2UnknownFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2WindowUpdateFrame.java', 'http2/src/main/java/org/apache/mina/http2/codec/Http2ProtocolDecoder.java', 'http2/src/main/java/org/apache/mina/http2/codec/Http2ProtocolEncoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/BytePartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/HeadersEncoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2Connection.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2ContinuationFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2DataFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2FrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2FrameHeadePartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2GoAwayFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2HeadersFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2PingFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2PriorityFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2PushPromiseFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2RstStreamFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2SettingsFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2UnknownFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2WindowUpdateFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/IntPartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/LongPartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/PartialDecoder.java', 'http2/src/test/java/org/apache/mina/http2/Http2Test.java', 'http2/src/test/java/org/apache/mina/http2/TestMessages.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2ContinuationFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2DataFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2GoAwayFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2HeadersFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2PingFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2PriorityFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2PushPromiseFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2RstStreamFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2SettingsFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2UnknownFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/codec/Http2ProtocolDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/codec/Http2ProtocolEncoderTest.java', 'http2/src/test/java/org/apache/mina/http2/impl/BytePartialDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/impl/Http2FrameHeaderPartialDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/impl/IntPartialDecoderTest.java', 'pom.xml']",New HTTP2 module (low level),
8ca3d89da1d53ed165db2c82df0ad9217c13acaf,jeffmaury,jeffmaury,66,"['http2/Http2Frames.ods', 'http2/src/main/java/org/apache/mina/http2/api/Http2Constants.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2ContinuationFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2DataFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2Frame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2GoAwayFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2Header.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2HeadersFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2NameValuePair.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2PingFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2PriorityFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2PushPromiseFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2RstStreamFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2Setting.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2SettingsFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2UnknownFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2WindowUpdateFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/PartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/api/StreamMessage.java', 'http2/src/main/java/org/apache/mina/http2/codec/Http2ProtocolDecoder.java', 'http2/src/main/java/org/apache/mina/http2/codec/Http2ProtocolEncoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/BytePartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/HeadersEncoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2Connection.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2ContinuationFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2DataFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2FrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2FrameHeadePartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2GoAwayFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2HeadersFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2PingFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2PriorityFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2ProtocolDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2PushPromiseFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2RstStreamFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2SettingsFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2UnknownFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2WindowUpdateFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/IntPartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/LongPartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/PartialDecoder.java', 'http2/src/test/java/org/apache/mina/http2/Http2Test.java', 'http2/src/test/java/org/apache/mina/http2/TestMessages.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2ContinuationFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2DataFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2PriorityFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2PushPromiseFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2RstStreamFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2SettingsFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2UnknownFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2ContinuationFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2DataFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2GoAwayFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2HeadersFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2PingFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2PriorityFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2PushPromiseFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2RstStreamFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2SettingsFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2UnknownFrameTest.java', 'http2/src/test/java/org/apache/mina/http2/codec/Http2ProtocolDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/codec/Http2ProtocolEncoderTest.java', 'http2/src/test/java/org/apache/mina/http2/impl/BytePartialDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/impl/Http2FrameHeaderPartialDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/impl/IntPartialDecoderTest.java', 'pom.xml']",Complete low level HTTP2,
27938fb1e54c5e93ea14da20da03856ee395681e,jeffmaury,jeffmaury,29,"['http2/src/main/java/org/apache/mina/http2/api/Http2Constants.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2ContinuationFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2DataFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2Frame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2FrameHeadePartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2GoAwayFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2HeadersFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2PingFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2PriorityFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2PushPromiseFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2RstStreamFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2SettingsFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2UnknownFrame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2WindowUpdateFrame.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2Connection.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2ContinuationFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2DataFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2FrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2GoAwayFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2HeadersFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2PingFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2PriorityFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2PushPromiseFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2RstStreamFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2SettingsFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2UnknownFrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2WindowUpdateFrameDecoder.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2PushPromiseFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2FrameHeaderPartialDecoderTest.java']",Multiple HTTP2 PDUs,
eddbca6175befbfc2fc3af173a032f8bbd388d87,jeffmaury,jeffmaury,1,['core/src/main/java/org/apache/mina/util/ByteBufferDumper.java'],Fix for DIRMINA-1008: fix broken algorithm,
e422ec88defa5da1bd47f01bb952835e2e841b30,jeffmaury,jeffmaury,2,"['core/src/main/java/org/apache/mina/util/ByteBufferDumper.java', 'core/src/test/java/org/apache/mina/util/ByteBufferDumperTest.java']",Fix for DIRMINA-1008: refactor fromHexString to be less tolerant,
99796938d772c2028d6168b768975eb2ab965e6a,jeffmaury,jeffmaury,31,"['core/pom.xml', 'core/src/main/java/org/apache/mina/filter/codec/ProtocolCodecFilter.java', 'http/src/main/java/org/apache/mina/http/HttpRequestImpl.java', 'http/src/main/java/org/apache/mina/http/api/HttpRequest.java', 'http2/Http2Frames.ods', 'http2/pom.xml', 'http2/src/main/java/org/apache/mina/http2/api/BytePartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2Constants.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2Frame.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2Header.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2NameValuePair.java', 'http2/src/main/java/org/apache/mina/http2/api/Http2Setting.java', 'http2/src/main/java/org/apache/mina/http2/api/IntPartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/api/LongPartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/api/PartialDecoder.java', 'http2/src/main/java/org/apache/mina/http2/api/StreamMessage.java', 'http2/src/main/java/org/apache/mina/http2/impl/HeadersEncoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2Connection.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2FrameDecoder.java', 'http2/src/main/java/org/apache/mina/http2/impl/Http2ProtocolDecoder.java', 'http2/src/test/java/org/apache/mina/http2/api/BytePartialDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2ContinuationFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2DataFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2HeadersFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2PriorityFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2PushPromiseFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2RstStreamFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2SettingsFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Htp2UnknownFrameDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/Http2FrameHeaderPartialDecoderTest.java', 'http2/src/test/java/org/apache/mina/http2/api/IntPartialDecoderTest.java']",Initial HTTP2 work (single HTTP2 PDU),
60227383254bcb3b71fc43b6bf5383d64f8e07e0,jeffmaury,jeffmaury,1,['pom.xml'],Updated log4j2 version,
d61364885799138614359d600c0b932f7b0f6a8d,jeffmaury,jeffmaury,6,"['core/src/main/java/org/apache/mina/session/DefaultWriteRequest.java', 'core/src/main/java/org/apache/mina/session/WriteRequest.java', 'core/src/main/java/org/apache/mina/transport/bio/BioUdpSession.java', 'core/src/main/java/org/apache/mina/transport/nio/AbstractNioSession.java', 'core/src/main/java/org/apache/mina/transport/nio/SslHelper.java', 'core/src/test/java/org/apache/mina/transport/nio/SslTest.java']",Messages sent on SSL sessions will generate a single sent event when the last message SSL record is sent.,
