hash,authors,committer,changes_FileNum,changed_files,message,bug_id
93c53363e644cc0184f218c21b0b34888614a7a8,dependabot[bot],web-flow,1,['tobago-example/tobago-example-demo/pom.xml'],"build(deps): bump docker-maven-plugin from 0.40.2 to 0.40.3 (#3576)

Bumps [docker-maven-plugin](https://github.com/fabric8io/docker-maven-plugin) from 0.40.2 to 0.40.3.
- [Release notes](https://github.com/fabric8io/docker-maven-plugin/releases)
- [Changelog](https://github.com/fabric8io/docker-maven-plugin/blob/master/doc/changelog.md)
- [Commits](https://github.com/fabric8io/docker-maven-plugin/compare/v0.40.2...v0.40.3)

---
updated-dependencies:
- dependency-name: io.fabric8:docker-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
cfd22276cc1c800ae8636d0b19bd38cf4f1cb68d,dependabot[bot],web-flow,2,"['tobago-theme/package-lock.json', 'tobago-theme/package.json']","build(deps-dev): bump @types/jest from 29.2.3 to 29.2.4 in /tobago-theme (#3565)

Bumps [@types/jest](https://github.com/DefinitelyTyped/DefinitelyTyped/tree/HEAD/types/jest) from 29.2.3 to 29.2.4.
- [Release notes](https://github.com/DefinitelyTyped/DefinitelyTyped/releases)
- [Commits](https://github.com/DefinitelyTyped/DefinitelyTyped/commits/HEAD/types/jest)

---
updated-dependencies:
- dependency-name: ""@types/jest""
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
69a93721797d1fd8d5bd2ff799b8d993a7b7ce7c,dependabot[bot],web-flow,2,"['tobago-theme/package-lock.json', 'tobago-theme/package.json']","build(deps-dev): bump @rollup/plugin-commonjs in /tobago-theme (#3566)

Bumps [@rollup/plugin-commonjs](https://github.com/rollup/plugins/tree/HEAD/packages/commonjs) from 23.0.4 to 23.0.5.
- [Release notes](https://github.com/rollup/plugins/releases)
- [Changelog](https://github.com/rollup/plugins/blob/master/packages/commonjs/CHANGELOG.md)
- [Commits](https://github.com/rollup/plugins/commits/commonjs-v23.0.5/packages/commonjs)

---
updated-dependencies:
- dependency-name: ""@rollup/plugin-commonjs""
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
134977e51c48cc5e3ed1155b5fa15450606aac8c,dependabot[bot],web-flow,2,"['tobago-theme/package-lock.json', 'tobago-theme/package.json']","build(deps-dev): bump @typescript-eslint/eslint-plugin in /tobago-theme (#3568)

Bumps [@typescript-eslint/eslint-plugin](https://github.com/typescript-eslint/typescript-eslint/tree/HEAD/packages/eslint-plugin) from 5.45.0 to 5.46.1.
- [Release notes](https://github.com/typescript-eslint/typescript-eslint/releases)
- [Changelog](https://github.com/typescript-eslint/typescript-eslint/blob/main/packages/eslint-plugin/CHANGELOG.md)
- [Commits](https://github.com/typescript-eslint/typescript-eslint/commits/v5.46.1/packages/eslint-plugin)

---
updated-dependencies:
- dependency-name: ""@typescript-eslint/eslint-plugin""
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
fa39887d2f6deef360f4b4c025ed0b66117604c4,dependabot[bot],web-flow,2,"['tobago-theme/package-lock.json', 'tobago-theme/package.json']","build(deps-dev): bump eslint from 8.28.0 to 8.29.0 in /tobago-theme (#3570)

Bumps [eslint](https://github.com/eslint/eslint) from 8.28.0 to 8.29.0.
- [Release notes](https://github.com/eslint/eslint/releases)
- [Changelog](https://github.com/eslint/eslint/blob/main/CHANGELOG.md)
- [Commits](https://github.com/eslint/eslint/compare/v8.28.0...v8.29.0)

---
updated-dependencies:
- dependency-name: eslint
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
190ee1325645e68cd850a165b4cc4a536da93a54,dependabot[bot],web-flow,1,['tobago-example/tobago-example-demo/pom.xml'],"build(deps-dev): bump selenium-java from 4.1.0 to 4.7.2 (#3572)

Bumps [selenium-java](https://github.com/SeleniumHQ/selenium) from 4.1.0 to 4.7.2.
- [Release notes](https://github.com/SeleniumHQ/selenium/releases)
- [Commits](https://github.com/SeleniumHQ/selenium/commits)

---
updated-dependencies:
- dependency-name: org.seleniumhq.selenium:selenium-java
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
9aca5c21566646db07a792906fc591f9d8897d85,lofwyr14,web-flow,1,['.github/dependabot.yml'],selenium might be updated (is stil using 4.x),
f833b3cb86890f7e1111583b470c6b04b0796960,lofwyr14,web-flow,10,"['tobago-example/tobago-example-demo/src/main/java/org/apache/myfaces/tobago/example/demo/BundleController.java', 'tobago-example/tobago-example-demo/src/main/java/org/apache/myfaces/tobago/example/demo/LocaleController.java', 'tobago-example/tobago-example-demo/src/main/java/org/apache/myfaces/tobago/example/demo/NavigationNode.java', 'tobago-example/tobago-example-demo/src/main/java/org/apache/myfaces/tobago/example/demo/NavigationState.java', 'tobago-example/tobago-example-demo/src/main/java/org/apache/myfaces/tobago/example/demo/NavigationTree.java', 'tobago-example/tobago-example-demo/src/main/java/org/apache/myfaces/tobago/example/demo/SynchronizeNavigationPhaseListener.java', 'tobago-example/tobago-example-demo/src/main/java/org/apache/myfaces/tobago/example/demo/info/ActivityPhaseListener.java', 'tobago-example/tobago-example-demo/src/main/webapp/WEB-INF/faces-config.xml', 'tobago-example/tobago-example-demo/src/main/webapp/css/demo.css', 'tobago-example/tobago-example-demo/src/main/webapp/main.xhtml']","demo(refactor): prepare for Spring Boot (#3563)

* refactor
* remove @Observes/Events

issue: TOBAGO-2184",
3fad1599ef0688ba982e545dbaa153cb8a852d27,dependabot[bot],web-flow,1,['pom.xml'],"build(deps): bump versions-maven-plugin from 2.14.0 to 2.14.1 (#3560)

Bumps [versions-maven-plugin](https://github.com/mojohaus/versions) from 2.14.0 to 2.14.1.
- [Release notes](https://github.com/mojohaus/versions/releases)
- [Changelog](https://github.com/mojohaus/versions/blob/master/ReleaseNotes.md)
- [Commits](https://github.com/mojohaus/versions/compare/2.14.0...2.14.1)

---
updated-dependencies:
- dependency-name: org.codehaus.mojo:versions-maven-plugin
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
fdc4fdab349e65786828206b3edb3ce620abda54,dependabot[bot],web-flow,2,"['tobago-theme/package-lock.json', 'tobago-theme/package.json']","build(deps-dev): bump sass from 1.56.1 to 1.56.2 in /tobago-theme (#3539)

Bumps [sass](https://github.com/sass/dart-sass) from 1.56.1 to 1.56.2.
- [Release notes](https://github.com/sass/dart-sass/releases)
- [Changelog](https://github.com/sass/dart-sass/blob/main/CHANGELOG.md)
- [Commits](https://github.com/sass/dart-sass/compare/1.56.1...1.56.2)

---
updated-dependencies:
- dependency-name: sass
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
2e3e24b5e29fb739e384f00ed6c3f5a1705b4374,dependabot[bot],web-flow,2,"['tobago-theme/package-lock.json', 'tobago-theme/package.json']","build(deps-dev): bump postcss from 8.4.19 to 8.4.20 in /tobago-theme (#3542)

Bumps [postcss](https://github.com/postcss/postcss) from 8.4.19 to 8.4.20.
- [Release notes](https://github.com/postcss/postcss/releases)
- [Changelog](https://github.com/postcss/postcss/blob/main/CHANGELOG.md)
- [Commits](https://github.com/postcss/postcss/compare/8.4.19...8.4.20)

---
updated-dependencies:
- dependency-name: postcss
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
0a3faf9e916e23f1ab9ed8ce2eaf60eee0cc779f,dependabot[bot],web-flow,2,"['tobago-example/tobago-example-demo/package-lock.json', 'tobago-example/tobago-example-demo/package.json']","build(deps-dev): bump typescript in /tobago-example/tobago-example-demo (#3547)

Bumps [typescript](https://github.com/Microsoft/TypeScript) from 4.9.3 to 4.9.4.
- [Release notes](https://github.com/Microsoft/TypeScript/releases)
- [Commits](https://github.com/Microsoft/TypeScript/compare/v4.9.3...v4.9.4)

---
updated-dependencies:
- dependency-name: typescript
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
82c20635770eb716ae783e8d1f0371295f53e1d0,dependabot[bot],web-flow,2,"['tobago-theme/package-lock.json', 'tobago-theme/package.json']","build(deps-dev): bump typescript from 4.9.3 to 4.9.4 in /tobago-theme (#3549)

Bumps [typescript](https://github.com/Microsoft/TypeScript) from 4.9.3 to 4.9.4.
- [Release notes](https://github.com/Microsoft/TypeScript/releases)
- [Commits](https://github.com/Microsoft/TypeScript/compare/v4.9.3...v4.9.4)

---
updated-dependencies:
- dependency-name: typescript
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
65d8139eef2aac737654a977325d92f384f15996,dependabot[bot],web-flow,2,"['tobago-example/tobago-example-demo/package-lock.json', 'tobago-example/tobago-example-demo/package.json']","build(deps-dev): bump sass in /tobago-example/tobago-example-demo (#3544)

Bumps [sass](https://github.com/sass/dart-sass) from 1.56.1 to 1.56.2.
- [Release notes](https://github.com/sass/dart-sass/releases)
- [Changelog](https://github.com/sass/dart-sass/blob/main/CHANGELOG.md)
- [Commits](https://github.com/sass/dart-sass/compare/1.56.1...1.56.2)

---
updated-dependencies:
- dependency-name: sass
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
