hash,authors,committer,changes_FileNum,changed_files,message,bug_id
42a3abef14c1b48fcb834f6adb015a7c4110cdf0,pnicolucci,web-flow,1,['impl/src/main/java/org/apache/myfaces/util/WebXmlParser.java'],"Merge pull request #470 from pnicolucci/MYFACES-4540

MYFACES-4540: add doPriv for url.openStream()",
ab819fe892b1bc3d665b9fd15e06819d57efca8f,pnicolucci,pnicolucci,1,['impl/src/main/java/org/apache/myfaces/util/WebXmlParser.java'],MYFACES-4540: add doPriv for url.openStream(),MYFACES-4540
77d67eb18c8a124d759abbe772ce9b05e900226c,melloware,web-flow,1,['extensions/quarkus/deployment/src/main/java/org/apache/myfaces/core/extensions/quarkus/deployment/MyFacesProcessor.java'],MYFACES-4539: 4.0 Quarkus register servlets reflection (#469),MYFACES-4539
51f0efcbb2676e1787e31dedc77bf8410c12da23,melloware,web-flow,1,['extensions/quarkus/runtime/src/main/resources/META-INF/quarkus-extension.yaml'],Updated Quarkus YAML based on 2.3-next changes,
90d2131ea602d96cc6e347227383c4d6ea0f3cc0,melloware,web-flow,1,['extensions/quarkus/deployment/src/main/java/org/apache/myfaces/core/extensions/quarkus/deployment/MyFacesProcessor.java'],Quarkus config missing resources (#465),
37ff3c92644c3947666acd04325eac3aa4b416e6,melloware,web-flow,1,['extensions/quarkus/runtime/src/main/resources/META-INF/quarkus-extension.yaml'],Qaurkus no longer experimental (#464),
a5b2c8c2539834c77aebe144f085c6b2126094ce,melloware,web-flow,1,['extensions/quarkus/showcase/pom.xml'],Skip Quarkus Showcase deployment (#463),
24e40ded81293f7388ce866640f074463ab77c6c,bohmber,web-flow,2,"['extensions/quarkus/showcase/pom.xml', 'extensions/quarkus/showcase/src/main/resources/application.properties']",build: quarkus extension showcase groupId should be a myfaces groupid and logs should be created in target directory (#462),
62eb9399776ce86769913ce9496faa80a4e2c0c7,melloware,bohmber,20,"['.gitignore', 'extensions/quarkus/showcase/pom.xml', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/Car.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/CarService.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/FileView.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/InputController.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/LazyCarDataModel.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/LazySorter.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/LazyView.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/MethodHandleELResolverBean.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/MyBacking.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/MyCollection.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/MyCollectionModel.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/MyConverter.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/MyConverterManaged.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/MyValidator.java', 'extensions/quarkus/showcase/src/main/java/org/apache/myfaces/core/extensions/quarkus/showcase/view/SocketView.java', 'extensions/quarkus/showcase/src/test/java/org/apache/myfaces/core/extensions/quarkus/showcase/QuarkusMyFacesNativeIT.java', 'extensions/quarkus/showcase/src/test/java/org/apache/myfaces/core/extensions/quarkus/showcase/QuarkusMyFacesShowcaseTest.java', 'pom.xml']",RAT fixes,
02d2b222609521d4bfb719ecb5d4dd071c2fda05,melloware,web-flow,1,['extensions/quarkus/runtime/pom.xml'],Quarkus Remove unnecesary depenedcies (#460),
