hash,authors,committer,changes_FileNum,changed_files,message,bug_id
7d390045049036541d2fd94302ab97c8cb3e3cb1,,,1,['src/java/org/apache/nutch/crawl/Generator.java'],NUTCH-2924 Generate maxCount expr evaluated only once,NUTCH-2924
d806aa4507c59dcd680eac6f116df1eab22d996a,,,1,['build.xml'],NUTCH-2977,NUTCH-2977
ed7b6615bc0082e342da22ee0ea401efce39893e,sebastian-nagel,web-flow,5,"['docker/.dockerfilelintrc', 'docker/Dockerfile', 'docker/README.md', 'docker/config/supervisord_startserver.conf', 'docker/config/supervisord_startserver_webapp.conf']","Merge pull request #748 from sebastian-nagel/NUTCH-2883-docker

NUTCH-2883 Provide means to run server and webapp as persistent services in Docker container",
7c1a48cfad864e7414d2578f285ed645b10fc48c,sebastian-nagel,sebastian-nagel,3,"['docker/Dockerfile', 'docker/config/supervisord_startserver.conf', 'docker/config/supervisord_startserver_webapp.conf']","NUTCH-2883 Provide means to run server and webapp as persistent services in Docker container
- install Nutch WebApp from separate repository (see NUTCH-2886) and run
  it via `mvn jetty:run -Djetty.port=<WEBAPP_PORT>
- sync log paths in supervisord config files",NUTCH-2883
0bda1bded2ba30e2c8d1549faf12e82bcb57981e,sebastian-nagel,sebastian-nagel,1,['docker/Dockerfile'],"NUTCH-2883 Provide means to run server and webapp as persistent services in Docker container
- move ARG instructions into FROM block they're used in (duplicate if
  necessary)",NUTCH-2883
989c2ca8d529af8f0fd3581b3e87e68399e91fe4,lewismc,sebastian-nagel,5,"['docker/.dockerfilelintrc', 'docker/Dockerfile', 'docker/README.md', 'docker/config/supervisord_startserver.conf', 'docker/config/supervisord_startserver_webapp.conf']",NUTCH-2883 Provide means to run server and webapp as persistent services in Docker container,NUTCH-2883
85f7bcb63ee801bdfb0b41ca2555160583105ea2,sebastian-nagel,sebastian-nagel,3,"['conf/nutch-default.xml', 'default.properties', 'src/bin/nutch']","Prepare for new development after release of 1.19
- bump version number (-> 1.20-NAPSHOT)",
27cf929b83ba86b896762dd4970e445069e514ae,sebastian-nagel,sebastian-nagel,4,"['CHANGES.txt', 'conf/nutch-default.xml', 'default.properties', 'src/bin/nutch']","Nutch 1.19 release
- update current year in API docs etc.
- update version number
- add changes / release notes
- update links to Hadoop API docs",
ffe0598925fcb27ac253f61d86106b33a260a979,sebastian-nagel,sebastian-nagel,1,['build.xml'],"NUTCH-2969 Javadoc: Javascript search is not working when built on JDK 11
- pass --no-module-directories to javadoc target when building on JDK 11
- remove obsolete condition to fail javadoc builds on JDK 7u25 and earlier",NUTCH-2969
635ef2f3becab29dda216f37c49837aadd9a1e1c,sebastian-nagel,web-flow,8,"['LICENSE-binary', 'NOTICE-binary', 'build.xml', 'ivy/ivy.xml', 'src/plugin/indexer-solr/ivy.xml', 'src/plugin/indexer-solr/plugin.xml', 'src/plugin/urlfilter-automaton/ivy.xml', 'src/plugin/urlfilter-automaton/plugin.xml']","Merge pull request #747 from sebastian-nagel/NUTCH-2963-upgrade-dependencies

NUTCH-2963 Upgrade dependencies before release of 1.19",
bca5fc0d0e25a213c704d9ac486ebf9d88b3cf7a,sebastian-nagel,sebastian-nagel,1,['src/java/org/apache/nutch/crawl/CrawlDbReader.java'],"NUTCH-2795 CrawlDbReader: compress CrawlDb dumps if configured
- configure CSV and JSON LineRecordWriters to compress the output
  files according to the configuration",NUTCH-2795
bec577d50888e5e0ee448789851a04f01eb96e00,sebastian-nagel,sebastian-nagel,1,['src/java/org/apache/nutch/crawl/Injector.java'],NUTCH-2863 Injector to parse command-line flags case-insensitive,NUTCH-2863
0442562ed2ab7e0d9eefa3dd26ef1ed41e0565f5,sebastian-nagel,sebastian-nagel,3,"['LICENSE-binary', 'NOTICE-binary', 'ivy/ivy.xml']","NUTCH-2963 Upgrade dependencies before release of 1.19
- upgrade Nutch core dependencies
   httpcore-nio 4.4.9 -> 4.4.14
   cxf 2.9.0 -> 2.9.1
   commons-jexl3 3.2.1 -> 3.3
   log4j 2.17.2 -> 2.18.0
   t-digest 3.2 -> 3.3
- update / complete LICENSE-binary",NUTCH-2963
59f7865e9594e12ff01c85578583ca89aaed3916,sebastian-nagel,sebastian-nagel,2,"['build.xml', 'ivy/ivy.xml']","NUTCH-2843 Duplicate declaration of dependencies in ivy.xml
- remove duplicated dependencies: commons-collections4 and httpclient
- move Maven POM creation into separate target to reproduce issue",NUTCH-2843
148c8f8a0522ac543eb365b88776d61086239589,sebastian-nagel,sebastian-nagel,1,['LICENSE-binary'],"NUTCH-2963 Upgrade dependencies before release of 1.19
- update / complete LICENSE-binary",NUTCH-2963
ef7c102ebbe44aeadb534634090cbee76ecb97d6,sebastian-nagel,sebastian-nagel,2,"['build.xml', 'ivy/ivy.xml']","NUTCH-2963 Upgrade dependencies before release of 1.19
- upgrade Hadoop 3.3.3 -> 3.3.4
- adapt ivy retrieve pattern to optionally include the `classifier`
  (used in Hadoop deps to differentiate between architecture:
   x86_64 vs. aarch_64)",NUTCH-2963
0c283980db214fac13cbb8a70bfecaf1d7d69a74,sebastian-nagel,sebastian-nagel,2,"['src/plugin/indexer-solr/ivy.xml', 'src/plugin/indexer-solr/plugin.xml']","NUTCH-2963 Upgrade dependencies before release of 1.19
- upgrade indexer-solr dependencies:
  - Solr 8.5.1 -> 8.11.2
  - httpmime 4.5.10 -> 4.5.13
  - httpcore 4.4.12 -> 4.4.15",NUTCH-2963
cdc67c9ed43a84e2481db118e911a44a0c7de3b9,sebastian-nagel,sebastian-nagel,2,"['src/plugin/urlfilter-automaton/ivy.xml', 'src/plugin/urlfilter-automaton/plugin.xml']","NUTCH-2963 Upgrade dependencies before release of 1.19
- upgrade urlfilter-automaton to depend on dk.brics automaton 1.12-4",NUTCH-2963
3199dee647be69b8076b6df0e25ac7cdf7d59ed1,sebastian-nagel,sebastian-nagel,1,['build.xml'],"NUTCH-2963 Upgrade dependencies before release of 1.19
- upgrade dependency-check ant plugin",NUTCH-2963
6f4c80b7fca0f0236e079587212c2adcadba3a69,sebastian-nagel,sebastian-nagel,7,"['src/plugin/lib-http/src/java/org/apache/nutch/protocol/http/api/package-info.java', 'src/plugin/protocol-htmlunit/src/java/org/apache/nutch/protocol/htmlunit/package-info.java', 'src/plugin/protocol-httpclient/src/java/org/apache/nutch/protocol/httpclient/package-info.java', 'src/plugin/protocol-interactiveselenium/src/java/org/apache/nutch/protocol/interactiveselenium/handlers/package-info.java', 'src/plugin/protocol-interactiveselenium/src/java/org/apache/nutch/protocol/interactiveselenium/package-info.java', 'src/plugin/protocol-okhttp/src/java/org/apache/nutch/protocol/okhttp/package-info.java', 'src/plugin/protocol-selenium/src/java/org/apache/nutch/protocol/selenium/package-info.java']",NUTCH-2962 Update and complete package info of protocol plugins,NUTCH-2962
7e969eaec1ab8e9e21667faf6cf1881fb10cfb31,sebastian-nagel,web-flow,8,"['conf/nutch-default.xml', 'src/plugin/protocol-okhttp/src/java/org/apache/nutch/protocol/okhttp/CIDR.java', 'src/plugin/protocol-okhttp/src/java/org/apache/nutch/protocol/okhttp/IPFilterRules.java', 'src/plugin/protocol-okhttp/src/java/org/apache/nutch/protocol/okhttp/OkHttp.java', 'src/plugin/protocol-okhttp/src/test/org/apache/nutch/protocol/okhttp/TestBadServerResponses.java', 'src/plugin/protocol-okhttp/src/test/org/apache/nutch/protocol/okhttp/TestIPAddressFiltering.java', 'src/plugin/protocol-okhttp/src/test/org/apache/nutch/protocol/okhttp/TestProtocolOkHttp.java', 'src/test/org/apache/nutch/protocol/AbstractHttpProtocolPluginTest.java']","NUTCH-2930 Protocol-okhttp: implement IP filter (#736)

- add include/exclude rules as list of IP address, CIDR notation
  or predefined IP ranges (localhost, loopback, sitelocal)",NUTCH-2930
