hash,authors,committer,changes_FileNum,changed_files,message,bug_id
3f276d51e233005ae8ea19d11528ff65cbd3e0c3,dixitdeepak,dixitdeepak,300,"['plugins/assetmaint/README.md', 'plugins/assetmaint/config/AssetMaintUiLabels.xml', 'plugins/assetmaint/config/IsMgrUiLabels.xml', 'plugins/assetmaint/data/AssetMaintSecurityGroupDemoData.xml', 'plugins/assetmaint/data/AssetMaintSecurityPermissionSeedData.xml', 'plugins/assetmaint/data/AssetMaintSeedData.xml', 'plugins/assetmaint/entitydef/entitymodel.xml', 'plugins/assetmaint/groovyScripts/assetmaint/EditMaint.groovy', 'plugins/assetmaint/groovyScripts/assetmaint/PrintFixedAssetMaint.groovy', 'plugins/assetmaint/groovyScripts/workeffort/EditWorkEfforts.groovy', 'plugins/assetmaint/minilang/FixedAssetMaintServices.xml', 'plugins/assetmaint/minilang/test/FixedAssetMaintTests.xml', 'plugins/assetmaint/ofbiz-component.xml', 'plugins/assetmaint/servicedef/secas.xml', 'plugins/assetmaint/servicedef/services.xml', 'plugins/assetmaint/src/main/java/org/apache/ofbiz/assetmaint/FixedAssetMaintServices.java', 'plugins/assetmaint/template/PrintFixedAssetMaint.fo.ftl', 'plugins/assetmaint/testdef/assetmainttests.xml', 'plugins/assetmaint/webapp/assetmaint/WEB-INF/controller.xml', 'plugins/assetmaint/webapp/assetmaint/WEB-INF/web.xml', 'plugins/assetmaint/webapp/assetmaint/error/error.jsp', 'plugins/assetmaint/webapp/assetmaint/error/error403.jsp', 'plugins/assetmaint/webapp/assetmaint/error/error404.jsp', 'plugins/assetmaint/webapp/assetmaint/index.jsp', 'plugins/assetmaint/webapp/ismgr/WEB-INF/controller.xml', 'plugins/assetmaint/webapp/ismgr/WEB-INF/web.xml', 'plugins/assetmaint/webapp/ismgr/error/error.jsp', 'plugins/assetmaint/webapp/ismgr/error/error403.jsp', 'plugins/assetmaint/webapp/ismgr/error/error404.jsp', 'plugins/assetmaint/webapp/ismgr/index.jsp', 'plugins/assetmaint/widget/AssetmaintMenus.xml', 'plugins/assetmaint/widget/AssetmaintScreens.xml', 'plugins/assetmaint/widget/CommonScreens.xml', 'plugins/assetmaint/widget/FacilityScreens.xml', 'plugins/assetmaint/widget/LookupScreens.xml', 'plugins/assetmaint/widget/ProductScreens.xml', 'plugins/assetmaint/widget/forms/FixedAssetForms.xml', 'plugins/assetmaint/widget/forms/LookupForms.xml', 'plugins/assetmaint/widget/forms/ProductForms.xml', 'plugins/assetmaint/widget/forms/WorkEffortForms.xml', 'plugins/assetmaint/widget/ismgr/CommonScreens.xml', 'plugins/assetmaint/widget/ismgr/FieldLookupForms.xml', 'plugins/assetmaint/widget/ismgr/FixedAssetForms.xml', 'plugins/assetmaint/widget/ismgr/FixedAssetScreens.xml', 'plugins/assetmaint/widget/ismgr/LookupScreens.xml', 'plugins/assetmaint/widget/ismgr/Menus.xml', 'plugins/bi/config/BiUiLabels.xml', 'plugins/bi/config/bi.properties', 'plugins/bi/data/BiSecurityGroupDemoData.xml', 'plugins/bi/data/BiSecurityPermissionSeedData.xml', 'plugins/bi/data/BiSystemPropertyData.xml', 'plugins/bi/data/BiTypeData.xml', 'plugins/bi/entitydef/entitygroup.xml', 'plugins/bi/entitydef/entitymodel.xml', 'plugins/bi/groovyScripts/GetStarSchemaFields.groovy', 'plugins/bi/groovyScripts/GetStarSchemas.groovy', 'plugins/bi/groovyScripts/RunStarSchemaQuery.groovy', 'plugins/bi/minilang/DimensionServices.xml', 'plugins/bi/minilang/FactServices.xml', 'plugins/bi/ofbiz-component.xml', 'plugins/bi/servicedef/secas.xml', 'plugins/bi/servicedef/services.xml', 'plugins/bi/src/main/java/org/apache/ofbiz/bi/util/DimensionServices.java', 'plugins/bi/template/Main.ftl', 'plugins/bi/template/reportbuilder/RenderStarSchemaReport.ftl', 'plugins/bi/template/reportbuilder/SelectStarSchemaFields.ftl', 'plugins/bi/webapp/bi/WEB-INF/controller.xml', 'plugins/bi/webapp/bi/WEB-INF/web.xml', 'plugins/bi/webapp/bi/index.jsp', 'plugins/bi/widget/BiForms.xml', 'plugins/bi/widget/BiMenus.xml', 'plugins/bi/widget/BiScreens.xml', 'plugins/birt/README.md', 'plugins/birt/build.gradle', 'plugins/birt/config/BirtErrorUiLabels.xml', 'plugins/birt/config/BirtUiLabels.xml', 'plugins/birt/data/BirtHelpData.xml', 'plugins/birt/data/BirtMasterData.xml', 'plugins/birt/data/BirtSecurityGroupDemoData.xml', 'plugins/birt/data/BirtTypeData.xml', 'plugins/birt/data/OrderPortletData.xml', 'plugins/birt/data/helpdata/HELP_BIRT.xml', 'plugins/birt/documents/Birt.xml', 'plugins/birt/groovyScripts/accounting/AcctgTransEntriesSearchResultsParameters.groovy', 'plugins/birt/groovyScripts/accounting/BalanceSheetParameters.groovy', 'plugins/birt/groovyScripts/accounting/IncomeStatementParameters.groovy', 'plugins/birt/groovyScripts/accounting/InvoiceAcctgTransEntryParameters.groovy', 'plugins/birt/groovyScripts/accounting/PaymentAcctgTransEntryParameters.groovy', 'plugins/birt/groovyScripts/accounting/PaymentReport.groovy', 'plugins/birt/groovyScripts/accounting/TrialBalanceParameters.groovy', 'plugins/birt/groovyScripts/facility/InventoryItemReport.groovy', 'plugins/birt/groovyScripts/order/CheckReportBy.groovy', 'plugins/birt/groovyScripts/order/NetBeforeOverheadReport.groovy', 'plugins/birt/groovyScripts/order/OrderByChannel.groovy', 'plugins/birt/groovyScripts/order/ProductDemandReport.groovy', 'plugins/birt/groovyScripts/order/SalesReport.groovy', 'plugins/birt/groovyScripts/report/PrepareBirtCall.groovy', 'plugins/birt/minilang/BirtPermissionServices.xml', 'plugins/birt/ofbiz-component.xml', 'plugins/birt/servicedef/services.xml', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/BirtFactory.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/BirtWorker.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/container/BirtContainer.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/email/BirtEmailServices.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/flexible/BirtMasterReportServices.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/flexible/BirtServices.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/flexible/BirtUtil.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/flexible/ReportDesignGenerator.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/report/servlet/BirtEngineServlet.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/report/servlet/BirtViewerServlet.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/report/servlet/ViewerServletRequest.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/webapp/view/BirtViewHandler.java', 'plugins/birt/template/ChartReport.ftl', 'plugins/birt/template/Report.ftl', 'plugins/birt/webapp/accounting/WEB-INF/controller.xml', 'plugins/birt/webapp/accounting/WEB-INF/web.xml', 'plugins/birt/webapp/accounting/index.jsp', 'plugins/birt/webapp/accounting/reports/AcctgTransEntriesSearchResultsInvoiceAndPayment.rptdesign', 'plugins/birt/webapp/accounting/reports/BalanceSheet.rptdesign', 'plugins/birt/webapp/accounting/reports/IncomeStatement.rptdesign', 'plugins/birt/webapp/accounting/reports/InvoiceAcctgTransEntry.rptdesign', 'plugins/birt/webapp/accounting/reports/PaymentAcctgTransEntry.rptdesign', 'plugins/birt/webapp/accounting/reports/PaymentReport.rptdesign', 'plugins/birt/webapp/accounting/reports/TrialBalance.rptdesign', 'plugins/birt/webapp/birt/WEB-INF/attachments/README', 'plugins/birt/webapp/birt/WEB-INF/birt.tld', 'plugins/birt/webapp/birt/WEB-INF/controller.xml', 'plugins/birt/webapp/birt/WEB-INF/server-config.wsdd', 'plugins/birt/webapp/birt/WEB-INF/web.xml', 'plugins/birt/webapp/birt/error/error.jsp', 'plugins/birt/webapp/birt/index.jsp', 'plugins/birt/webapp/birt/report/chart.rptdesign', 'plugins/birt/webapp/birt/report/example.rptdesign', 'plugins/birt/webapp/birt/webcontent/birt/ajax/core/BirtCommunicationManager.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/core/BirtDndManager.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/core/BirtEvent.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/core/BirtEventDispatcher.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/core/BirtSoapRequest.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/core/BirtSoapResponse.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/core/Mask.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/lib/prototype.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/mh/BirtBaseResponseHandler.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/mh/BirtGetUpdatedObjectsResponseHandler.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/taglib/CascadingParameter.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/taglib/ParameterDefinition.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/taglib/ParameterGroup.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/taglib/ProgressBar.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/taglib/SoapResponseHelper.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/app/AbstractBaseToc.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/app/AbstractBaseToolbar.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/app/AbstractUIComponent.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/app/BirtNavigationBar.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/app/BirtProgressBar.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/app/BirtToc.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/app/BirtToolbar.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/dialog/AbstractBaseDialog.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/dialog/AbstractExceptionDialog.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/dialog/AbstractParameterDialog.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/dialog/BirtConfirmationDialog.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/dialog/BirtExceptionDialog.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/dialog/BirtExportReportDialog.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/dialog/BirtParameterDialog.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/dialog/BirtPrintReportDialog.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/dialog/BirtPrintReportServerDialog.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/dialog/BirtSimpleExportDataDialog.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/dialog/BirtTabedDialogBase.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/report/AbstractBaseReportDocument.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/report/AbstractReportComponent.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/report/BirtReportDocument.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/ui/report/ReportComponentIdRegistry.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/utility/BirtPosition.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/utility/BirtUtility.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/utility/BrowserUtility.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/utility/Constants.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/utility/Debug.js', 'plugins/birt/webapp/birt/webcontent/birt/ajax/utility/Printer.js', 'plugins/birt/webapp/birt/webcontent/birt/images/Add.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/AddAll.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/AddAll_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/AddAll_disabled_rtl.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/AddAll_rtl.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/AddFilter.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Add_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Add_disabled_rtl.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Add_rtl.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Close.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Collapse.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/DeleteFilter.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Down.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Down_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/EclipseBannerPic.jpg', 'plugins/birt/webapp/birt/webcontent/birt/images/Error.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Expand.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Export.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/ExportReport.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/FirstPage.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/FirstPage_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Go.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Go_rtl.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Idea.jpg', 'plugins/birt/webapp/birt/webcontent/birt/images/Interactive_viewer.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/LastPage.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/LastPage_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Leaf.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Loading.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Loading_rtl.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/NextPage.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/NextPage_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/PreviousPage.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/PreviousPage_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Print.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/PrintServer.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Remove.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/RemoveAll.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/RemoveAll_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/RemoveAll_disabled_rtl.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/RemoveAll_rtl.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Remove_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Remove_disabled_rtl.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Remove_rtl.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Report_Parameters_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Report_parameters.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Toc.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Up.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/Up_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/childicon.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/dialog/common/close.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/dialog/common/ok-cancel-button-center.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/dialog/common/ok-cancel-button-center_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/dialog/common/ok-cancel-button-left.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/dialog/common/ok-cancel-button-left_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/dialog/common/ok-cancel-button-right.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/dialog/common/ok-cancel-button-right_disabled.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/gradient.jpg', 'plugins/birt/webapp/birt/webcontent/birt/images/parameter.gif', 'plugins/birt/webapp/birt/webcontent/birt/images/parameter_group.gif', 'plugins/birt/webapp/birt/webcontent/birt/pages/common/Attributes.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/common/Error.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/common/Locale.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/common/blank.html', 'plugins/birt/webapp/birt/webcontent/birt/pages/common/processing.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/control/NavigationbarFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/control/ProgressBarFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/control/TocFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/control/ToolbarFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/dialog/ConfirmationDialogFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/dialog/DialogContainerFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/dialog/ExceptionDialogFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/dialog/ExportDataDialogFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/dialog/ExportReportDialogFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/dialog/ParameterDialogFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/dialog/PrintReportDialogFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/dialog/PrintReportServerDialogFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/dialog/SimpleExportDataDialogFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/layout/DocumentFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/layout/FramesetFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/layout/ParameterFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/layout/ReportContentFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/layout/ReportDialogFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/layout/ReportFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/layout/RequesterFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/layout/RunFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/layout/SidebarFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/parameter/CheckboxParameterFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/parameter/ComboBoxParameterFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/parameter/HiddenParameterFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/parameter/ParameterGroupFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/parameter/RadioButtonParameterFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/pages/parameter/TextBoxParameterFragment.jsp', 'plugins/birt/webapp/birt/webcontent/birt/styles/dialogbase.css', 'plugins/birt/webapp/birt/webcontent/birt/styles/dialogbase_rtl.css', 'plugins/birt/webapp/birt/webcontent/birt/styles/index.css', 'plugins/birt/webapp/birt/webcontent/birt/styles/style.css', 'plugins/birt/webapp/facility/WEB-INF/controller.xml', 'plugins/birt/webapp/facility/WEB-INF/web.xml', 'plugins/birt/webapp/facility/index.jsp', 'plugins/birt/webapp/facility/inventory/report/InventoryReport.rptdesign', 'plugins/birt/webapp/ordermgr/WEB-INF/controller.xml', 'plugins/birt/webapp/ordermgr/WEB-INF/web.xml', 'plugins/birt/webapp/ordermgr/index.jsp', 'plugins/birt/webapp/ordermgr/reports/CouponSalesReport.rptdesign', 'plugins/birt/webapp/ordermgr/reports/Last3MonthsSalesReport.rptdesign', 'plugins/birt/webapp/ordermgr/reports/OrderDiscountCodeReport.rptdesign', 'plugins/birt/webapp/ordermgr/reports/OrdersByChannel.rptdesign', 'plugins/birt/webapp/ordermgr/reports/ProductDemandReport.rptdesign', 'plugins/birt/webapp/ordermgr/reports/SalesReport.rptdesign', 'plugins/birt/webapp/ordermgr/reports/SalesReportMonth.rptdesign', 'plugins/birt/webapp/ordermgr/reports/SalesReportWeek.rptdesign', 'plugins/birt/widget/accounting/AccountingForms.xml', 'plugins/birt/widget/accounting/AccountingScreens.xml', 'plugins/birt/widget/birt/BirtForms.xml', 'plugins/birt/widget/birt/BirtMasterForms.xml', 'plugins/birt/widget/birt/BirtMenus.xml', 'plugins/birt/widget/birt/BirtScreens.xml', 'plugins/birt/widget/facility/FacilityForms.xml', 'plugins/birt/widget/facility/FacilityScreens.xml', 'plugins/birt/widget/order/OrderForms.xml', 'plugins/birt/widget/order/OrderScreens.xml', 'plugins/cmssite/data/CmsMultiSiteDemoData.xml', 'plugins/cmssite/data/CmsSiteDemoData.xml']","Improved: Moves plugins and creates the new structure (OFBIZ-9182)

git-svn-id: https://svn.apache.org/repos/asf/ofbiz/trunk@1782651 13f79535-47bb-0310-9956-ffa450edef68",
ed08f7400905d2fa9d58fea1158690032affba06,pythys,pythys,2,"['README.md', 'build.gradle']","Implemented: new gradle task pullPluginSource using a subversion gradle plugin
(OFBIZ-9182)

Added a new gradle task called pullPluginSource that fetches a plugin from
the (yet to be created) plugins repository. Also updated the README.md file
to reflect the changes that happened recently on the plugin management tasks

This is the last commit required before restructuring the subversion repository
as per the discussion thread mentioned in the above JIRA


git-svn-id: https://svn.apache.org/repos/asf/ofbiz/trunk@1782605 13f79535-47bb-0310-9956-ffa450edef68",
08b3240e1723ac20f58b29931b1883365eac42bc,JacquesLeRoux,JacquesLeRoux,5,"['tools/security/dependency-check/NOTICE.txt', 'tools/security/dependency-check/README.md', 'tools/security/dependency-check/README.txt', 'tools/security/dependency-check/check.bat', 'tools/security/dependency-check/suppress.xml']","No functional change, updates and removes some now useless files


git-svn-id: https://svn.apache.org/repos/asf/ofbiz/trunk@1782604 13f79535-47bb-0310-9956-ffa450edef68",
683f89001bc3b01f268c68bb6df0dad4decb8bc7,JacquesLeRoux,JacquesLeRoux,1,['tools/security/dependency-check/dependency-check-report.html'],"No functional change, last update with less Vulnerable Dependencies

Only higher will be considered, not done yet...

git-svn-id: https://svn.apache.org/repos/asf/ofbiz/trunk@1782603 13f79535-47bb-0310-9956-ffa450edef68",
4ff1482640ab5eb5770de7c07a2c68ee8aa8e684,JacquesLeRoux,JacquesLeRoux,1,['plugins/component-load.xml'],"Implemented: Load demo data shows error loading xml files
Fixed:
(OFBIZ-9211)

""gradlew cleanAll loadDefault"" generates a data loading error

It's logically due to the removing of plugins/component-load.xml in OFBIZ-9182
A temporary solution is to put it in again. 
A definitive solution is to remove data dependencies. 
We have also this problem with ecommerce data which create dependencies 
from applications

jleroux: I don't close this issue yet because we need to work together on this.
I simply remove the regression by putting back plugins/component-load.xml

Thanks: Wai for report

git-svn-id: https://svn.apache.org/repos/asf/ofbiz/trunk@1782577 13f79535-47bb-0310-9956-ffa450edef68",
fe8b3d4f4d76211d534c7105260a2f2e6eb110c8,JacquesLeRoux,JacquesLeRoux,2,"['applications/accounting/widget/AgreementForms.xml', 'applications/accounting/widget/AgreementScreens.xml']","Improved: refactor list related forms in Agreeement widgets
(OFBIZ-9186)

Refactoring various list forms into grids
Refactoring various list form references in screens

Thanks: Pierre Smits

git-svn-id: https://svn.apache.org/repos/asf/ofbiz/trunk@1782562 13f79535-47bb-0310-9956-ffa450edef68",
fbbd4e5acbd42a13913681169c21e3e683ad040f,JacquesLeRoux,JacquesLeRoux,1,['framework/base/src/main/java/org/apache/ofbiz/base/util/UtilURL.java'],"Fixed: Reinstate url cache in UtilURL.fromResource
(OFBIZ-9208)

Adrian created the following commit to cache URL objects 


Revision: 1649979
Author: adrianc
Date: 07 January 2015 00:24:28
Message:
Some optimizations for URL lookups.
----
Modified : /ofbiz/trunk/framework/base/src/org/ofbiz/base/util/UtilProperties.java
Modified : /ofbiz/trunk/framework/base/src/org/ofbiz/base/util/UtilURL.java

and was later reverted in this commit

Revision: 1650347
Author: adrianc
Date: 08 January 2015 17:53:59
Message:
Some small fixups for some of my previous commits.
----
Modified : /ofbiz/trunk/framework/entity/src/org/ofbiz/entity/util/EntityClassLoader.java
Modified : /ofbiz/trunk/framework/base/src/org/ofbiz/base/util/UtilURL.java

We have found in one of our production servers that line 98 in UtilURL.java

url = loader.getResource(resourceName);

has caused locking and looking at the stack trace (from jstack). There are 
numerous threads waiting on locks from within this method

I propose the cache gets added back (we have done this as a patch on our systems
 with no ill effect)

FYI - The commits are in reference to the EntityClassLoader which is not used 
and does not work see OFBIZ-6210

Thanks: Gareth Carter for report and suggestion

git-svn-id: https://svn.apache.org/repos/asf/ofbiz/trunk@1782520 13f79535-47bb-0310-9956-ffa450edef68",
b63b25c196650250665a00e0620b974cd591f9a9,JacquesLeRoux,JacquesLeRoux,1,['framework/minilang/src/main/java/org/apache/ofbiz/minilang/method/entityops/FindByAnd.java'],"Fixed: SimpleMethod: FindByAnd never using EntityListIterator
(OFBIZ-9152)

Since the introduction of EntityQuery there was no distinction between a simple 
method tags 
<find-by-and use-iterator=""true""> and <find-by-and use-iterator=""false""> 
(except cache handling).
There is a condition ""if (useIterator)"" but with entityQueries did use 
""[...].queryList()"".

Thanks: Mirko Vogelsmeier

git-svn-id: https://svn.apache.org/repos/asf/ofbiz/trunk@1782498 13f79535-47bb-0310-9956-ffa450edef68",
cecb0bfb0e711ea23f7c4feba21c1be72bb1c495,nmalin,nmalin,2,"['plugins/birt/src/main/java/org/apache/ofbiz/birt/BirtWorker.java', 'plugins/birt/src/main/java/org/apache/ofbiz/birt/container/BirtContainer.java']","Fixed: Birt logging unlogical high (OFBIZ-9201)
Currently the class BirtContainer call the birt engine with hard coded log level ALL that generated huge log file.
We can't implement easily log4j on the birt engine so with this commit I create a quick fix to have matching between the java.util.Logger and org.apache.log4j.Logger level.
You can select the log level from debug.properties to populate the ReportEngine log file.

git-svn-id: https://svn.apache.org/repos/asf/ofbiz/trunk@1782070 13f79535-47bb-0310-9956-ffa450edef68",
471d8c427374fef2aa20dc8728fb9bdd359bf004,mbrohl,mbrohl,1,['applications/order/groovyScripts/order/OrderView.groovy'],"Fixed: Cancelled OrderItems are still included in orderGrandTotal.
(OFBIZ-9204)

Thanks: Maurice for reporting and providing the patch, Deepak and Jacques for their suggestions.

git-svn-id: https://svn.apache.org/repos/asf/ofbiz/trunk@1781979 13f79535-47bb-0310-9956-ffa450edef68",
