hash,authors,committer,changes_FileNum,changed_files,message,bug_id
2d9ab40595f5df0019bf9285f40c33bfdf5499c9,dionusos,dionusos,2,"['core/src/test/java/org/apache/oozie/service/TestHAShareLibService.java', 'release-log.txt']",OOZIE-3689 Remove usage of commons-httpclient due to EOL (jmakai via dionusos),OOZIE-3689
e78ffb56310f4bee7ac053a448b2f25437f22321,dionusos,dionusos,2,"['core/src/main/java/org/apache/oozie/test/EmbeddedServletContainer.java', 'release-log.txt']",OOZIE-3688 Introduce retry mechanism when starting embedded servlet containers in unit tests (jmakai via dionusos),OOZIE-3688
7ce603f3ec71a87b8f5b335c8c7602db9b44ed23,dionusos,dionusos,3,"['core/src/test/java/org/apache/oozie/command/coord/TestCoordActionInputCheckXCommand.java', 'core/src/test/java/org/apache/oozie/test/XTestCase.java', 'release-log.txt']",OOZIE-3685 Repair flaky testCoordActionInputCheckXCommandUniqueness unit test (jmakai via dionusos),OOZIE-3685
6a7b5e0d1c46d57abb4c406379ac82e437ad2cfc,dionusos,dionusos,2,"['core/src/test/java/org/apache/oozie/command/wf/TestWorkflowActionRetryInfoXCommand.java', 'release-log.txt']",OOZIE-3686 Repair flaky testRetryConsoleUrlForked unit test (jmakai via dionusos),OOZIE-3686
87b812465fb05d2b77230a58bc1bf49bb86acdd3,dionusos,dionusos,2,"['core/src/main/java/org/apache/oozie/action/hadoop/SparkActionExecutor.java', 'release-log.txt']",OOZIE-3684 Migrate to commons-lang3 again (jmakai via dionusos),OOZIE-3684
6a26b1c29e02c547ecbb5f8f4350d9417bfa74d2,dionusos,dionusos,2,"['core/src/main/resources/ssh-wrapper.sh', 'release-log.txt']",OOZIE-3682 Prepare ssh-wrapper script to handle callback specific arguments with quotes (jmakai via dionusos),OOZIE-3682
3a932ad1cd7e294576b03c48bbd28e691ad6f58b,dionusos,dionusos,2,"['core/src/test/java/org/apache/oozie/sla/TestSLACalculatorMemory.java', 'release-log.txt']",OOZIE-3683 Fix intermittent unit test failure in testLoadOnRestart (jmakai via dionusos),OOZIE-3683
83f9c9e1341d96f3c105904d47f134215210c6d8,dionusos,dionusos,3,"['core/src/main/java/org/apache/oozie/service/JPAService.java', 'core/src/test/java/org/apache/oozie/service/TestJPAService.java', 'release-log.txt']",OOZIE-3679 Correct maximum wait time between database retry attempts property (jmakai via dionusos),OOZIE-3679
567b82f663598074f2297c070a0f80aac75253af,dionusos,dionusos,2,"['core/src/main/resources/oozie-default.xml', 'release-log.txt']","Revert ""OOZIE-3680 Add default value to custom configuration of all the supported file systems in Oozie (jmakai via dionusos)""
The change was mistakenly merged with unit test failures.

This reverts commit b4505c3619f6bb996ce3c39bfa58b8ce897e706c.",
b4505c3619f6bb996ce3c39bfa58b8ce897e706c,dionusos,dionusos,2,"['core/src/main/resources/oozie-default.xml', 'release-log.txt']",OOZIE-3680 Add default value to custom configuration of all the supported file systems in Oozie (jmakai via dionusos),OOZIE-3680
4f4e9ee43daf2c8e86b56cabf674a3a4e606007f,dionusos,dionusos,6,"['core/src/main/java/org/apache/oozie/ErrorCode.java', 'core/src/main/java/org/apache/oozie/action/hadoop/FsELFunctions.java', 'core/src/main/resources/oozie-default.xml', 'core/src/test/java/org/apache/oozie/action/hadoop/TestFsELFunctions.java', 'docs/src/site/markdown/WorkflowFunctionalSpec.md', 'release-log.txt']",OOZIE-3606 Extend file system EL functions to use custom file system properties (jmakai via dionusos),OOZIE-3606
efd0b17ac375a479fa34621bed4fe3ac360363bc,dionusos,dionusos,5,"['release-log.txt', 'server/src/main/java/org/apache/oozie/server/EmbeddedOozieServer.java', 'server/src/main/java/org/apache/oozie/server/SSLServerConnectorFactory.java', 'server/src/test/java/org/apache/oozie/server/TestEmbeddedOozieServer.java', 'server/src/test/java/org/apache/oozie/server/TestSSLServerConnectorFactory.java']",OOZIE-3677 Oozie should accept a keyStoreType and trustStoreType property in oozie-site.xml (jmakai via dionusos),OOZIE-3677
