hash,authors,committer,changes_FileNum,changed_files,message,bug_id
05069dfee47724ec263a3bbc1c84c12739f241e4,dependabot[bot],web-flow,1,['pom.xml'],"Bump postgresql from 42.5.0 to 42.5.1 (#109)

Bumps [postgresql](https://github.com/pgjdbc/pgjdbc) from 42.5.0 to 42.5.1.
- [Release notes](https://github.com/pgjdbc/pgjdbc/releases)
- [Changelog](https://github.com/pgjdbc/pgjdbc/blob/master/CHANGELOG.md)
- [Commits](https://github.com/pgjdbc/pgjdbc/compare/REL42.5.0...REL42.5.1)

---
updated-dependencies:
- dependency-name: org.postgresql:postgresql
  dependency-type: direct:development
...

Signed-off-by: dependabot[bot] <support@github.com>

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>",
57f300b1da76b3b98b718414243b05fce996b758,dependabot[bot],web-flow,3,"['openjpa-kubernetes/src/main/java/org/apache/openjpa/event/kubernetes/KubernetesTCPRemoteCommitProvider.java', 'openjpa-kubernetes/src/test/java/org/apache/openjpa/event/kubernetes/KubernetesTCPRemoteCommitProviderTest.java', 'pom.xml']",Bump kubernetes-client from 5.9.0 to 6.2.0 (#105),
e7cd6f65628a3741dad149dd3c0254b684255630,dependabot[bot],web-flow,1,['pom.xml'],"Bump ant from 1.10.9 to 1.10.11 (#103)

* Bump ant from 1.10.9 to 1.10.11

Bumps ant from 1.10.9 to 1.10.11.

---
updated-dependencies:
- dependency-name: org.apache.ant:ant
  dependency-type: direct:production
...

Signed-off-by: dependabot[bot] <support@github.com>

* Ant is updated to the most recent version

Signed-off-by: dependabot[bot] <support@github.com>
Co-authored-by: dependabot[bot] <49699333+dependabot[bot]@users.noreply.github.com>
Co-authored-by: Maxim Solodovnik <solomax666@gmail.com>",
6aec10a41bf3913b7784b6f83fd252ec7048184a,s4iko,web-flow,1,['pom.xml'],"Log4j2 update to last version (free of vulnerability such as Log4Shell) (#101)

* Log4j2 update to last version (free of vulnerability such as Log4Shell)

* Log4j is updated one more time

Co-authored-by: malaunaisj <jeremy.malaunais@logica.com>
Co-authored-by: Maxim Solodovnik <solomax666@gmail.com>",
0be08390d5b2c69573b424a3b9b5ed52bb1551cc,solomax,solomax,1,['pom.xml'],typo is fixed,
aed0e58f129eecba5beb3e13b265dc23a22ee169,solomax,solomax,1,['pom.xml'],DB drivers are updated,
c3da147fc922dcd56c3a62c951bebac0d870d8cd,ilgrosso,ilgrosso,31,"['openjpa-all/pom.xml', 'openjpa-examples/image-gallery/pom.xml', 'openjpa-examples/openbooks/pom.xml', 'openjpa-examples/pom.xml', 'openjpa-examples/simple/pom.xml', 'openjpa-features/pom.xml', 'openjpa-integration/daytrader/pom.xml', 'openjpa-integration/examples/pom.xml', 'openjpa-integration/jmx/pom.xml', 'openjpa-integration/pom.xml', 'openjpa-integration/slf4j/pom.xml', 'openjpa-integration/tck/pom.xml', 'openjpa-integration/validation/pom.xml', 'openjpa-jdbc/pom.xml', 'openjpa-jest/pom.xml', 'openjpa-junit5/pom.xml', 'openjpa-kernel/pom.xml', 'openjpa-kubernetes/pom.xml', 'openjpa-lib/pom.xml', 'openjpa-persistence-jdbc/pom.xml', 'openjpa-persistence-locking/pom.xml', 'openjpa-persistence/pom.xml', 'openjpa-project/pom.xml', 'openjpa-slice/pom.xml', 'openjpa-tools/openjpa-fetch-statistics-was/pom.xml', 'openjpa-tools/openjpa-fetch-statistics/pom.xml', 'openjpa-tools/openjpa-maven-plugin/pom.xml', 'openjpa-tools/pom.xml', 'openjpa-xmlstore/pom.xml', 'openjpa/pom.xml', 'pom.xml']",[maven-release-plugin] prepare for next development iteration,
e5933d6aeed8463b01d1a075d611e336aacddc72,ilgrosso,ilgrosso,31,"['openjpa-all/pom.xml', 'openjpa-examples/image-gallery/pom.xml', 'openjpa-examples/openbooks/pom.xml', 'openjpa-examples/pom.xml', 'openjpa-examples/simple/pom.xml', 'openjpa-features/pom.xml', 'openjpa-integration/daytrader/pom.xml', 'openjpa-integration/examples/pom.xml', 'openjpa-integration/jmx/pom.xml', 'openjpa-integration/pom.xml', 'openjpa-integration/slf4j/pom.xml', 'openjpa-integration/tck/pom.xml', 'openjpa-integration/validation/pom.xml', 'openjpa-jdbc/pom.xml', 'openjpa-jest/pom.xml', 'openjpa-junit5/pom.xml', 'openjpa-kernel/pom.xml', 'openjpa-kubernetes/pom.xml', 'openjpa-lib/pom.xml', 'openjpa-persistence-jdbc/pom.xml', 'openjpa-persistence-locking/pom.xml', 'openjpa-persistence/pom.xml', 'openjpa-project/pom.xml', 'openjpa-slice/pom.xml', 'openjpa-tools/openjpa-fetch-statistics-was/pom.xml', 'openjpa-tools/openjpa-fetch-statistics/pom.xml', 'openjpa-tools/openjpa-maven-plugin/pom.xml', 'openjpa-tools/pom.xml', 'openjpa-xmlstore/pom.xml', 'openjpa/pom.xml', 'pom.xml']",[maven-release-plugin] prepare release 3.2.2,
641dfd947ecde452816c2af7ea26c8673d3a140a,rmannibucau,web-flow,1,['openjpa/pom.xml'],"Merge pull request #93 from jeanouii/jakarta-relocate

OPENJPA-2900 javax.xml.bind must be reloacted to jakarta namespace",
a605d872e5b4d929d1f4864eba3aa8aebcee35a7,ilgrosso,ilgrosso,1,['openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Filters.java'],[OPENJPA-2713] Fixing OffsetDateTime conversion,OPENJPA-2713
