hash,authors,committer,changes_FileNum,changed_files,message,bug_id
609e95faae1788382b21bd9b574eac1e72d400ce,solomax,solomax,1,['pom.xml'],"[OPENMEETINGS-2732] aspectjtools, xstream, mockito, jodconverter",OPENMEETINGS-2732
636c21abdd1372ab3af8792c1f3de27f570ea43e,solomax,solomax,1,['openmeetings-web/src/main/java/org/apache/openmeetings/web/app/OtpManager.java'],[OPENMEETINGS-2755] NTP server is tested on startup,OPENMEETINGS-2755
8035ce0fc38b0c6470a5f7c80dfb9b2b56d1fba7,solomax,solomax,1,['openmeetings-webservice/src/main/java/org/apache/openmeetings/webservice/RoomWebService.java'],[OPENMEETINGS-2733] some Sonar issues,OPENMEETINGS-2733
34a2b06d7d83fdf0ceb741429e1083c7701bf2db,solomax,solomax,2,"['openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/OtpDialog.java']",[OPENMEETINGS-2733] some Sonar issues,OPENMEETINGS-2733
eb7d05a9036e8a9212e7c061a02cdcdeaad5d73e,solomax,solomax,1,['openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/OtpDialog.java'],[OPENMEETINGS-2733] some Sonar issues,OPENMEETINGS-2733
ad1dd4e92449af6617a78e4c4978baebeff90a33,solomax,solomax,6,"['openmeetings-web/src/main/java/org/apache/openmeetings/web/app/OtpManager.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/NotInitedPage.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/OtpDialog.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/MessagesContactsPanel.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/ToggleOtpDialog.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/UserSearchPanel.html']",[OPENMEETINGS-2733] some Sonar issues,OPENMEETINGS-2733
1630771f6b1cae19734c366ea56efef780550564,solomax,solomax,1,['openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/basic/ConfigurationDao.java'],no jira: typo is fixed,
a75f9b7ccf2c5c235d84258935687685bb0c4260,solomax,solomax,97,"['openmeetings-db/src/main/java/org/apache/openmeetings/db/dao/basic/ConfigurationDao.java', 'openmeetings-db/src/main/java/org/apache/openmeetings/db/entity/user/User.java', 'openmeetings-install/src/main/java/org/apache/openmeetings/installation/ImportInitvalues.java', 'openmeetings-mediaserver/src/main/java/org/apache/openmeetings/mediaserver/KStream.java', 'openmeetings-service/src/main/java/org/apache/openmeetings/service/calendar/caldav/IcalUtils.java', 'openmeetings-util/src/main/java/org/apache/openmeetings/util/OpenmeetingsVariables.java', 'openmeetings-util/src/test/java/org/apache/openmeetings/util/TestStoredFile.java', 'openmeetings-web/pom.xml', 'openmeetings-web/src/main/front/room/src/user-list.js', 'openmeetings-web/src/main/front/settings/src/WebRtcPeer.js', 'openmeetings-web/src/main/front/wb/src/wb-area.js', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/backup/BackupPanel.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/configurations/ConfigsPanel.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/groups/GroupUsersPanel.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/labels/LangPanel.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/oauth/OAuthForm.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/rooms/RoomForm.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/users/UserForm.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/admin/users/UserForm.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ar.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_bg.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_bn.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ca.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_cs.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_da.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_de.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_el.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_es.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_fa.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_fi.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_fr.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_gl.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_he.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_hi.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_hu.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_id.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_it.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ja.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ko.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ku.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_lo.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_nl.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_pl.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_pt.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_pt_BR.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ru.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_sk.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_sv.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ta.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_th.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_tk.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_tr.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_uk.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_ur.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_zh_CN.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/Application_zh_TW.properties.xml', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/app/OtpManager.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/common/Captcha.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/common/CommunityUserForm.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/common/UploadableImagePanel.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/common/UploadableImagePanel.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/common/datetime/AbstractOmDateTimePicker.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/common/tree/FileTreePanel.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/common/upload/UploadForm.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/BasePage.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/ResetPage.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/ForgetPasswordDialog.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/OtpDialog.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/OtpDialog.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/RegisterDialog.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/ResetPasswordDialog.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInDialog.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInPage.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/pages/auth/SignInPage.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/IconTextModal.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/menu/RoomMenuPanel.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/room/poll/PollResultsDialog.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/ChangePasswordDialog.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/ChangePasswordDialog.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/EditProfileForm.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/EditProfileForm.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/EditProfilePanel.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/EditProfilePanel.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/MessagesContactsPanel.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/ToggleOtpDialog.html', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/profile/ToggleOtpDialog.java', 'openmeetings-web/src/main/java/org/apache/openmeetings/web/user/rooms/RoomListPanel.java', 'openmeetings-web/src/main/webapp/WEB-INF/classes/openmeetings.properties', 'openmeetings-web/src/main/webapp/css/raw-admin.css', 'openmeetings-web/src/main/webapp/css/raw-calendar.css', 'openmeetings-web/src/main/webapp/css/raw-general.css', 'openmeetings-web/src/main/webapp/css/raw-wb.css', 'openmeetings-web/src/test/java/org/apache/openmeetings/webservice/AbstractWebServiceTest.java', 'openmeetings-web/src/test/java/org/apache/openmeetings/webservice/TestRecordingService.java', 'pom.xml', 'src/license/license-template.ftl']",[OPENMEETINGS-2755] 2 factor auth is added,OPENMEETINGS-2755
554f405cb40b84e4cda825d66356ca580132976a,solomax,solomax,3,"['openmeetings-web/src/main/front/room/src/video.js', 'openmeetings-web/src/main/front/settings/src/settings.js', 'openmeetings-web/src/main/front/settings/src/video-util.js']","[OPENMEETINGS-2253] self-echo fixed, again",OPENMEETINGS-2253
163ccea9b52ef01954ad83ae207aeef2705da43e,solomax,solomax,2,"['openmeetings-web/src/main/front/room/src/video.js', 'openmeetings-web/src/main/front/settings/src/settings.js']",[OPENMEETINGS-2253] self-echo 'fix' is reverted,OPENMEETINGS-2253
