hash,authors,committer,changes_FileNum,changed_files,message,bug_id
4c3aefdaa645665c43b359ba66d9a24e39776f33,struberg,struberg,1,['webbeans-gradle/pom.xml'],"OWB-1415 use gradle m2 repo instead of bintray

Bintray was shut down some time ago.",OWB-1415
bc22688e2797af95d72ad882864f1c81711d415d,struberg,struberg,1,['webbeans-tck-jakarta/pom.xml'],"OWB-1414 downgrade testng to run on Java8 again

The 7.x version of testng requires Java16.",OWB-1414
30c34ba04ef1c8c94a1c6de8f9eaec485002f04b,rmannibucau,rmannibucau,1,['webbeans-impl/src/test/java/org/apache/webbeans/xml/DefaultBeanArchiveServiceTest.java'],simple test on DefaultBeanArchiveServiceTest to ensure we ignore the namespace,
ba5345948d311533e1f17c9992fee6c24ec3e77e,jeanouii,jeanouii,35,"['atinject-tck/pom.xml', 'bom/openwebbeans-se-bom/pom.xml', 'bom/openwebbeans-web-bom/pom.xml', 'bom/pom.xml', 'distribution/pom.xml', 'pom.xml', 'samples/conversation-sample/pom.xml', 'samples/guess/pom.xml', 'samples/jsf2sample/pom.xml', 'samples/pom.xml', 'samples/reservation/pom.xml', 'samples/standalone-sample/pom.xml', 'samples/tomcat7-sample/pom.xml', 'webbeans-arquillian/owb-arquillian-standalone/pom.xml', 'webbeans-arquillian/pom.xml', 'webbeans-ee-common/pom.xml', 'webbeans-ee/pom.xml', 'webbeans-ejb/pom.xml', 'webbeans-el22/pom.xml', 'webbeans-gradle/pom.xml', 'webbeans-impl/pom.xml', 'webbeans-jetty9/pom.xml', 'webbeans-jms/pom.xml', 'webbeans-jsf/pom.xml', 'webbeans-junit5/pom.xml', 'webbeans-osgi/pom.xml', 'webbeans-porting/pom.xml', 'webbeans-resource/pom.xml', 'webbeans-se/pom.xml', 'webbeans-slf4j/pom.xml', 'webbeans-spi/pom.xml', 'webbeans-tck-jakarta/pom.xml', 'webbeans-tck/pom.xml', 'webbeans-tomcat7/pom.xml', 'webbeans-web/pom.xml']",[maven-release-plugin] prepare for next development iteration,
3ffbcd77d3594a8c77391471dcd58f48aaaf7bb4,jeanouii,jeanouii,35,"['atinject-tck/pom.xml', 'bom/openwebbeans-se-bom/pom.xml', 'bom/openwebbeans-web-bom/pom.xml', 'bom/pom.xml', 'distribution/pom.xml', 'pom.xml', 'samples/conversation-sample/pom.xml', 'samples/guess/pom.xml', 'samples/jsf2sample/pom.xml', 'samples/pom.xml', 'samples/reservation/pom.xml', 'samples/standalone-sample/pom.xml', 'samples/tomcat7-sample/pom.xml', 'webbeans-arquillian/owb-arquillian-standalone/pom.xml', 'webbeans-arquillian/pom.xml', 'webbeans-ee-common/pom.xml', 'webbeans-ee/pom.xml', 'webbeans-ejb/pom.xml', 'webbeans-el22/pom.xml', 'webbeans-gradle/pom.xml', 'webbeans-impl/pom.xml', 'webbeans-jetty9/pom.xml', 'webbeans-jms/pom.xml', 'webbeans-jsf/pom.xml', 'webbeans-junit5/pom.xml', 'webbeans-osgi/pom.xml', 'webbeans-porting/pom.xml', 'webbeans-resource/pom.xml', 'webbeans-se/pom.xml', 'webbeans-slf4j/pom.xml', 'webbeans-spi/pom.xml', 'webbeans-tck-jakarta/pom.xml', 'webbeans-tck/pom.xml', 'webbeans-tomcat7/pom.xml', 'webbeans-web/pom.xml']",[maven-release-plugin] prepare release openwebbeans-2.0.27,
a708f0c3a9564edaa3d4815b7aaeec8ce94768cb,jeanouii,jeanouii,4,"['pom.xml', 'webbeans-spi/src/main/java/org/apache/webbeans/spi/DefiningClassService.java', 'webbeans-spi/src/main/java/org/apache/webbeans/spi/ResourceInjectionService.java', 'webbeans-spi/src/main/java/org/apache/webbeans/spi/plugins/OpenWebBeansPlugin.java']",Fix javadoc issues for the release,
0a7bb495d2fd43445ca301dd803c1312ed571351,jeanouii,jeanouii,1,['pom.xml'],OWB-1405 OWB-1406 Apache Tomcat 7.0.109 and XBean 4.21,OWB-1405
43548f3a800031504e007d099cb83b557fa668de,jeanouii,jeanouii,5,"['webbeans-jetty9/pom.xml', 'webbeans-jetty9/src/it/fatwar/pom.xml', 'webbeans-jetty9/src/it/servletinjection/pom.xml', 'webbeans-tomcat7/src/it/fatwar/pom.xml', 'webbeans-tomcat7/src/it/servletinjection/pom.xml']",OWB-1412 Geronimo interceptor_1.2_spec 1.2,OWB-1412
ca6bd38263eff8eecefbe4f148fa40b3f7c54490,jeanouii,jeanouii,1,['webbeans-tck/pom.xml'],Update Test NG,
902c5e83cf33404de50eee4618a5a92fa8ea9cc7,jeanouii,jeanouii,1,['webbeans-tck-jakarta/pom.xml'],OWB-1411 Apache Tomcat 10.0.21,OWB-1411
372ee484fca3f6b9429dca54fe783f5e552a2035,jeanouii,jeanouii,1,['webbeans-slf4j/pom.xml'],OWB-1410 SLF4J 1.7.36,OWB-1410
d295aa205b6a3638bc4d4bcdd442aa56b28c5fba,jeanouii,jeanouii,1,['webbeans-gradle/pom.xml'],OWB-1408 Gradle 3.5.1 and OWB-1409 Groovy 3.0.10,OWB-1408
d8395f56cb30474e0b0d3736eb6790779803fa84,jeanouii,jeanouii,1,['samples/reservation/pom.xml'],OWB-1407 Apache Commons Validator 1.4.1 in sample reservation,OWB-1407
7549493fb82b9fd024341a1627cc944a9c68cddd,rmannibucau,rmannibucau,1,['pom.xml'],[OWB-1404] drop jboss http repository from the build to enable mvn 3.8 build,OWB-1404
ae4846f719f49805d7f2af6f7ce021959694f0af,jeanouii,jeanouii,1,['pom.xml'],full package works better,
29129661f5bbf0848f2ea0f94be0af7548dda6c6,jeanouii,jeanouii,1,['pom.xml'],Fix and refine relocation pattern with exceptions,
966c113fcf72f38931ef2ab77d22ca386f71bfa5,rmannibucau,rmannibucau,35,"['atinject-tck/pom.xml', 'bom/openwebbeans-se-bom/pom.xml', 'bom/openwebbeans-web-bom/pom.xml', 'bom/pom.xml', 'distribution/pom.xml', 'pom.xml', 'samples/conversation-sample/pom.xml', 'samples/guess/pom.xml', 'samples/jsf2sample/pom.xml', 'samples/pom.xml', 'samples/reservation/pom.xml', 'samples/standalone-sample/pom.xml', 'samples/tomcat7-sample/pom.xml', 'webbeans-arquillian/owb-arquillian-standalone/pom.xml', 'webbeans-arquillian/pom.xml', 'webbeans-ee-common/pom.xml', 'webbeans-ee/pom.xml', 'webbeans-ejb/pom.xml', 'webbeans-el22/pom.xml', 'webbeans-gradle/pom.xml', 'webbeans-impl/pom.xml', 'webbeans-jetty9/pom.xml', 'webbeans-jms/pom.xml', 'webbeans-jsf/pom.xml', 'webbeans-junit5/pom.xml', 'webbeans-osgi/pom.xml', 'webbeans-porting/pom.xml', 'webbeans-resource/pom.xml', 'webbeans-se/pom.xml', 'webbeans-slf4j/pom.xml', 'webbeans-spi/pom.xml', 'webbeans-tck-jakarta/pom.xml', 'webbeans-tck/pom.xml', 'webbeans-tomcat7/pom.xml', 'webbeans-web/pom.xml']",[maven-release-plugin] prepare for next development iteration,
0f06ed15bfe3e53923971188e96ecc721242c2e0,rmannibucau,rmannibucau,35,"['atinject-tck/pom.xml', 'bom/openwebbeans-se-bom/pom.xml', 'bom/openwebbeans-web-bom/pom.xml', 'bom/pom.xml', 'distribution/pom.xml', 'pom.xml', 'samples/conversation-sample/pom.xml', 'samples/guess/pom.xml', 'samples/jsf2sample/pom.xml', 'samples/pom.xml', 'samples/reservation/pom.xml', 'samples/standalone-sample/pom.xml', 'samples/tomcat7-sample/pom.xml', 'webbeans-arquillian/owb-arquillian-standalone/pom.xml', 'webbeans-arquillian/pom.xml', 'webbeans-ee-common/pom.xml', 'webbeans-ee/pom.xml', 'webbeans-ejb/pom.xml', 'webbeans-el22/pom.xml', 'webbeans-gradle/pom.xml', 'webbeans-impl/pom.xml', 'webbeans-jetty9/pom.xml', 'webbeans-jms/pom.xml', 'webbeans-jsf/pom.xml', 'webbeans-junit5/pom.xml', 'webbeans-osgi/pom.xml', 'webbeans-porting/pom.xml', 'webbeans-resource/pom.xml', 'webbeans-se/pom.xml', 'webbeans-slf4j/pom.xml', 'webbeans-spi/pom.xml', 'webbeans-tck-jakarta/pom.xml', 'webbeans-tck/pom.xml', 'webbeans-tomcat7/pom.xml', 'webbeans-web/pom.xml']",[maven-release-plugin] prepare release openwebbeans-2.0.26,
0da7a3cfa262f7206fee11953a6d3468e493ab52,rmannibucau,rmannibucau,3,"['webbeans-impl/src/main/java/org/apache/webbeans/inject/instance/InstanceImpl.java', 'webbeans-impl/src/test/java/org/apache/webbeans/test/instance/InstanceQualifierInjectionPointTest.java', 'webbeans-impl/src/test/java/org/apache/webbeans/test/instance/InstanceSelectTest.java']",[OWB-1402] ensure Instance#select uses an append logic for qualifiers,OWB-1402
8ccda9326d6c1cb340d48d6a6cbce4390133d8dc,rmannibucau,rmannibucau,1,['webbeans-gradle/pom.xml'],upgrade log4j-core to 2.17.1 in webbeans-gradle - no user impact,
0d022c1ef8a76f02e4d7b3efe294ad877e2732a2,rmannibucau,rmannibucau,1,['webbeans-impl/src/main/java/org/apache/webbeans/portable/AbstractProducer.java'],[OWB-1401] sort intercepted methods,OWB-1401
3d665bf864b4296181819342ea0a46379c610cfc,struberg,struberg,35,"['atinject-tck/pom.xml', 'bom/openwebbeans-se-bom/pom.xml', 'bom/openwebbeans-web-bom/pom.xml', 'bom/pom.xml', 'distribution/pom.xml', 'pom.xml', 'samples/conversation-sample/pom.xml', 'samples/guess/pom.xml', 'samples/jsf2sample/pom.xml', 'samples/pom.xml', 'samples/reservation/pom.xml', 'samples/standalone-sample/pom.xml', 'samples/tomcat7-sample/pom.xml', 'webbeans-arquillian/owb-arquillian-standalone/pom.xml', 'webbeans-arquillian/pom.xml', 'webbeans-ee-common/pom.xml', 'webbeans-ee/pom.xml', 'webbeans-ejb/pom.xml', 'webbeans-el22/pom.xml', 'webbeans-gradle/pom.xml', 'webbeans-impl/pom.xml', 'webbeans-jetty9/pom.xml', 'webbeans-jms/pom.xml', 'webbeans-jsf/pom.xml', 'webbeans-junit5/pom.xml', 'webbeans-osgi/pom.xml', 'webbeans-porting/pom.xml', 'webbeans-resource/pom.xml', 'webbeans-se/pom.xml', 'webbeans-slf4j/pom.xml', 'webbeans-spi/pom.xml', 'webbeans-tck-jakarta/pom.xml', 'webbeans-tck/pom.xml', 'webbeans-tomcat7/pom.xml', 'webbeans-web/pom.xml']",[maven-release-plugin] prepare for next development iteration,
b78df47d226421096a8d88f265a39844f5da2381,struberg,struberg,35,"['atinject-tck/pom.xml', 'bom/openwebbeans-se-bom/pom.xml', 'bom/openwebbeans-web-bom/pom.xml', 'bom/pom.xml', 'distribution/pom.xml', 'pom.xml', 'samples/conversation-sample/pom.xml', 'samples/guess/pom.xml', 'samples/jsf2sample/pom.xml', 'samples/pom.xml', 'samples/reservation/pom.xml', 'samples/standalone-sample/pom.xml', 'samples/tomcat7-sample/pom.xml', 'webbeans-arquillian/owb-arquillian-standalone/pom.xml', 'webbeans-arquillian/pom.xml', 'webbeans-ee-common/pom.xml', 'webbeans-ee/pom.xml', 'webbeans-ejb/pom.xml', 'webbeans-el22/pom.xml', 'webbeans-gradle/pom.xml', 'webbeans-impl/pom.xml', 'webbeans-jetty9/pom.xml', 'webbeans-jms/pom.xml', 'webbeans-jsf/pom.xml', 'webbeans-junit5/pom.xml', 'webbeans-osgi/pom.xml', 'webbeans-porting/pom.xml', 'webbeans-resource/pom.xml', 'webbeans-se/pom.xml', 'webbeans-slf4j/pom.xml', 'webbeans-spi/pom.xml', 'webbeans-tck-jakarta/pom.xml', 'webbeans-tck/pom.xml', 'webbeans-tomcat7/pom.xml', 'webbeans-web/pom.xml']",[maven-release-plugin] prepare release openwebbeans-2.0.25,
0ff340622599dea85f52fafb361814ac9f4f5fd7,struberg,struberg,1,['webbeans-impl/src/main/java/org/apache/webbeans/corespi/scanner/AbstractMetaDataDiscovery.java'],OWB-1398 change back method name for API compat,OWB-1398
e2794b6e9f557991640f5b43da54a5631b630d23,struberg,struberg,1,['webbeans-gradle/pom.xml'],OWB-1396 upgrade to log4j2 2.16.0,OWB-1396
d23b7cdc039608deb1d98e3a57d63aca13249331,tandraschko,tandraschko,1,['webbeans-impl/src/main/java/org/apache/webbeans/corespi/scanner/AbstractMetaDataDiscovery.java'],OWB-1398 filter only once,OWB-1398
7b3456aebb920fc063f4033d95e11342198c0a9a,tandraschko,tandraschko,1,['webbeans-impl/src/main/java/org/apache/webbeans/corespi/scanner/AbstractMetaDataDiscovery.java'],OWB-1398 possible NPE,OWB-1398
0ce034d4c0da95989f094963e16d0db6398a7f56,tandraschko,tandraschko,1,['webbeans-impl/src/main/java/org/apache/webbeans/corespi/scanner/AbstractMetaDataDiscovery.java'],OWB-1398,OWB-1398
d5c77a8e7b980cae8f1bc824bfb34a7290dde021,struberg,struberg,1,['webbeans-impl/src/main/java/org/apache/webbeans/corespi/scanner/AbstractMetaDataDiscovery.java'],OWB-1397 javax.inject.Scope scopes are not Bean Defining Annotations,OWB-1397
eee920e1f158277273e1b607930b44a62e18606f,struberg,struberg,35,"['atinject-tck/pom.xml', 'bom/openwebbeans-se-bom/pom.xml', 'bom/openwebbeans-web-bom/pom.xml', 'bom/pom.xml', 'distribution/pom.xml', 'pom.xml', 'samples/conversation-sample/pom.xml', 'samples/guess/pom.xml', 'samples/jsf2sample/pom.xml', 'samples/pom.xml', 'samples/reservation/pom.xml', 'samples/standalone-sample/pom.xml', 'samples/tomcat7-sample/pom.xml', 'webbeans-arquillian/owb-arquillian-standalone/pom.xml', 'webbeans-arquillian/pom.xml', 'webbeans-ee-common/pom.xml', 'webbeans-ee/pom.xml', 'webbeans-ejb/pom.xml', 'webbeans-el22/pom.xml', 'webbeans-gradle/pom.xml', 'webbeans-impl/pom.xml', 'webbeans-jetty9/pom.xml', 'webbeans-jms/pom.xml', 'webbeans-jsf/pom.xml', 'webbeans-junit5/pom.xml', 'webbeans-osgi/pom.xml', 'webbeans-porting/pom.xml', 'webbeans-resource/pom.xml', 'webbeans-se/pom.xml', 'webbeans-slf4j/pom.xml', 'webbeans-spi/pom.xml', 'webbeans-tck-jakarta/pom.xml', 'webbeans-tck/pom.xml', 'webbeans-tomcat7/pom.xml', 'webbeans-web/pom.xml']",CANCEL VOTE back to 2.0.25-SNAPSHOT,
cdfba4c7f2012b107013ca21000edbaf75700320,struberg,struberg,35,"['atinject-tck/pom.xml', 'bom/openwebbeans-se-bom/pom.xml', 'bom/openwebbeans-web-bom/pom.xml', 'bom/pom.xml', 'distribution/pom.xml', 'pom.xml', 'samples/conversation-sample/pom.xml', 'samples/guess/pom.xml', 'samples/jsf2sample/pom.xml', 'samples/pom.xml', 'samples/reservation/pom.xml', 'samples/standalone-sample/pom.xml', 'samples/tomcat7-sample/pom.xml', 'webbeans-arquillian/owb-arquillian-standalone/pom.xml', 'webbeans-arquillian/pom.xml', 'webbeans-ee-common/pom.xml', 'webbeans-ee/pom.xml', 'webbeans-ejb/pom.xml', 'webbeans-el22/pom.xml', 'webbeans-gradle/pom.xml', 'webbeans-impl/pom.xml', 'webbeans-jetty9/pom.xml', 'webbeans-jms/pom.xml', 'webbeans-jsf/pom.xml', 'webbeans-junit5/pom.xml', 'webbeans-osgi/pom.xml', 'webbeans-porting/pom.xml', 'webbeans-resource/pom.xml', 'webbeans-se/pom.xml', 'webbeans-slf4j/pom.xml', 'webbeans-spi/pom.xml', 'webbeans-tck-jakarta/pom.xml', 'webbeans-tck/pom.xml', 'webbeans-tomcat7/pom.xml', 'webbeans-web/pom.xml']",[maven-release-plugin] prepare for next development iteration,
