hash,authors,committer,changes_FileNum,changed_files,message,bug_id
5f7420575050bea1a8946c6c793a6910c9c8c1c1,tkhurana,web-flow,1,['dev/misc_utils/git_jira_fix_version_check.py'],"PHOENIX-6849 git_jira_fix_version_check.py does not retrieve all JIRA… (#1547)

* PHOENIX-6849 git_jira_fix_version_check.py does not retrieve all JIRAs for a fixed version

Set maxResults to None so that the API does internal batching and returns
back all the results

* Fix pylint issues",PHOENIX-6849
91f3f24bc6fdbe56f338c16c538673a2fd5eab49,mlorek,stoty,1,['docs/phoenix.csv'],PHOENIX-6848 Fix grant and revoke command rule documentation,PHOENIX-6848
0fad1b84a10db9e6737d0197a0341e9bb6cba9da,gtaparia,stoty,2,"['phoenix-core/src/it/java/org/apache/phoenix/end2end/UpgradeIT.java', 'phoenix-core/src/main/java/org/apache/phoenix/query/ConnectionQueryServicesImpl.java']",PHOENIX-6655 SYSTEM.SEQUENCE should have CACHE_DATA_ON_WRITE set to true,PHOENIX-6655
8b3c46906a38aca05f3aa80730840db1159b0729,shahrs87,web-flow,1,['phoenix-core/src/main/java/org/apache/phoenix/coprocessor/MetaDataEndpointImpl.java'],"PHOENIX-6845 Forward port PHOENIX-5863 Upsert into view against a table with index throws exception when 4.14.3 client connects to 4.16 server (#1543)

Co-authored-by: Rushabh Shah <rushabh.shah@rushabh-ltmflld.internal.salesforce.com>",PHOENIX-6845
dfecc198e88a759105dd5b72564cdbcd7c0ac566,jpisaac,web-flow,13,"['phoenix-core/src/it/java/org/apache/phoenix/end2end/InListIT.java', 'phoenix-core/src/it/java/org/apache/phoenix/end2end/QueryIT.java', 'phoenix-core/src/main/java/org/apache/phoenix/compile/KeyPart.java', 'phoenix-core/src/main/java/org/apache/phoenix/compile/WhereOptimizer.java', 'phoenix-core/src/main/java/org/apache/phoenix/expression/function/InvertFunction.java', 'phoenix-core/src/main/java/org/apache/phoenix/expression/function/PrefixFunction.java', 'phoenix-core/src/main/java/org/apache/phoenix/expression/function/RTrimFunction.java', 'phoenix-core/src/main/java/org/apache/phoenix/expression/function/RoundDateExpression.java', 'phoenix-core/src/main/java/org/apache/phoenix/expression/function/RoundDecimalExpression.java', 'phoenix-core/src/main/java/org/apache/phoenix/util/SchemaUtil.java', 'phoenix-core/src/test/java/org/apache/phoenix/compile/WhereOptimizerTest.java', 'phoenix-core/src/test/java/org/apache/phoenix/expression/RoundFloorCeilExpressionsTest.java', 'phoenix-core/src/test/java/org/apache/phoenix/query/BaseTest.java']","PHOENIX-6752 Duplicate expression nodes in extract nodes during WHERE compilation phase leads to poor performance (#1508)

Co-authored-by: Jacob Isaac <jisaac@salesforce.com>",PHOENIX-6752
c8a2668fa52fa0cd2b4995d55fd8d367dd142fa3,stoty,stoty,3,"['BUILDING.md', 'dev/rebuild_hbase.sh', 'pom.xml']","PHOENIX-6837 Switch to Using the -hadoop3 HBase Artifacts Where Available

bump HBase 2.5 version to 2.5.2-hadoop3",PHOENIX-6837
49ae472842dc8ebdba42aa837b977466045bbb75,stoty,stoty,3,"['BUILDING.md', 'dev/rebuild_hbase.sh', 'pom.xml']","Revert ""Switch to Using the -hadoop3 HBase Artifacts Where Available""

This reverts commit c31df4af1594f11b732d97bf2e2e15ca390982d2.

reverting because of bad commit message",
c31df4af1594f11b732d97bf2e2e15ca390982d2,stoty,stoty,3,"['BUILDING.md', 'dev/rebuild_hbase.sh', 'pom.xml']","Switch to Using the -hadoop3 HBase Artifacts Where Available

bump HBase 2.5 version to 2.5.2-hadoop3",
4ea742ceb7c6c2e4d7d31de1fc317c687a100801,stoty,stoty,1,['phoenix-core/src/it/java/org/apache/phoenix/end2end/ViewTTLIT.java'],PHOENIX-6843 Flakey ViewTTLIT,PHOENIX-6843
7dd33bdb5a7b800d4385bb10784191caf0f908fa,stoty,stoty,1,['phoenix-core/src/test/java/org/apache/phoenix/jdbc/ParallelPhoenixConnectionFailureTest.java'],PHOENIX-6840 Very flakey ParallelPhoenixConnectionFailureTest,PHOENIX-6840
9808404926bcc28411e0d97fce656127492bc2b4,stoty,stoty,2,"['phoenix-core/pom.xml', 'pom.xml']",PHOENIX-6841 Depend on omid-codahale-metrics,PHOENIX-6841
