hash,authors,committer,changes_FileNum,changed_files,message,bug_id
ae09d12952e29a256faf60e261f973a343abf2a1,lprimak,web-flow,1,['.github/workflows/maven.yml'],"Merge pull request #570 from apache/dependabot/github_actions/actions/checkout-3.2.0

Bump actions/checkout from 3.1.0 to 3.2.0",
2cfe81c5740c1f886bb27fc2c50b693a1644ba8f,lprimak,web-flow,1,['pom.xml'],"Merge pull request #481 from apache/dependabot/maven/org.apache.maven.plugins-maven-jxr-plugin-3.3.0

Bump maven-jxr-plugin from 3.1.1 to 3.3.0",
80c5ade9af822173964546d3f904cbbcae3f5094,lprimak,web-flow,2,"['integration-tests/meecrowave-support/pom.xml', 'pom.xml']","Merge pull request #482 from apache/dependabot/maven/slf4j.version-1.7.33

Bump slf4j.version from 1.7.26 to 1.7.33",
3356e65510e5e1b249181c19e8b498dc921c2b55,lprimak,web-flow,1,['pom.xml'],"Merge pull request #483 from apache/dependabot/maven/commons-cli-commons-cli-1.5.0

Bump commons-cli from 1.4 to 1.5.0",
c64a7981b0dd04047420ff1ff2cf9be82f6725ec,lprimak,web-flow,1,['pom.xml'],"Merge pull request #475 from apache/dependabot/maven/org.codehaus.mojo-taglist-maven-plugin-3.0.0

Bump taglist-maven-plugin from 2.4 to 3.0.0",
11b05f93a0bcb55ced353921fba6b6c5107742fd,lprimak,web-flow,1,['support/features/pom.xml'],"Merge pull request #478 from apache/dependabot/maven/org.apache.maven.plugins-maven-resources-plugin-3.3.0

Bump maven-resources-plugin from 3.1.0 to 3.3.0",
1e8081c1aac21540fc0624ea6b4ea53a13e58e75,lprimak,web-flow,1,['pom.xml'],"Merge pull request #484 from apache/dependabot/maven/com.mycila-license-maven-plugin-4.1

Bump license-maven-plugin from 3.0 to 4.1",
e0d0b0d89d7cbc9bd654b84cf7aa58e348b0c74c,lprimak,web-flow,1,['support/features/pom.xml'],"Merge pull request #508 from apache/dependabot/maven/org.apache.karaf.features-framework-4.4.2

Bump framework from 4.2.8 to 4.4.2",
139692472157d25c39ea0e13c918ae0ca49b27fb,lprimak,lprimak,1,['event/src/test/groovy/org/apache/shiro/event/support/SingleArgumentMethodEventListenerTest.groovy'],made SingleArgumentMethodEventListenerTest work on JDK 18+,
3fff0b26f02887b956744740af088bd98b34ed13,bdemers,web-flow,1,['.github/dependabot.yml'],Remove dependabot config for 1.10.x branch,
7e9bb40362b28afa6071af0d68b6ff2c5bf30e5c,bdemers,web-flow,1,['pom.xml'],"Merge pull request #559 from apache/dependabot/maven/org.apache.maven.plugins-maven-dependency-plugin-3.4.0

Bump maven-dependency-plugin from 3.1.1 to 3.4.0",
44d644e4e4e1067c99ba01eb0ade6b53439e00e5,dependabot[bot],web-flow,1,['.github/workflows/maven.yml'],"Bump actions/checkout from 3.1.0 to 3.2.0

Bumps [actions/checkout](https://github.com/actions/checkout) from 3.1.0 to 3.2.0.
- [Release notes](https://github.com/actions/checkout/releases)
- [Changelog](https://github.com/actions/checkout/blob/main/CHANGELOG.md)
- [Commits](https://github.com/actions/checkout/compare/v3.1.0...v3.2.0)

---
updated-dependencies:
- dependency-name: actions/checkout
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
1040d6531e1da8bad727b95857aba3a0fa444049,lprimak,lprimak,1,['pom.xml'],added 'lprimak' to Developers section in the pom.xml,
729a8172aa62bac2d5e22bdffa866dca972e45d8,lprimak,web-flow,1,['pom.xml'],"Merge pull request #567 from lprimak/shiro-889-remote-jakarta-crypto

[SHIRO-889] Removed Jakarta Crypto relocation - non-existent module",
b4d457d1508bded43299bee48e2232f7ddb39b0c,lprimak,lprimak,1,['pom.xml'],[SHIRO-889] Removed Jakarta Crypto relocation - non-existent module,SHIRO-889
de73559c8d66b230870e61b09d46acb83902c659,lprimak,web-flow,2,"['pom.xml', 'web/src/main/java/org/apache/shiro/web/servlet/HttpSessionContext.java']","Merge pull request #557 from lprimak/native-sessions-jakarta-modular

[SHIRO-899] moved the HttpSessionContext Jakarta shim into Shiro pack…",
ace4d7e11f1c9f429535f40380a0ac0e62452de9,bmarwell,web-flow,1,['pom.xml'],"Merge pull request #562 from apache/bump-main-apache-parent-v28

Bump maven-apache-parent to v28",
17ae4977063893088217209facd9563b7d39f99d,lprimak,web-flow,3,"['web/src/main/java/org/apache/shiro/web/filter/InvalidRequestFilter.java', 'web/src/main/java/org/apache/shiro/web/util/WebUtils.java', 'web/src/test/java/org/apache/shiro/web/RestoreSystemProperties.java']","Merge pull request #526 from zenglzh/main

Performance optimization",
86f605b971afc9cda39d0b1f287feffc2442109e,lprimak,lprimak,3,"['web/src/main/java/org/apache/shiro/web/filter/InvalidRequestFilter.java', 'web/src/main/java/org/apache/shiro/web/util/WebUtils.java', 'web/src/test/java/org/apache/shiro/web/RestoreSystemProperties.java']","Performance optimization
Change the acquisition of system properties to static variables to reduce contension in high concurrency environments.
The Boolean.getBoolean method calls Hashtable to obtain system properties, and will lock.",
9f7727b6bcd6c692d188b4913c84388d78f03083,bmarwell,web-flow,1,['pom.xml'],"Remove unnecessary plugin versions

managed by parent, partly newer",
6309a0615ad3e429f9964df1d140a9a0d19ed5d9,bmarwell,web-flow,1,['pom.xml'],Bump maven-apache-parent to v28,
8fa58520dbdcdedaa556e29e978f415edbacfca2,lprimak,lprimak,1,['pom.xml'],removed extraneous whitespace from pom.xml,
25f511cb0185fb50574809a56d80399cd0d058ac,lprimak,lprimak,2,"['pom.xml', 'web/src/main/java/org/apache/shiro/web/servlet/HttpSessionContext.java']","[SHIRO-899] moved the HttpSessionContext Jakarta shim into Shiro package and out of jakarta package,
to made JPMS work, and avoid split package issues",SHIRO-899
31794e7bcf47fa66a0050c8b3f8ef2f8b1a51a5c,lprimak,web-flow,6,"['core/src/main/java/org/apache/shiro/mgt/AbstractRememberMeManager.java', 'crypto/cipher/src/main/java/org/apache/shiro/crypto/cipher/SimpleByteSourceBroker.java', 'crypto/cipher/src/test/groovy/org/apache/shiro/crypto/cipher/AesCipherServiceTest.groovy', 'crypto/cipher/src/test/groovy/org/apache/shiro/crypto/cipher/BlowfishCipherServiceTest.groovy', 'lang/src/main/java/org/apache/shiro/lang/util/ByteSourceWrapper.java', 'lang/src/main/java/org/apache/shiro/lang/util/ByteUtils.java']","Merge pull request #556 from lprimak/move-util-package-to-lang-util

[SHIRO-679] moved ByteSourceWrapper and ByteUtils into org.apache.shi…",
7f764587614f11fdc8bb35691cfa8c29579e2195,dependabot[bot],web-flow,1,['pom.xml'],"Bump maven-dependency-plugin from 3.1.1 to 3.4.0

Bumps [maven-dependency-plugin](https://github.com/apache/maven-dependency-plugin) from 3.1.1 to 3.4.0.
- [Release notes](https://github.com/apache/maven-dependency-plugin/releases)
- [Commits](https://github.com/apache/maven-dependency-plugin/compare/maven-dependency-plugin-3.1.1...maven-dependency-plugin-3.4.0)

---
updated-dependencies:
- dependency-name: org.apache.maven.plugins:maven-dependency-plugin
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",
818249cd77e8315751eec3690f033ad6691b8d99,lprimak,lprimak,6,"['core/src/main/java/org/apache/shiro/mgt/AbstractRememberMeManager.java', 'crypto/cipher/src/main/java/org/apache/shiro/crypto/cipher/SimpleByteSourceBroker.java', 'crypto/cipher/src/test/groovy/org/apache/shiro/crypto/cipher/AesCipherServiceTest.groovy', 'crypto/cipher/src/test/groovy/org/apache/shiro/crypto/cipher/BlowfishCipherServiceTest.groovy', 'lang/src/main/java/org/apache/shiro/lang/util/ByteSourceWrapper.java', 'lang/src/main/java/org/apache/shiro/lang/util/ByteUtils.java']",[SHIRO-679] moved ByteSourceWrapper and ByteUtils into org.apache.shiro.lang.util package to avoid split packages,SHIRO-679
