hash,authors,committer,changes_FileNum,changed_files,message,bug_id
5613140a0435cf374e09cacd0d0f069bc5d35ea8,gstein,gstein,2,"['v3/steve/vtypes/stv.py', 'v3/test/run_stv.py']","Remove reliance upon CandidateList object.

Switch to using the tally's ""human"" return result, rather than relying
upon the CandidateList class to print results.

A small typo/tweak was needed in stv.py to fix the output.",
76ef6abd4a76021c6dfa76908f3f608141f72e83,gstein,gstein,1,['v3/test/run_stv.py'],switch to stv.tally() along with custom NAMES ordering,
48d6ffabed1120d30fcddf79e3474e21d48532da,gstein,gstein,1,['v3/steve/vtypes/stv.py'],load stv_tool once. Add optional NAMES ordering.,
ea42278c905aac682710f4e0a30d820ba6781435,gstein,gstein,2,"['v3/steve/election.py', 'v3/test/check_coverage.py']","Never return decrypted vote strings.

Perform the final tally ""internally"". So:
  s/gather_issue_votes/tally_issue/

Adjust the coverage test script to add more votes, to exercise all
branches of the two vote types.",
f225a7b8da2a95be7bdbbea65257fb7c09e14a5d,gstein,gstein,1,['v3/steve/vtypes/stv.py'],implement the STV vote type,
f5e392ea6834dda6c39a213f88f3c73a4a586d16,gstein,gstein,2,"['v3/steve/election.py', 'v3/test/check_coverage.py']",KV as JSON should be internal; not part of the API,
e39c347e1ff2facb022619c2008aec5e28db7ef6,gstein,gstein,1,['v3/steve/vtypes/__init__.py'],add a function to return the module for a vote type,
c3463634eda78be241725c8cd30a84d6e499faa9,gstein,web-flow,1,['v3/README.md'],"clarifications

Add some more content about tampering. Clarify how the anti-tampering key is constructed.",
91feedc1b8841a5f7cdac8c196ab769833935ac3,gstein,web-flow,1,['v3/README.md'],"add the ""Data at Rest"" section",
8d469c7ec7d71d8d43430ec68b497e6fda07ce1a,gstein,gstein,1,['v3/test/check_coverage.py'],use new get_metadata() and all its branches,
8e4fba6689962a8f4e097ac79467852e687f9acc,gstein,gstein,1,['v3/steve/election.py'],"Revise election state handling. Add metadata fetch.

Clearly annotate the states through three S_* symbols, and write a new
get_state() function to return one of these. Rewrite the is_*()
functions in terms of get_state(). This also enforces some implied
invariants amongst SALT,OPENED_KEY,CLOSED in METADATA.

Add get_metadata() to return info, including the state.

Add comments to clarify that SALT columns should never be returned.",
bb843c96b75a62d89c80b52f96e3882f31ef9b56,gstein,web-flow,1,['v3/README.md'],codecov test provides API demo,
89a14fe2050ae35424ec8e88aff5da037c3617f6,gstein,gstein,1,['v3/schema.sql'],heh. wrong help. fix py-based schema loading.,
46b29b5853d61598ad852d1e5157ba8d179cc3fc,gstein,gstein,2,"['v3/requirements.txt', 'v3/test/check_coverage.py']","Add line/branch coverage testing.

In Python, one of the major classes of errors (since no compilation
step exists) is simple typos of identifiers. Running coverage to
verify that each line is touched finds 99% of these typos.

This adds a simple test to run coverage over the ""steve"" package, and
achieves 100% for the primary package, but 0% of the ""steve.vtypes""
subpackage (but will, shortly).",
5d36bbcba60e3b7b5529a29ad9c84daccc57be14,gstein,gstein,1,['v3/steve/election.py'],fix typo found via coverage testing,
97a9223953bc84df84e4b6818194d29fde1399d9,gstein,gstein,1,['v3/schema.sql'],show how to add schema via python,
a4cbb8eaf9c66b761643cf3e333706679c204bc3,gstein,gstein,4,"['v3/README.md', 'v3/schema.sql', 'v3/steve/crypto.py', 'v3/steve/election.py']","align around ""Person"" terminology",
868c2bbef3a9897e49cfe8598ecfde7b9563fdcd,gstein,gstein,1,['v3/steve/election.py'],nit: single quotes are fine here,
690dfbecb94cae8ef9efbf3ae0ebaa973572112b,gstein,gstein,1,['v3/steve/election.py'],no need for arg. pull from DB.,
8459d64d4639b77c2a3b49293abf4214dbe7a76a,gstein,gstein,2,"['v3/test/populate_v2_stv.sh', 'v3/test/run_stv.py']","Run STV through the v3 path.

The v3 code loads stv_tool, and this new script runs the voting
through that loading mechanism.

Future work will use the v3 tally() function, but this helps to sketch
out testing/comparison with more of the v3 apparatus.",
37bb5aa53d02de84ea04526555f47d818aea7535,gstein,gstein,1,['monitoring/stv_tool.py'],revise main() to use new entrypoints,
c7804aea7c65486f4da7253b97b00d46304c1989,gstein,gstein,1,['monitoring/stv_tool.py'],remove stray/unused code,
