hash,authors,committer,changes_FileNum,changed_files,message,bug_id
4fd2db36cee9e21ab41193e216e820bacadec157,raboof,web-flow,9,"['docs/pom.xml', 'docs/src/site/markdown/by-laws.md', 'docs/src/site/markdown/index.md', 'docs/src/site/markdown/install_pre_0_5_0.md', 'docs/src/site/markdown/privacy-policy.md', 'docs/src/site/markdown/talks.md', 'docs/src/site/markdown/tez-ui.md', 'docs/src/site/markdown/tez_yarn_timeline.md', 'docs/src/site/site.xml']",TEZ-4464: Update some links to https (#260) (Arnout Engelen reviewed by Laszlo Bodor),TEZ-4464
34d68100737b6e83a43f2a6837d3026eea5070bf,mayankkunwar,web-flow,1,['pom.xml'],TEZ-4458:Upgrade Bouncy Castle to 1.70 due to high CVEs (#253) (Mayank Kunwar reviewed by Laszlo Bodor),TEZ-4458
25fc8c488bdffca979a846ee6f019c9fbcf6ea58,amanraj2520,web-flow,2,"['tez-ui/src/main/webapp/package.json', 'tez-ui/src/main/webapp/yarn.lock']",Upgraded is-my-json-valid version to 2.20.3 (#250) (Aman Raj reviewed Laszlo Bodor),
2fd7df4cf2b22c5ed1f34c5dc1c865fc75e3d832,ghanko,web-flow,82,"['tez-api/src/main/java/org/apache/tez/client/TezClientUtils.java', 'tez-api/src/main/java/org/apache/tez/common/ATSConstants.java', 'tez-api/src/main/java/org/apache/tez/common/RPCUtil.java', 'tez-api/src/main/java/org/apache/tez/common/ReflectionUtils.java', 'tez-api/src/main/java/org/apache/tez/common/TezCommonUtils.java', 'tez-api/src/main/java/org/apache/tez/common/TezUtils.java', 'tez-api/src/main/java/org/apache/tez/common/TezYARNUtils.java', 'tez-api/src/main/java/org/apache/tez/common/security/Master.java', 'tez-api/src/main/java/org/apache/tez/common/security/TokenCache.java', 'tez-api/src/main/java/org/apache/tez/dag/api/DagTypeConverters.java', 'tez-api/src/main/java/org/apache/tez/dag/api/TezConfigurationConstants.java', 'tez-api/src/main/java/org/apache/tez/dag/api/TezConstants.java', 'tez-api/src/main/java/org/apache/tez/dag/api/client/TimelineReaderFactory.java', 'tez-api/src/test/java/org/apache/tez/client/TestTezClient.java', 'tez-common/src/main/java/org/apache/tez/common/TezTestUtils.java', 'tez-common/src/main/java/org/apache/tez/common/TezUtilsInternal.java', 'tez-common/src/main/java/org/apache/tez/dag/utils/RelocalizationUtils.java', 'tez-dag/src/main/java/org/apache/tez/Utils.java', 'tez-dag/src/main/java/org/apache/tez/dag/app/dag/impl/TaskAttemptImplHelpers.java', 'tez-dag/src/main/java/org/apache/tez/dag/app/rm/container/AMContainerHelpers.java', 'tez-dag/src/main/java/org/apache/tez/dag/history/logging/impl/HistoryEventJsonConversion.java', 'tez-dag/src/main/java/org/apache/tez/dag/history/utils/DAGUtils.java', 'tez-dag/src/main/java/org/apache/tez/dag/history/utils/TezEventUtils.java', 'tez-dag/src/main/java/org/apache/tez/dag/utils/ProtoUtils.java', 'tez-dag/src/main/java/org/apache/tez/dag/utils/TezBuilderUtils.java', 'tez-dag/src/main/java/org/apache/tez/dag/utils/TezRuntimeChildJVM.java', 'tez-dag/src/test/java/org/apache/tez/dag/app/PluginWrapperTestHelpers.java', 'tez-dag/src/test/java/org/apache/tez/dag/app/rm/TestTaskSchedulerHelpers.java', 'tez-examples/src/main/java/org/apache/tez/examples/ExampleDriver.java', 'tez-ext-service-tests/src/test/java/org/apache/tez/service/TezTestServiceConfConstants.java', 'tez-ext-service-tests/src/test/java/org/apache/tez/util/ProtoConverters.java', 'tez-mapreduce/src/main/java/org/apache/hadoop/mapreduce/split/SplitMetaInfoReaderTez.java', 'tez-mapreduce/src/main/java/org/apache/tez/common/MRFrameworkConfigs.java', 'tez-mapreduce/src/main/java/org/apache/tez/mapreduce/common/Utils.java', 'tez-mapreduce/src/main/java/org/apache/tez/mapreduce/hadoop/DeprecatedKeys.java', 'tez-mapreduce/src/main/java/org/apache/tez/mapreduce/hadoop/IDConverter.java', 'tez-mapreduce/src/main/java/org/apache/tez/mapreduce/hadoop/MRHelpers.java', 'tez-mapreduce/src/main/java/org/apache/tez/mapreduce/hadoop/MRInputHelpers.java', 'tez-mapreduce/src/main/java/org/apache/tez/mapreduce/hadoop/MultiStageMRConfToTezTranslator.java', 'tez-mapreduce/src/main/java/org/apache/tez/mapreduce/hadoop/MultiStageMRConfigUtil.java', 'tez-mapreduce/src/main/java/org/apache/tez/mapreduce/hadoop/TezTypeConverters.java', 'tez-mapreduce/src/main/java/org/apache/tez/mapreduce/input/MRInput.java', 'tez-mapreduce/src/main/java/org/apache/tez/mapreduce/lib/MRInputUtils.java', 'tez-mapreduce/src/test/java/org/apache/tez/mapreduce/TezTestUtils.java', 'tez-mapreduce/src/test/java/org/apache/tez/mapreduce/processor/MapUtils.java', 'tez-plugins/tez-history-parser/src/main/java/org/apache/tez/history/parser/utils/Utils.java', 'tez-plugins/tez-yarn-timeline-history/src/main/java/org/apache/tez/dag/history/logging/ats/HistoryEventTimelineConversion.java', 'tez-runtime-internals/src/main/java/org/apache/tez/common/ProtoConverters.java', 'tez-runtime-internals/src/main/java/org/apache/tez/common/TezConverterUtils.java', 'tez-runtime-internals/src/test/java/org/apache/tez/runtime/task/TaskExecutionTestHelpers.java', 'tez-runtime-internals/src/test/java/org/apache/tez/runtime/task/TestContainerExecution.java', 'tez-runtime-library/src/main/java/org/apache/tez/common/TezRuntimeFrameworkConfigs.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/api/TezRuntimeConfiguration.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/ConfigUtils.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/Constants.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/TezRuntimeUtils.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/security/SecureShuffleUtils.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/ShuffleUtils.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/sort/impl/IFile.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/sort/impl/TezMerger.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/conf/Utils.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/utils/BufferUtils.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/utils/FastByteComparisons.java', 'tez-runtime-library/src/test/java/org/apache/tez/runtime/library/common/sort/impl/TestTezMerger.java', 'tez-runtime-library/src/test/java/org/apache/tez/runtime/library/output/OutputTestHelpers.java', 'tez-runtime-library/src/test/java/org/apache/tez/runtime/library/testutils/KVDataGen.java', 'tez-runtime-library/src/test/java/org/apache/tez/runtime/library/testutils/RandomTextGenerator.java', 'tez-tests/src/main/java/org/apache/tez/mapreduce/examples/ExampleDriver.java', 'tez-tests/src/test/java/org/apache/tez/test/SimpleTestDAG.java', 'tez-tests/src/test/java/org/apache/tez/test/SimpleTestDAG3Vertices.java', 'tez-tests/src/test/java/org/apache/tez/test/TestDriver.java', 'tez-tests/src/test/java/org/apache/tez/test/TestFaultTolerance.java', 'tez-tests/src/test/java/org/apache/tez/test/dag/FailingDagBuilder.java', 'tez-tests/src/test/java/org/apache/tez/test/dag/MultiAttemptDAG.java', 'tez-tests/src/test/java/org/apache/tez/test/dag/SimpleReverseVTestDAG.java', 'tez-tests/src/test/java/org/apache/tez/test/dag/SimpleVTestDAG.java', 'tez-tests/src/test/java/org/apache/tez/test/dag/SixLevelsFailingDAG.java', 'tez-tests/src/test/java/org/apache/tez/test/dag/ThreeLevelsFailingDAG.java', 'tez-tests/src/test/java/org/apache/tez/test/dag/TwoLevelsFailingDAG.java', 'tez-tools/analyzers/job-analyzer/src/main/java/org/apache/tez/analyzer/plugins/AnalyzerDriver.java', 'tez-tools/analyzers/job-analyzer/src/main/java/org/apache/tez/analyzer/utils/Utils.java', 'tez-tools/tez-javadoc-tools/src/main/java/org/apache/tez/tools/javadoc/doclet/ConfigStandardDoclet.java']",TEZ-4396 Ensure utility classes have only private (default) constructors + several code refactors (#197) (Gergely Hanko reviewed by Laszlo Bodor),TEZ-4396
65f9ee32a46518c89ad2347a8e39541d3e669e2d,difin,web-flow,1,['tez-plugins/tez-aux-services/src/main/java/org/apache/tez/auxservices/ShuffleHandler.java'],TEZ-4455: Add LoggingHandler in ShuffleHandler pipeline for better debuggability. (#249) (Dmitriy Fingerman reviewed by Laszlo Bodor),TEZ-4455
8bb27b845ce103b8d02a9a9d7fe2a1af10097e9c,slfan1989,web-flow,6,"['tez-api/src/test/java/org/apache/tez/common/TestTezCommonUtils.java', 'tez-dag/src/main/java/org/apache/tez/dag/app/dag/impl/VertexImpl.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/MergeManager.java', 'tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/sort/impl/TezMerger.java', 'tez-tests/src/test/java/org/apache/tez/test/TestInput.java', 'tez-tests/src/test/java/org/apache/tez/test/TestOutput.java']",TEZ-4454: remove extra commas. (#246) (slfan1989 reviewed by Laszlo Bodor),TEZ-4454
8ebc4b00f1d66ee88475b1e96691f658dab967be,ganeshashree,web-flow,3,"['tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/impl/ShuffleInputEventHandlerImpl.java', 'tez-runtime-library/src/test/java/org/apache/tez/runtime/library/common/shuffle/impl/TestShuffleInputEventHandlerImpl.java', 'tez-runtime-library/src/test/resources/mockito-extensions/org.mockito.plugins.MockMaker']",TEZ-4450: Shuffle data fetch fails when shuffle data is transferred via CompositeRoutedDataMovementEvent (#243) (Ganesha Shreedhara reviewed by Laszlo Bodor),TEZ-4450
dbbd406aed3434e8866d1e1a64fce4ad9b3bf5a9,abstractdog,web-flow,8,"['tez-api/src/main/java/org/apache/tez/dag/api/TezConfiguration.java', 'tez-common/src/main/java/org/apache/tez/common/TezUtilsInternal.java', 'tez-common/src/main/java/org/apache/tez/util/LoggingUtils.java', 'tez-dag/src/main/java/org/apache/tez/dag/app/DAGAppMaster.java', 'tez-runtime-internals/src/main/java/org/apache/tez/runtime/task/TezChild.java', 'tez-runtime-internals/src/main/java/org/apache/tez/runtime/task/TezTaskRunner2.java', 'tez-runtime-internals/src/test/java/org/apache/tez/runtime/task/TestTezTaskRunner2.java', 'tez-tests/src/test/java/org/apache/tez/test/TestTezJobs.java']","TEZ-4039: Tez should inject dag id, query id into MDC (#98) (Laszlo Bodor reviewed by Rajesh Balamohan, Prasanth Jayachandran)",TEZ-4039
fc5b6e9df08cc860037eeacba8c57c909b570e64,slfan1989,web-flow,1,['tez-dag/src/main/java/org/apache/tez/client/LocalClient.java'],TEZ-4453: Fix Typo of LocalClient. (#245) (slfan1989 reviewed by Laszlo Bodor),TEZ-4453
ddb53cb014b68cb5935daedba06938a676063b7c,kkolman,web-flow,1,['tez-api/src/main/java/org/apache/tez/client/TezClient.java'],TEZ-4448: Cannot submit Tez job when dag size is exceeds `ipc.maximum.data.length` and S3A is the filesystem (#241) (Karel Kolman reviewed by Laszlo Bodor),TEZ-4448
