hash,authors,committer,changes_FileNum,changed_files,message,bug_id
38dc83da79c54ced7b8e282514eaaa43da6f45c5,aw-was-here,web-flow,6,"['asf-site-src/Dockerfile', 'asf-site-src/Gemfile.lock', 'precommit/src/main/python/jenkins-admin.py', 'precommit/src/main/shell/plugins.d/detsecrets_parse.py', 'precommit/src/main/shell/test-patch-docker/Dockerfile', 'shelldocs/src/main/python/shelldocs.py']",YETUS-1193. Upgrade to Ubuntu Jammy (#297),YETUS-1193
6e3ec77a138f477d187b32798cf04afd56524833,aw-was-here,aw-was-here,3,"['.mvn/maven.config', 'asf-site-src/data/htaccess.yml', 'asf-site-src/data/versions.yml']","YETUS-1209. Add release 0.14.1

- Remove 0.14.0 from docs/downloads
- Add 0.14.1 to docs/downloads
- Put 0.15.0-SNAPSHOT in .mvn/maven.config",YETUS-1209
730e8612d10cee53777e9a0f08fcceda205f0e0a,aw-was-here,web-flow,1,['.mvn/maven.config'],YETUS-1209. Stage version 0.14.1 (#296),YETUS-1209
a57d0bdbc05cbad72f157c847d7ba502c4bb1499,aw-was-here,web-flow,9,"['.codespellignorelines', '.codespellignorewords', '.codespellrc', 'asf-site-src/source/documentation/in-progress/precommit/qbt.html.md', 'asf-site-src/source/documentation/in-progress/precommit/usage-intro.html.md', 'pom.xml', 'precommit/src/main/shell/core.d/change-analysis.sh', 'precommit/src/main/shell/test-patch-docker/Dockerfile', 'yetus-dist/pom.xml']",YETUS-1207. upgrade codespell to 2.2.1 (#295),YETUS-1207
6ff798166294b8634f53e61f173856686522163f,aw-was-here,web-flow,1,['precommit/src/main/shell/test-patch-docker/Dockerfile'],YETUS-1206. upgrade golangci-lint to match bundled go 1.19 version (#294),YETUS-1206
ccf15ba5e0ae047a8bec490cdb4468fd31576931,aw-was-here,web-flow,1,['precommit/src/main/shell/test-patch-docker/Dockerfile'],"YETUS-1205. Upgrade bats-core to support bats_require_minimum_version (#293)

Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>",YETUS-1205
5e6ff1a2d43ce5c9169010b2884415dad7547d0e,aw-was-here,web-flow,1,['precommit/src/main/shell/test-patch-docker/Dockerfile'],"YETUS-1204. Upgrade buf to at least 1.6.0 (#292)

Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>",YETUS-1204
a6731e16fecd1d751220a15c3f9aefd21f28a508,aw-was-here,web-flow,4,"['asf-site-src/source/documentation/in-progress/precommit/advanced.html.md', 'precommit/src/main/shell/plugins.d/hadolint.sh', 'precommit/src/main/shell/plugins.d/shelldocs.sh', 'precommit/src/main/shell/plugins.d/yamllint.sh']",YETUS-1202. plug-ins cannot use filefilter to build lists of files (#291),YETUS-1202
5c6f4cd7d4de7df3c18785c15ed0a8146f7f3832,aw-was-here,web-flow,3,"['asf-site-src/Gemfile', 'asf-site-src/Gemfile.lock', 'precommit/src/main/shell/test-patch-docker/Dockerfile']",YETUS-1201. update ruby components to deal with CVEs (#290),YETUS-1201
16a82078f8d65c9bcc41ce7867e60be5b8a63171,sekikn,web-flow,1,['asf-site-src/source/documentation/in-progress/precommit/robots/githubactions.html.md'],YETUS-1198. Some default values for GitHub Actions are mistakenly documented (#288),YETUS-1198
79bf9ca89b0195cb7afe9e399fcdae9d7543c897,Apache9,web-flow,2,"['audience-annotations-component/audience-annotations/src/main/java/org/apache/yetus/audience/tools/DocletEnvironmentProcessor.java', 'audience-annotations-component/audience-annotations/src/test/java/org/apache/yetus/audience/tools/DocletEnvironmentProcessorTest.java']",YETUS-1197 NPE in DocletEnvironmentProcessor (#285),YETUS-1197
eae1cd12c0ec3cea58eea5ad0ef524535bb7e567,aw-was-here,web-flow,3,"['.yetus/detsecrets-ignored-hashes.txt', 'pom.xml', 'precommit/src/main/shell/test-patch-docker/Dockerfile']",YETUS-1194. upgrade Apache Creadur Rat project (#286),YETUS-1194
bfc2193567614ca3818dc37705eae09cac281ee9,giggsoff,web-flow,1,['precommit/src/main/shell/plugins.d/golangci.sh'],YETUS-1191. Add uniq-by-line option to golangci (#284),YETUS-1191
fae6b390b06c0f1752fc15221cea4b9cdb7d44dc,aw-was-here,web-flow,2,"['asf-site-src/Gemfile', 'asf-site-src/Gemfile.lock']",YETUS-1184. replace therubyracer in site build (#281),YETUS-1184
7efa2752ea035c0bd9427fb77c302998051eaff3,aw-was-here,web-flow,1,['release/initial-patches.sh'],YETUS-1180. release scripts should sign git commits (#282),YETUS-1180
2e29d3d186967b8e09f4cccd86686314a499fe33,aw-was-here,web-flow,1,['hooks/build'],YETUS-1182. ghcr builds for tags don't work (#280),YETUS-1182
0fa36c63edb4db13d5e79bfa9650a9fa3909b4d4,aw-was-here,web-flow,1,['hooks/build'],YETUS-1187. container build hook should be able to re-use buildx node (#279),YETUS-1187
df87a4c51aca5de3ae792f04438f1a26397d5703,aw-was-here,aw-was-here,3,"['.mvn/maven.config', 'asf-site-src/data/htaccess.yml', 'asf-site-src/data/versions.yml']","YETUS-1171. Bump main version to 0.15.0-SNAPSHOT

- Add release 0.14.0
- remove 0.11.x",YETUS-1171
17798f8d3c5bcf85691e77aae3eb64657d66f082,aw-was-here,aw-was-here,1,['.mvn/maven.config'],YETUS-1171. Stage version 0.14.0,YETUS-1171
d036f2aeb166acfd0d97e0c1913ea3f445c345c8,aw-was-here,web-flow,3,"['precommit/src/main/python/jenkins-admin.py', 'releasedocmaker/src/main/python/releasedocmaker/__init__.py', 'shelldocs/src/main/python/shelldocs.py']",YETUS-777. --version is broken in python programs (#277),YETUS-777
86d8325b72d0f3009def6e6444407e21215f0d00,aw-was-here,web-flow,2,"['asf-site-src/source/_header.html.erb', 'asf-site-src/source/documentation/history.html.md']","YETUS-60. recover history from before ""the great subproject split"" (#276)

Signed-off-by: Sean Busbey <busbey@apache.org>",YETUS-60
0906bb569099922ca74e6d5ee57bc34b1736060f,aw-was-here,web-flow,1,['precommit/src/main/shell/plugins.d/buf.sh'],"YETUS-1175. buf output not showing up in results-full (#274)

Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>",YETUS-1175
63394467fe061298e55594d6f16c5cd63a0e5c8f,aw-was-here,web-flow,1,['precommit/src/main/shell/core.d/linecomments.sh'],"YETUS-1176. linecomments_end should always execute (#275)

Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>",YETUS-1176
81f581b85a8d526ca006dc83666cb4f5521e236c,aw-was-here,web-flow,1,['precommit/src/main/shell/plugins.d/shellcheck.sh'],"YETUS-1167. shellcheck null byte (#273)

Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>",YETUS-1167
0a26e40b52fc209731a8e5570be12938bbb73706,aw-was-here,web-flow,1,['precommit/src/main/shell/plugins.d/junit.sh'],"YETUS-1174. missing report name check in junit (#272)

Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>",YETUS-1174
44d6a7ff81c4c43607aafc02d6c254097ae696ea,aw-was-here,web-flow,2,"['asf-site-src/source/documentation/in-progress/precommit/plugins/jsonlint.html.md', 'asf-site-src/source/documentation/in-progress/precommit/plugins/template.html.md']",YETUS-1172. jsonlint doc filename is wrong (#271),YETUS-1172
f9562375ab66cc657d8c07a1e9d3ff4ea26f2c28,aw-was-here,web-flow,2,"['precommit/src/main/shell/plugins.d/ansiblelint.sh', 'precommit/src/main/shell/plugins.d/checkmake.sh']","YETUS-1170. some plugins are missing delete_parameters calls (#266)

Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>",YETUS-1170
51d597ee17e7c12f91e32b48d20cbb96a9735d97,aw-was-here,web-flow,1,['precommit/src/main/shell/plugins.d/asflicense.sh'],"YETUS-135. asflicense does not validate rat jar (#270)

Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>",YETUS-135
50c4bbdb4a1fdf86ab66603c51494298adf97041,aw-was-here,web-flow,4,"['asf-site-src/source/documentation/in-progress/precommit/index.html.md', 'asf-site-src/source/documentation/in-progress/precommit/plugins/xml.html.md', 'precommit/src/main/shell/plugins.d/xml.sh', 'precommit/src/main/shell/test-patch-docker/Dockerfile']","YETUS-1105. xml check fails since JDK15 (#269)

Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>",YETUS-1105
1ec17771a653acb310713ca966d2ade4099cb9c2,aw-was-here,web-flow,9,"['precommit/pom.xml', 'precommit/src/main/shell/core.d/change-analysis.sh', 'precommit/src/main/shell/plugins.d/codespell.sh', 'precommit/src/main/shell/plugins.d/detsecrets.sh', 'precommit/src/main/shell/plugins.d/jshint.sh', 'precommit/src/main/shell/smart-apply-patch.sh', 'precommit/src/test/resources/i18n/ß.json', 'precommit/src/test/resources/i18n/ä.xml', 'precommit/src/test/resources/i18n/ç.yaml']","YETUS-1169. improve i18n support (#265)

Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>",YETUS-1169
4bf4bcd57e2014a72bbc1a8ebb23fbf546a157c9,aw-was-here,web-flow,9,"['.semaphore/semaphore-build.sh', '.semaphore/semaphore.yml', 'Jenkinsfile', 'asf-site-src/source/documentation/in-progress/precommit/plugins/junit-bugsystem.html.md', 'entrypoint.sh', 'precommit/src/main/shell/core.d/linecomments.sh', 'precommit/src/main/shell/plugins.d/junit.sh', 'precommit/src/main/shell/robots.d/circleci.sh', 'precommit/src/main/shell/test-patch.sh']","YETUS-1030. Support linecomments in junit (#268)

Signed-off-by: Nick Dimiduk <ndimiduk@apache.org>",YETUS-1030
f5bd67ec24d335a0a5deac3a768dbcc1bb25b14a,aw-was-here,web-flow,1,['asf-site-src/source/documentation/in-progress/precommit/index.html.md'],YETUS-1166. Add jsonlint support (addendum) (#264),YETUS-1166
03fdf8c32805f1e9e5c5fe2687e04461a4c778b7,aw-was-here,web-flow,7,"['asf-site-src/source/documentation/in-progress/precommit/plugins/github.html.md', 'asf-site-src/source/documentation/in-progress/precommit/plugins/htmlout.html.md', 'precommit/src/main/shell/plugins.d/github.sh', 'precommit/src/main/shell/plugins.d/htmlout.sh', 'precommit/src/main/shell/robots.d/buildkite.sh', 'precommit/src/main/shell/robots.d/githubactions.sh', 'precommit/src/main/shell/robots.d/jenkins.sh']",YETUS-1060. github status should use htmlreport (#261),YETUS-1060
cd2049607e741c15c95a9459e8c509849a95bb92,aw-was-here,web-flow,1,['precommit/src/main/shell/plugins.d/buf.sh'],YETUS-1168. Minor bugs in bufcompat and buflint (#263),YETUS-1168
f7563b60ab9e7c9fc0e6d5d1cfec6481222aead7,aw-was-here,web-flow,3,"['asf-site-src/source/documentation/in-progress/precommit/plugins/jsonlint.md', 'precommit/src/main/shell/plugins.d/jsonlint.sh', 'precommit/src/main/shell/test-patch-docker/Dockerfile']",YETUS-1166. Add jsonlint support (#262),YETUS-1166
608e1f3bc62fc7951e39e21dea63cdc5e0449e77,aw-was-here,web-flow,2,"['asf-site-src/config.rb', 'asf-site-src/source/downloads/index.html.md.erb']",YETUS-1163. Remove changelog data from config.rb (#260),YETUS-1163
